Dates,HES
2018-06-20,63.15999984741211
2018-06-21,62.310001373291016
2018-06-25,65.22000122070312
2018-06-22,64.58000183105469
2018-06-26,63.959999084472656
2018-06-27,67.1500015258789
2018-06-28,66.33000183105469
2018-06-29,68.4000015258789
2018-07-02,66.2300033569336
2018-07-03,67.68000030517578
2018-07-05,66.91999816894531
2018-07-16,67.88999938964844
2018-09-18,69.25
2019-01-24,71.13999938964844
2019-09-05,69.0199966430664
2018-11-21,67.77999877929688
2020-01-13,67.45999908447266
2020-04-01,65.80999755859375
2020-06-19,63.84000015258789
2019-10-29,64.44000244140625
2020-01-16,65.0
2020-06-22,64.73999786376953
2018-10-03,64.6500015258789
2018-07-31,65.88999938964844
2019-03-12,65.0199966430664
2019-02-08,65.5999984741211
2019-01-07,64.66000366210938
2018-12-06,65.23999786376953
2019-08-19,66.05999755859375
2019-07-18,65.12999725341797
2019-05-15,66.0
2019-09-20,66.5
2019-11-01,67.48999786376953
2020-04-07,68.30999755859375
2020-06-25,67.06999969482422
2020-06-16,66.25
2019-11-04,64.54000091552734
2020-01-22,64.4000015258789
2019-11-07,64.37999725341797
2020-04-13,63.209999084472656
2019-07-01,63.189998626708984
2019-05-30,63.369998931884766
2018-08-15,63.79999923706055
2018-10-18,64.2300033569336
2019-03-27,65.38999938964844
2019-01-22,64.83999633789062
2018-12-21,65.79000091552734
2019-09-03,66.26000213623047
2018-11-19,66.5
2019-08-02,67.87999725341797
2020-01-28,68.62000274658203
2020-04-16,67.86000061035156
2019-11-13,67.56999969482422
2020-01-31,65.7300033569336
2018-12-04,65.27999877929688
2018-11-02,63.119998931884766
2019-07-16,63.439998626708984
2018-08-30,64.5999984741211
2018-10-01,66.0
2019-06-14,65.62000274658203
2019-05-13,66.4000015258789
2019-04-11,67.58000183105469
2019-02-06,69.36000061035156
2019-09-18,70.0
2020-02-03,70.41999816894531
2020-04-22,70.81999969482422
2019-11-19,73.08000183105469
2020-02-06,73.25
2019-11-22,71.51000213623047
2019-03-25,71.79000091552734
2019-02-21,74.08000183105469
2018-12-19,74.80999755859375
2018-07-12,74.73999786376953
2018-09-14,73.98999786376953
2018-08-13,73.91000366210938
2018-10-16,73.18000030517578
2019-07-31,72.11000061035156
2019-05-28,73.19000244140625
2019-04-26,72.25
2020-04-28,67.37999725341797
2019-11-25,67.31999969482422
2020-02-12,66.94000244140625
2020-05-01,66.22000122070312
2020-05-04,65.56999969482422
2019-06-12,64.25
2019-04-09,65.7300033569336
2019-03-08,63.630001068115234
2019-02-04,62.290000915527344
2018-07-27,62.380001068115234
2018-08-28,59.79999923706055
2019-01-03,59.20000076293945
2019-08-15,58.599998474121094
2018-10-31,57.220001220703125
2019-09-16,61.15999984741211
2020-02-18,58.70000076293945
2020-05-07,58.599998474121094
2018-08-17,58.9900016784668
2019-12-04,59.380001068115234
2020-02-21,61.290000915527344
2018-12-17,61.08000183105469
2019-08-30,59.540000915527344
2018-11-15,60.150001525878906
2019-07-29,58.0099983215332
2019-06-27,58.27000045776367
2019-04-24,57.540000915527344
2018-07-10,58.099998474121094
2018-09-12,57.5099983215332
2019-02-19,55.810001373291016
2019-01-18,57.189998626708984
2020-02-24,54.66999816894531
2020-05-13,55.04999923706055
2019-12-10,53.369998931884766
2020-02-27,54.650001525878906
2019-12-13,55.369998931884766
2020-05-19,54.689998626708984
2019-03-06,57.150001525878906
2018-11-30,57.20000076293945
2019-08-13,54.099998474121094
2019-07-12,55.29999923706055
2019-06-10,52.56999969482422
2019-05-09,52.939998626708984
2018-07-25,53.81999969482422
2018-09-27,53.58000183105469
2018-10-29,52.279998779296875
2019-10-16,51.20000076293945
2019-12-16,49.83000183105469
2020-03-04,48.70000076293945
2020-05-22,46.119998931884766
2019-10-01,43.70000076293945
2019-12-19,40.86000061035156
2018-09-10,40.47999954223633
2019-05-24,41.61000061035156
2018-08-09,41.849998474121094
2019-04-22,41.31999969482422
2019-03-21,42.400001525878906
2019-01-16,42.849998474121094
2019-08-28,45.86000061035156
2018-11-13,48.16999816894531
2018-10-12,48.790000915527344
2019-06-25,50.560001373291016
2020-03-10,52.040000915527344
2020-05-28,51.33000183105469
2019-10-07,51.380001068115234
2020-03-13,52.40999984741211
2019-10-10,52.099998474121094
2020-03-16,52.40999984741211
2020-06-03,52.95000076293945
2018-11-28,52.59000015258789
2018-09-25,52.349998474121094
2018-07-23,51.88999938964844
2018-08-24,53.630001068115234
2019-07-10,52.11000061035156
2019-05-07,52.56999969482422
2019-04-05,54.04999923706055
2019-03-04,55.380001068115234
2019-01-31,56.619998931884766
2019-09-12,55.79999923706055
2019-12-31,55.869998931884766
2020-03-19,55.15999984741211
2020-01-03,54.47999954223633
2020-06-09,52.58000183105469
2019-02-15,53.689998626708984
2019-01-14,55.529998779296875
2018-07-06,57.65999984741211
2018-08-07,57.61000061035156
2018-10-10,58.22999954223633
2018-12-13,57.72999954223633
2019-08-26,58.91999816894531
2019-07-25,58.650001525878906
2019-05-22,58.54999923706055
2019-03-19,58.040000915527344
2020-01-06,58.349998474121094
2020-03-25,59.93000030517578
2020-06-12,58.33000183105469
2019-10-22,59.7400016784668
2020-01-09,60.0
2020-06-15,59.93000030517578
2019-10-25,58.09000015258789
2020-03-31,57.2400016784668
2020-06-18,55.189998626708984
2019-04-03,56.459999084472656
2018-08-22,57.650001525878906
2018-10-25,58.439998626708984
2019-01-29,58.790000915527344
2018-12-28,58.61000061035156
2018-11-26,59.31999969482422
2019-08-09,59.650001525878906
2019-07-08,60.630001068115234
2019-06-06,60.9900016784668
