Dates,ADSK
2018-06-20,141.10000610351562
2018-06-21,141.0500030517578
2018-06-25,137.69000244140625
2018-06-22,134.8800048828125
2018-06-26,129.74000549316406
2018-06-27,130.74000549316406
2018-06-28,127.94999694824219
2018-06-29,130.52999877929688
2018-07-02,130.02000427246094
2018-07-03,131.64999389648438
2018-07-05,133.00999450683594
2018-07-16,133.25999450683594
2018-09-18,135.1300048828125
2019-01-24,134.89999389648438
2019-09-05,133.50999450683594
2018-11-21,133.0
2020-01-13,136.99000549316406
2020-04-01,136.6199951171875
2020-06-19,134.8800048828125
2019-10-29,136.5500030517578
2020-01-16,136.63999938964844
2020-06-22,135.16000366210938
2018-10-03,134.0
2018-07-31,135.30999755859375
2019-03-12,132.30999755859375
2019-02-08,135.5500030517578
2019-01-07,136.44000244140625
2018-12-06,131.1699981689453
2019-08-19,127.41000366210938
2019-07-18,127.98999786376953
2019-05-15,125.93000030517578
2019-09-20,131.3300018310547
2019-11-01,131.92999267578125
2020-04-07,134.44000244140625
2020-06-25,134.8300018310547
2020-06-16,134.58999633789062
2019-11-04,134.27000427246094
2020-01-22,135.24000549316406
2019-11-07,134.0500030517578
2020-04-13,133.00999450683594
2019-07-01,132.10000610351562
2019-05-30,133.1300048828125
2018-08-15,132.35000610351562
2018-10-18,134.17999267578125
2019-03-27,134.83999633789062
2019-01-22,136.97000122070312
2018-12-21,152.38999938964844
2019-09-03,158.05999755859375
2018-11-19,154.8699951171875
2019-08-02,156.75
2020-01-28,155.6300048828125
2020-04-16,153.55999755859375
2019-11-13,154.1699981689453
2020-01-31,153.8699951171875
2018-12-04,149.33999633789062
2018-11-02,147.63999938964844
2019-07-16,149.9600067138672
2018-08-30,150.2899932861328
2018-10-01,150.82000732421875
2019-06-14,151.60000610351562
2019-05-13,151.3300018310547
2019-04-11,150.22999572753906
2019-02-06,146.80999755859375
2019-09-18,148.32000732421875
2020-02-03,149.77000427246094
2020-04-22,153.86000061035156
2019-11-19,150.64999389648438
2020-02-06,153.11000061035156
2019-11-22,155.99000549316406
2019-03-25,155.36000061035156
2019-02-21,155.0500030517578
2018-12-19,155.64999389648438
2018-07-12,155.72999572753906
2018-09-14,154.25999450683594
2018-08-13,153.6699981689453
2018-10-16,152.0
2019-07-31,151.13999938964844
2019-05-28,146.52000427246094
2019-04-26,141.66000366210938
2020-04-28,132.60000610351562
2019-11-25,135.67999267578125
2020-02-12,138.47000122070312
2020-05-01,137.3000030517578
2020-05-04,141.17999267578125
2019-06-12,140.75999450683594
2019-04-09,137.97999572753906
2019-03-08,133.92999267578125
2019-02-04,132.64999389648438
2018-07-27,133.30999755859375
2018-08-28,127.19000244140625
2019-01-03,125.54000091552734
2019-08-15,128.77999877929688
2018-10-31,123.87000274658203
2019-09-16,128.27999877929688
2020-02-18,130.0
2020-05-07,135.50999450683594
2018-08-17,134.6999969482422
2019-12-04,133.1199951171875
2020-02-21,135.25999450683594
2018-12-17,138.77999877929688
2019-08-30,139.27999877929688
2018-11-15,134.17999267578125
2019-07-29,131.11000061035156
2019-06-27,133.0
2019-04-24,128.6300048828125
2018-07-10,134.8000030517578
2018-09-12,134.2100067138672
2019-02-19,123.16999816894531
2019-01-18,136.0
2020-02-24,132.88999938964844
2020-05-13,134.97999572753906
2019-12-10,137.33999633789062
2020-02-27,141.33999633789062
2019-12-13,141.9499969482422
2020-05-19,145.9199981689453
2019-03-06,148.02999877929688
2018-11-30,146.63999938964844
2019-08-13,136.36000061035156
2019-07-12,138.7100067138672
2019-06-10,132.42999267578125
2019-05-09,138.27999877929688
2018-07-25,137.5
2018-09-27,136.4600067138672
2018-10-29,133.60000610351562
2019-10-16,130.99000549316406
2019-12-16,128.36000061035156
2020-03-04,130.44000244140625
2020-05-22,127.63999938964844
2019-10-01,125.83999633789062
2019-12-19,118.72000122070312
2018-09-10,119.54000091552734
2019-05-24,122.66000366210938
2018-08-09,128.7100067138672
2019-04-22,129.19000244140625
2019-03-21,125.38999938964844
2019-01-16,126.48999786376953
2019-08-28,124.37000274658203
2018-11-13,128.27000427246094
2018-10-12,134.25999450683594
2019-06-25,134.72000122070312
2020-03-10,135.2100067138672
2020-05-28,135.77999877929688
2019-10-07,135.3699951171875
2020-03-13,131.8800048828125
2019-10-10,136.17999267578125
2020-03-16,134.6300048828125
2020-06-03,138.2899932861328
2018-11-28,140.27999877929688
2018-09-25,139.4600067138672
2018-07-23,136.02000427246094
2018-08-24,138.11000061035156
2019-07-10,140.64999389648438
2019-05-07,140.9199981689453
2019-04-05,141.67999267578125
2019-03-04,146.1999969482422
2019-01-31,147.77999877929688
2019-09-12,149.05999755859375
2019-12-31,151.72999572753906
2020-03-19,152.16000366210938
2020-01-03,151.0
2020-06-09,149.1199951171875
2019-02-15,155.0
2019-01-14,156.39999389648438
2018-07-06,159.97000122070312
2018-08-07,158.83999633789062
2018-10-10,161.50999450683594
2018-12-13,160.42999267578125
2019-08-26,160.5500030517578
2019-07-25,159.63999938964844
2019-05-22,160.8699951171875
2019-03-19,163.5399932861328
2020-01-06,163.77999877929688
2020-03-25,162.58999633789062
2020-06-12,164.07000732421875
2019-10-22,167.77000427246094
2020-01-09,161.0
2020-06-15,158.1999969482422
2019-10-25,154.75999450683594
2020-03-31,152.89999389648438
2020-06-18,150.2899932861328
2019-04-03,152.38999938964844
2018-08-22,154.36000061035156
2018-10-25,155.33999633789062
2019-01-29,153.0500030517578
2018-12-28,152.6999969482422
2018-11-26,153.2899932861328
2019-08-09,154.6199951171875
2019-07-08,156.0
2019-06-06,154.27000427246094
2019-09-10,158.0
2020-01-15,153.52999877929688
2020-04-03,155.49000549316406
2019-10-31,155.64999389648438
2020-04-06,153.74000549316406
2020-06-24,154.69000244140625
2018-11-09,158.22000122070312
2019-07-23,163.52999877929688
2019-06-21,165.5500030517578
2019-05-20,166.69000244140625
2019-04-18,166.0399932861328
2018-09-06,165.82000732421875
2018-10-08,166.14999389648438
2019-02-13,167.3000030517578
2018-12-11,171.32000732421875
2019-09-25,173.02000427246094
2020-01-21,172.00999450683594
2020-04-09,173.0
2019-11-06,173.1199951171875
2020-01-24,168.35000610351562
2020-01-27,168.69000244140625
2020-04-15,173.0
2018-12-26,175.0399932861328
2019-08-07,176.75999450683594
2019-06-04,175.3699951171875
2018-09-21,177.2899932861328
2018-07-19,176.6699981689453
2018-08-20,178.92999267578125
2018-10-23,173.63999938964844
2019-05-03,174.72000122070312
2019-04-01,171.8000030517578
2019-02-28,173.0
2019-11-12,170.33999633789062
2020-01-30,169.22999572753906
2019-11-15,170.63999938964844
2020-04-21,168.0500030517578
2019-04-16,166.72999572753906
2019-03-15,168.1699981689453
2019-02-11,174.14999389648438
2019-01-10,174.97000122070312
2019-08-22,172.42999267578125
2018-11-07,172.75999450683594
2018-08-03,173.8699951171875
2018-09-04,170.00999450683594
2019-06-19,160.67999267578125
2019-09-23,161.52000427246094
2019-11-18,160.0
2020-02-05,161.8699951171875
2020-04-24,160.0
2019-03-29,161.4199981689453
2019-11-21,157.5800018310547
2020-04-27,162.32000732421875
2020-02-11,161.08999633789062
2020-04-30,162.0399932861328
2019-05-01,166.3800048828125
2019-02-26,166.94000244140625
2019-01-25,163.4600067138672
2018-12-24,164.5399932861328
2019-09-06,161.85000610351562
2018-07-17,158.38999938964844
2018-09-19,159.8699951171875
2019-08-05,163.00999450683594
2019-10-08,169.02999877929688
2019-12-11,169.3300018310547
2019-11-27,171.3699951171875
2020-02-14,169.27999877929688
2020-05-06,164.1699981689453
2019-01-08,163.14999389648438
2018-12-07,166.1199951171875
2019-08-20,166.99000549316406
2018-11-05,169.11000061035156
2019-07-19,170.36000061035156
2018-10-04,170.38999938964844
2019-06-17,170.75
2019-05-16,168.77000427246094
2018-08-01,172.50999450683594
2019-03-13,173.11000061035156
2019-12-03,174.4600067138672
2020-02-20,174.89999389648438
2019-12-06,174.02000427246094
2020-05-12,170.64999389648438
2019-12-09,170.67999267578125
2020-02-26,173.3000030517578
2020-05-15,170.30999755859375
2019-03-28,171.4499969482422
2018-09-17,169.02000427246094
2018-08-16,171.91000366210938
2018-10-19,170.22999572753906
2019-04-29,168.30999755859375
2019-01-23,162.0800018310547
2019-09-04,160.27999877929688
2018-11-20,156.1199951171875
2019-07-02,153.22999572753906
2019-05-31,143.5800018310547
2019-12-12,145.25999450683594
2020-05-18,141.8800048828125
2019-09-27,146.47999572753906
2020-03-03,151.0399932861328
2020-05-21,149.52999877929688
2019-05-14,148.58999633789062
2018-08-31,148.52000427246094
2018-07-30,144.99000549316406
2018-10-02,144.7100067138672
2019-04-12,146.75
2019-03-11,145.72000122070312
2019-02-07,147.75
2019-07-17,145.89999389648438
2019-09-19,144.39999389648438
2019-10-21,145.82000732421875
2019-12-18,149.4499969482422
2020-03-06,131.42999267578125
2019-10-03,142.02000427246094
2020-03-09,143.7899932861328
2020-05-27,141.0
2019-12-24,142.55999755859375
2020-03-12,146.27999877929688
2018-12-20,148.8300018310547
2019-08-01,151.02000427246094
2018-08-14,149.97999572753906
2018-07-13,149.27000427246094
2018-10-17,155.6699981689453
2019-05-29,155.52999877929688
2019-03-26,152.47000122070312
2019-02-22,152.25
2019-10-04,152.1300048828125
2019-11-05,151.38999938964844
2019-12-27,153.13999938964844
2020-06-02,152.4600067138672
2019-12-30,152.94000244140625
2020-03-18,148.85000610351562
2020-06-05,146.86000061035156
2019-07-15,149.3699951171875
2018-12-03,145.74000549316406
2019-06-13,148.5
2019-01-04,143.99000549316406
2018-08-29,142.3699951171875
2019-02-05,145.8800048828125
2018-11-01,145.97999572753906
2019-08-16,146.1699981689453
2019-04-10,147.32000732421875
2019-09-17,147.9499969482422
2019-10-15,147.16000366210938
2020-01-02,149.7100067138672
2020-06-08,150.55999755859375
2019-10-18,147.85000610351562
2020-03-24,146.02000427246094
2020-06-11,144.02000427246094
2020-01-08,140.89999389648438
2019-04-25,142.02000427246094
2019-07-30,139.57000732421875
2019-02-20,143.0
2018-07-11,144.97999572753906
2018-09-13,146.99000549316406
2018-10-15,146.97999572753906
2019-06-28,146.24000549316406
2018-12-18,148.75999450683594
2018-11-16,148.60000610351562
2019-10-02,151.14999389648438
2020-03-27,152.0399932861328
2020-01-10,151.67999267578125
2019-10-24,152.30999755859375
2020-03-30,150.7899932861328
2020-06-17,152.38999938964844
2020-01-14,154.77999877929688
2020-04-02,156.83999633789062
2019-01-02,158.41000366210938
2019-08-14,158.36000061035156
2018-10-30,160.02999877929688
2019-06-11,163.47000122070312
2019-05-10,165.0
2019-04-08,165.3300018310547
2018-08-27,165.9600067138672
2018-07-26,168.0
2018-09-28,169.7899932861328
2019-03-07,170.52999877929688
2019-10-30,178.5
2020-01-17,180.69000244140625
2020-06-23,172.1999969482422
2020-04-08,175.08999633789062
2020-06-26,177.55999755859375
2019-03-22,177.92999267578125
2019-01-17,179.30999755859375
2019-08-29,178.5
2018-11-14,179.0800018310547
2019-06-26,175.75999450683594
2018-09-11,178.4199981689453
2018-07-09,180.1300048828125
2018-08-10,184.61000061035156
2019-04-23,182.0
2019-09-30,184.0
2020-01-23,185.75
2019-11-08,183.17999267578125
2020-04-14,183.1999969482422
2019-11-11,184.39999389648438
2020-01-29,185.3000030517578
2020-04-17,184.6300048828125
2018-07-24,183.0500030517578
2018-09-26,184.2100067138672
2019-05-08,184.49000549316406
2019-03-05,183.77999877929688
2019-02-01,186.1300048828125
2018-12-31,188.22000122070312
2018-11-29,191.7100067138672
2019-08-12,193.16000366210938
2019-07-11,190.0
2019-09-13,192.25
2019-11-14,190.94000244140625
2020-04-20,192.50999450683594
2020-02-04,192.3800048828125
2020-04-23,194.00999450683594
2018-12-14,197.47000122070312
2019-08-27,195.38999938964844
