Dates,MKC
2018-06-20,850400.0
2018-06-21,713500.0
2018-06-25,1877700.0
2018-06-22,986900.0
2018-06-26,1060400.0
2018-06-27,1207500.0
2018-06-28,4155800.0
2018-06-29,2113600.0
2018-07-02,1586900.0
2018-07-03,946000.0
2018-07-05,1640800.0
2018-07-16,1291700.0
2018-09-18,1152200.0
2019-01-24,1031800.0
2019-09-05,833900.0
2018-11-21,612400.0
2020-01-13,543200.0
2020-04-01,717100.0
2020-06-19,621400.0
2019-10-29,625600.0
2020-01-16,666100.0
2020-06-22,611400.0
2018-10-03,552200.0
2018-07-31,858100.0
2019-03-12,794500.0
2019-02-08,775200.0
2019-01-07,580300.0
2018-12-06,932700.0
2019-08-19,973800.0
2019-07-18,682400.0
2019-05-15,715400.0
2019-09-20,845900.0
2019-11-01,489100.0
2020-04-07,1361700.0
2020-06-25,605100.0
2020-06-16,555000.0
2019-11-04,464100.0
2020-01-22,400000.0
2019-11-07,578400.0
2020-04-13,781800.0
2019-07-01,1264600.0
2019-05-30,629700.0
2018-08-15,803300.0
2018-10-18,745700.0
2019-03-27,464600.0
2019-01-22,446500.0
2018-12-21,312700.0
2019-09-03,447400.0
2018-11-19,407400.0
2019-08-02,455400.0
2020-01-28,416000.0
2020-04-16,546500.0
2019-11-13,599300.0
2020-01-31,589500.0
2018-12-04,1008100.0
2018-11-02,990900.0
2019-07-16,581200.0
2018-08-30,926400.0
2018-10-01,809200.0
2019-06-14,786100.0
2019-05-13,540600.0
2019-04-11,591600.0
2019-02-06,569100.0
2019-09-18,607500.0
2020-02-03,729000.0
2020-04-22,1101600.0
2019-11-19,560100.0
2020-02-06,758400.0
2019-11-22,1263400.0
2019-03-25,1759500.0
2019-02-21,1131200.0
2018-12-19,828400.0
2018-07-12,1736300.0
2018-09-14,1270300.0
2018-08-13,1155200.0
2018-10-16,823600.0
2019-07-31,845400.0
2019-05-28,683900.0
2019-04-26,1037700.0
2020-04-28,1082400.0
2019-11-25,1246000.0
2020-02-12,606000.0
2020-05-01,748800.0
2020-05-04,958000.0
2019-06-12,618900.0
2019-04-09,1322800.0
2019-03-08,981500.0
2019-02-04,1033800.0
2018-07-27,1182700.0
2018-08-28,1522300.0
2019-01-03,1221800.0
2019-08-15,797500.0
2018-10-31,1662900.0
2019-09-16,1986900.0
2020-02-18,1275700.0
2020-05-07,1352100.0
2018-08-17,973500.0
2019-12-04,908400.0
2020-02-21,1085300.0
2018-12-17,1044900.0
2019-08-30,1171700.0
2018-11-15,1264700.0
2019-07-29,1625000.0
2019-06-27,1351000.0
2019-04-24,1390600.0
2018-07-10,1871800.0
2018-09-12,935300.0
2019-02-19,1335000.0
2019-01-18,1367900.0
2020-02-24,919500.0
2020-05-13,1489500.0
2019-12-10,1146600.0
2020-02-27,912500.0
2019-12-13,881000.0
2020-05-19,1338100.0
2019-03-06,1149100.0
2018-11-30,1053100.0
2019-08-13,1285800.0
2019-07-12,783300.0
2019-06-10,1153300.0
2019-05-09,924400.0
2018-07-25,1140600.0
2018-09-27,866700.0
2018-10-29,1060100.0
2019-10-16,1812200.0
2019-12-16,1529000.0
2020-03-04,2681800.0
2020-05-22,2253900.0
2019-10-01,2156000.0
2019-12-19,712800.0
2018-09-10,845100.0
2019-05-24,1005800.0
2018-08-09,1293100.0
2019-04-22,658300.0
2019-03-21,1838500.0
2019-01-16,1153100.0
2019-08-28,1445300.0
2018-11-13,1330400.0
2018-10-12,1225800.0
2019-06-25,1045800.0
2020-03-10,1237600.0
2020-05-28,949000.0
2019-10-07,966400.0
2020-03-13,763000.0
2019-10-10,1212100.0
2020-03-16,923200.0
2020-06-03,1604500.0
2018-11-28,1727900.0
2018-09-25,1177300.0
2018-07-23,7640500.0
2018-08-24,3040300.0
2019-07-10,2241500.0
2019-05-07,1624100.0
2019-04-05,1591400.0
2019-03-04,2147600.0
2019-01-31,1411200.0
2019-09-12,2185900.0
2019-12-31,1993600.0
2020-03-19,988900.0
2020-01-03,1100200.0
2020-06-09,1368700.0
2019-02-15,1253800.0
2019-01-14,1305400.0
2018-07-06,967700.0
2018-08-07,929700.0
2018-10-10,1916100.0
2018-12-13,1330200.0
2019-08-26,1015500.0
2019-07-25,1745900.0
2019-05-22,1957300.0
2019-03-19,1344100.0
2020-01-06,743200.0
2020-03-25,762100.0
2020-06-12,819800.0
2019-10-22,744400.0
2020-01-09,763000.0
2020-06-15,1174900.0
2019-10-25,551200.0
2020-03-31,927400.0
2020-06-18,731700.0
2019-04-03,860800.0
2018-08-22,1091400.0
2018-10-25,1031900.0
2019-01-29,631500.0
2018-12-28,1412400.0
2018-11-26,700600.0
2019-08-09,948900.0
2019-07-08,1145300.0
2019-06-06,845600.0
2019-09-10,1345600.0
2020-01-15,1637700.0
2020-04-03,1523600.0
2019-10-31,1029400.0
2020-04-06,2883700.0
2020-06-24,1250300.0
2018-11-09,1222800.0
2019-07-23,1048500.0
2019-06-21,1322700.0
2019-05-20,1753600.0
2019-04-18,1089600.0
2018-09-06,1696400.0
2018-10-08,1054100.0
2019-02-13,1163900.0
2018-12-11,625300.0
2019-09-25,494700.0
2020-01-21,634900.0
2020-04-09,1084500.0
2019-11-06,577200.0
2020-01-24,679500.0
2020-01-27,1113700.0
2020-04-15,789700.0
2018-12-26,680500.0
2019-08-07,649500.0
2019-06-04,512800.0
2018-09-21,573400.0
2018-07-19,1407500.0
2018-08-20,607000.0
2018-10-23,663700.0
2019-05-03,449700.0
2019-04-01,899000.0
2019-02-28,872600.0
2019-11-12,617100.0
2020-01-30,1063000.0
2019-11-15,570700.0
2020-04-21,1298100.0
2019-04-16,837100.0
2019-03-15,609600.0
2019-02-11,654400.0
2019-01-10,610000.0
2019-08-22,556800.0
2018-11-07,595200.0
2018-08-03,692600.0
2018-09-04,639800.0
2019-06-19,486400.0
2019-09-23,2302300.0
2019-11-18,733800.0
2020-02-05,513600.0
2020-04-24,573600.0
2019-03-29,803100.0
2019-11-21,978500.0
2020-04-27,990100.0
2020-02-11,662100.0
2020-04-30,687100.0
2019-05-01,437800.0
2019-02-26,621900.0
2019-01-25,571100.0
2018-12-24,610100.0
2019-09-06,415000.0
2018-07-17,613700.0
2018-09-19,977900.0
2019-08-05,687000.0
2019-10-08,709400.0
2019-12-11,1060800.0
2019-11-27,664900.0
2020-02-14,1217200.0
2020-05-06,1474100.0
2019-01-08,2051800.0
2018-12-07,3215400.0
2019-08-20,910000.0
2018-11-05,1013500.0
2019-07-19,894100.0
2018-10-04,757100.0
2019-06-17,705500.0
2019-05-16,780500.0
2018-08-01,878600.0
2019-03-13,663500.0
2019-12-03,482000.0
2020-02-20,1038900.0
2019-12-06,447400.0
2020-05-12,452600.0
2019-12-09,689200.0
2020-02-26,425400.0
2020-05-15,467500.0
2019-03-28,446300.0
2018-09-17,549600.0
2018-08-16,586900.0
2018-10-19,714300.0
2019-04-29,525400.0
2019-01-23,500600.0
2019-09-04,672500.0
2018-11-20,766700.0
2019-07-02,763700.0
2019-05-31,2036900.0
2019-12-12,1424200.0
2020-05-18,1193900.0
2019-09-27,712300.0
2020-03-03,577700.0
2020-05-21,721300.0
2019-05-14,1180100.0
2018-08-31,1268300.0
2018-07-30,899600.0
2018-10-02,2040300.0
2019-04-12,932400.0
2019-03-11,1357100.0
2019-02-07,615600.0
2019-07-17,789800.0
2019-09-19,570600.0
2019-10-21,530100.0
2019-12-18,869400.0
2020-03-06,495000.0
2019-10-03,687500.0
2020-03-09,592000.0
2020-05-27,845400.0
2019-12-24,448900.0
2020-03-12,575000.0
2018-12-20,567100.0
2019-08-01,679900.0
2018-08-14,1777900.0
2018-07-13,738700.0
2018-10-17,564400.0
2019-05-29,483600.0
2019-03-26,399900.0
2019-02-22,639300.0
2019-10-04,618600.0
2019-11-05,572400.0
2019-12-27,913100.0
2020-06-02,450100.0
2019-12-30,678700.0
2020-03-18,517900.0
2020-06-05,554300.0
2019-07-15,840600.0
2018-12-03,1016800.0
2019-06-13,3128300.0
2019-01-04,1257700.0
2018-08-29,1066100.0
2019-02-05,557800.0
2018-11-01,581100.0
2019-08-16,561700.0
2019-04-10,566800.0
2019-09-17,594100.0
2019-10-15,620200.0
2020-01-02,461700.0
2020-06-08,538600.0
2019-10-18,567600.0
2020-03-24,519300.0
2020-06-11,574300.0
2020-01-08,537200.0
2019-04-25,649800.0
2019-07-30,477200.0
2019-02-20,442500.0
2018-07-11,556100.0
2018-09-13,542500.0
2018-10-15,458100.0
2019-06-28,496700.0
2018-12-18,612200.0
2018-11-16,407300.0
2019-10-02,946100.0
2020-03-27,814800.0
2020-01-10,572700.0
2019-10-24,520600.0
2020-03-30,601600.0
2020-06-17,553300.0
2020-01-14,512700.0
2020-04-02,541400.0
2019-01-02,468700.0
2019-08-14,1564300.0
2018-10-30,915100.0
2019-06-11,389000.0
2019-05-10,610400.0
2019-04-08,645400.0
2018-08-27,453000.0
2018-07-26,475400.0
2018-09-28,907400.0
2019-03-07,469100.0
2019-10-30,504400.0
2020-01-17,521500.0
2020-06-23,568500.0
2020-04-08,481900.0
2020-06-26,427300.0
2019-03-22,371700.0
2019-01-17,375400.0
2019-08-29,587600.0
2018-11-14,450600.0
2019-06-26,597000.0
2018-09-11,551800.0
2018-07-09,768800.0
2018-08-10,454200.0
2019-04-23,585300.0
2019-09-30,530900.0
2020-01-23,1626900.0
2019-11-08,416900.0
2020-04-14,217600.0
2019-11-11,713100.0
2020-01-29,542700.0
2020-04-17,783300.0
2018-07-24,897600.0
2018-09-26,780600.0
2019-05-08,734900.0
2019-03-05,663300.0
2019-02-01,716000.0
2018-12-31,507200.0
2018-11-29,1385400.0
2019-08-12,550000.0
2019-07-11,616100.0
2019-09-13,949300.0
2019-11-14,726500.0
2020-04-20,849100.0
2020-02-04,542100.0
2020-04-23,991300.0
2018-12-14,845200.0
2019-08-27,795300.0
2018-08-08,698100.0
2018-10-11,849000.0
2018-11-12,2275700.0
2019-07-26,936400.0
2019-06-24,924100.0
2019-05-23,1003200.0
2019-03-20,896900.0
2019-01-15,878300.0
2019-11-20,677000.0
2020-02-07,582400.0
2020-02-10,540200.0
2020-04-29,445800.0
2019-11-26,439600.0
2020-02-13,556800.0
2019-01-30,458000.0
2018-08-23,462400.0
2018-09-24,643300.0
2018-11-27,481200.0
2018-10-26,567700.0
2019-07-09,468400.0
2019-06-07,721200.0
2019-05-06,1479800.0
2019-04-04,1177300.0
2019-09-11,1126500.0
2019-11-29,1790000.0
2020-05-05,1122700.0
2019-12-02,986400.0
2020-02-19,1436700.0
2020-05-08,1094800.0
2019-05-21,1173100.0
2019-03-18,1436300.0
2018-09-07,1409000.0
2018-08-06,1507500.0
2018-10-09,2165000.0
2019-02-14,1650200.0
2018-12-12,2074200.0
2019-07-24,2436300.0
2019-09-26,2454100.0
2019-10-28,1928900.0
2019-12-05,1666000.0
2020-05-11,1714300.0
2019-07-03,1428000.0
2020-02-25,1415000.0
2020-05-14,1011400.0
2020-02-28,996100.0
2019-08-08,1664800.0
2019-06-05,1462700.0
2018-07-20,1213200.0
2018-08-21,1466200.0
2018-10-24,744500.0
2019-04-02,972400.0
2019-03-01,879800.0
2019-01-28,811800.0
2018-12-27,779300.0
2019-09-09,888600.0
2020-03-02,862500.0
2020-05-20,530700.0
2019-12-17,724600.0
2020-03-05,813700.0
2019-02-12,557000.0
2019-01-11,664200.0
2018-12-10,502700.0
2019-08-23,554700.0
2018-11-08,387900.0
2019-07-22,493000.0
2019-06-20,646300.0
2018-09-05,806900.0
2019-04-17,1023800.0
2019-09-24,519300.0
2019-12-20,675900.0
2020-05-26,731700.0
2019-04-30,859400.0
2019-12-23,617900.0
2020-03-11,533700.0
2020-05-29,673400.0
2019-12-26,1049400.0
2020-06-01,952000.0
2019-05-02,1178300.0
2019-02-27,1856100.0
2018-11-23,912600.0
2019-08-06,705700.0
2018-07-18,882400.0
2018-09-20,749200.0
2018-10-22,368600.0
2019-07-05,608700.0
2019-06-03,570800.0
2019-10-09,616700.0
2019-10-11,1431300.0
2020-03-17,544000.0
2020-06-04,704200.0
2019-10-14,554300.0
2020-03-20,574400.0
2018-11-06,899400.0
2019-06-18,685600.0
2019-05-17,477100.0
2019-04-15,674000.0
2019-03-14,576300.0
2019-01-09,522600.0
2018-08-02,535900.0
2018-10-05,676700.0
2019-08-21,511600.0
2019-10-17,396500.0
2020-03-23,873000.0
2020-06-10,631000.0
2019-02-25,634200.0
2020-01-07,1012100.0
2020-03-26,1453900.0
2019-10-23,1447900.0
