Dates,MKC
2018-06-20,105.80999755859375
2018-06-21,105.06999969482422
2018-06-25,106.08999633789062
2018-06-22,106.86000061035156
2018-06-26,106.54000091552734
2018-06-27,105.93000030517578
2018-06-28,114.83000183105469
2018-06-29,116.08999633789062
2018-07-02,115.68000030517578
2018-07-03,115.30999755859375
2018-07-05,118.12000274658203
2018-07-16,119.37999725341797
2018-09-18,119.68000030517578
2019-01-24,117.91999816894531
2019-09-05,118.30999755859375
2018-11-21,118.04000091552734
2020-01-13,119.13999938964844
2020-04-01,118.47000122070312
2020-06-19,119.41999816894531
2019-10-29,117.5199966430664
2020-01-16,118.12000274658203
2020-06-22,117.83000183105469
2018-10-03,117.19999694824219
2018-07-31,117.16999816894531
2019-03-12,117.68000030517578
2019-02-08,118.77999877929688
2019-01-07,117.73999786376953
2018-12-06,116.68000030517578
2019-08-19,117.54000091552734
2019-07-18,117.45999908447266
2019-05-15,119.62999725341797
2019-09-20,121.5199966430664
2019-11-01,121.86000061035156
2020-04-07,120.97000122070312
2020-06-25,121.33999633789062
2020-06-16,120.81999969482422
2019-11-04,121.0
2020-01-22,121.08000183105469
2019-11-07,122.06999969482422
2020-04-13,124.12999725341797
2019-07-01,125.38999938964844
2019-05-30,126.4000015258789
2018-08-15,126.52999877929688
2018-10-18,123.86000061035156
2019-03-27,123.56999969482422
2019-01-22,123.94000244140625
2018-12-21,124.26000213623047
2019-09-03,123.73999786376953
2018-11-19,123.12999725341797
2019-08-02,124.2300033569336
2020-01-28,123.66000366210938
2020-04-16,124.87999725341797
2019-11-13,126.23999786376953
2020-01-31,127.7300033569336
2018-12-04,129.55999755859375
2018-11-02,130.60000610351562
2019-07-16,131.50999450683594
2018-08-30,130.1999969482422
2018-10-01,131.1699981689453
2019-06-14,131.27999877929688
2019-05-13,132.2899932861328
2019-04-11,132.6699981689453
2019-02-06,131.24000549316406
2019-09-18,129.88999938964844
2020-02-03,130.10000610351562
2020-04-22,130.22000122070312
2019-11-19,129.6199951171875
2020-02-06,129.27000427246094
2019-11-22,129.88999938964844
2019-03-25,128.2899932861328
2019-02-21,131.75
2018-12-19,132.6199951171875
2018-07-12,133.39999389648438
2018-09-14,134.02000427246094
2018-08-13,135.7100067138672
2018-10-16,135.75
2019-07-31,136.07000732421875
2019-05-28,135.82000732421875
2019-04-26,134.3000030517578
2020-04-28,131.6699981689453
2019-11-25,132.82000732421875
2020-02-12,134.27000427246094
2020-05-01,137.0399932861328
2020-05-04,137.69000244140625
2019-06-12,137.47000122070312
2019-04-09,140.64999389648438
2019-03-08,141.41000366210938
2019-02-04,141.02999877929688
2018-07-27,141.2899932861328
2018-08-28,139.6699981689453
2019-01-03,138.38999938964844
2019-08-15,140.42999267578125
2018-10-31,144.75
2019-09-16,144.0
2020-02-18,145.1999969482422
2020-05-07,143.4600067138672
2018-08-17,146.85000610351562
2019-12-04,148.5
2020-02-21,150.00999450683594
2018-12-17,151.33999633789062
2019-08-30,150.39999389648438
2018-11-15,149.22999572753906
2019-07-29,148.2100067138672
2019-06-27,147.69000244140625
2019-04-24,148.63999938964844
2018-07-10,150.0
2018-09-12,149.14999389648438
2019-02-19,146.6699981689453
2019-01-18,144.44000244140625
2020-02-24,145.17999267578125
2020-05-13,144.74000549316406
2019-12-10,147.1199951171875
2020-02-27,147.9600067138672
2019-12-13,149.0500030517578
2020-05-19,150.0
2019-03-06,151.5
2018-11-30,151.55999755859375
2019-08-13,151.6300048828125
2019-07-12,150.38999938964844
2019-06-10,151.25
2019-05-09,152.91000366210938
2018-07-25,154.88999938964844
2018-09-27,155.8300018310547
2018-10-29,151.57000732421875
2019-10-16,146.1300048828125
2019-12-16,145.67999267578125
2020-03-04,141.9499969482422
2020-05-22,139.0500030517578
2019-10-01,138.13999938964844
2019-12-19,134.0500030517578
2018-09-10,138.33999633789062
2019-05-24,140.0399932861328
2018-08-09,139.00999450683594
2019-04-22,139.24000549316406
2019-03-21,135.6199951171875
2019-01-16,136.25999450683594
2019-08-28,136.6699981689453
2018-11-13,137.83999633789062
2018-10-12,140.3000030517578
2019-06-25,140.2899932861328
2020-03-10,140.8800048828125
2020-05-28,140.1199951171875
2019-10-07,139.38999938964844
2020-03-13,140.7899932861328
2019-10-10,139.57000732421875
2020-03-16,140.47999572753906
2020-06-03,139.44000244140625
2018-11-28,138.8000030517578
2018-09-25,139.0
2018-07-23,124.3499984741211
2018-08-24,121.36000061035156
2019-07-10,121.8499984741211
2019-05-07,121.19000244140625
2019-04-05,122.62000274658203
2019-03-04,123.63999938964844
2019-01-31,123.05999755859375
2019-09-12,121.77999877929688
2019-12-31,124.79000091552734
2020-03-19,123.16000366210938
2020-01-03,124.8499984741211
2020-06-09,126.69000244140625
2019-02-15,127.48999786376953
2019-01-14,128.75
2018-07-06,128.58999633789062
2018-08-07,127.4000015258789
2018-10-10,128.47000122070312
2018-12-13,129.69000244140625
2019-08-26,130.4199981689453
2019-07-25,133.75999450683594
2019-05-22,135.74000549316406
2019-03-19,133.42999267578125
2020-01-06,133.0399932861328
2020-03-25,134.75
2020-06-12,135.97999572753906
2019-10-22,136.7100067138672
2020-01-09,135.47000122070312
2020-06-15,135.8300018310547
2019-10-25,136.47000122070312
2020-03-31,135.6300048828125
2020-06-18,137.0500030517578
2019-04-03,139.0800018310547
2018-08-22,138.39999389648438
2018-10-25,139.1999969482422
2019-01-29,139.4600067138672
2018-12-28,139.99000549316406
2018-11-26,140.7100067138672
2019-08-09,140.3000030517578
2019-07-08,139.38999938964844
2019-06-06,143.27999877929688
2019-09-10,142.3699951171875
2020-01-15,143.92999267578125
2020-04-03,145.36000061035156
2019-10-31,147.38999938964844
2020-04-06,148.6999969482422
2020-06-24,150.6300048828125
2018-11-09,150.35000610351562
2019-07-23,151.00999450683594
2019-06-21,151.2100067138672
2019-05-20,152.0
2019-04-18,151.88999938964844
2018-09-06,153.27999877929688
2018-10-08,153.3000030517578
2019-02-13,154.57000732421875
2018-12-11,154.0399932861328
2019-09-25,153.86000061035156
2020-01-21,154.97999572753906
2020-04-09,153.1999969482422
2019-11-06,152.4600067138672
2020-01-24,154.3800048828125
2020-01-27,152.6699981689453
2020-04-15,151.27999877929688
2018-12-26,151.3300018310547
2019-08-07,150.97000122070312
2019-06-04,152.83999633789062
2018-09-21,153.3699951171875
2018-07-19,153.97000122070312
2018-08-20,152.49000549316406
2018-10-23,152.8300018310547
2019-05-03,152.16000366210938
2019-04-01,153.1300048828125
2019-02-28,153.08999633789062
2019-11-12,154.25
2020-01-30,154.92999267578125
2019-11-15,156.6699981689453
2020-04-21,154.00999450683594
2019-04-16,154.52999877929688
2019-03-15,155.00999450683594
2019-02-11,155.83999633789062
2019-01-10,155.05999755859375
2019-08-22,154.9199981689453
2018-11-07,153.72999572753906
2018-08-03,155.60000610351562
2018-09-04,156.27000427246094
2019-06-19,155.19000244140625
2019-09-23,152.8800048828125
2019-11-18,153.00999450683594
2020-02-05,155.25
2020-04-24,156.0399932861328
2019-03-29,157.10000610351562
2019-11-21,153.1199951171875
2020-04-27,156.41000366210938
2020-02-11,157.72000122070312
2020-04-30,157.8000030517578
2019-05-01,156.94000244140625
2019-02-26,156.77999877929688
2019-01-25,157.11000061035156
2018-12-24,156.85000610351562
2019-09-06,156.60000610351562
2018-07-17,155.47999572753906
2018-09-19,153.63999938964844
2019-08-05,155.75
2019-10-08,155.97000122070312
2019-12-11,154.41000366210938
2019-11-27,154.14999389648438
2020-02-14,153.08999633789062
2020-05-06,150.6300048828125
2019-01-08,155.8699951171875
2018-12-07,155.00999450683594
2019-08-20,155.6999969482422
2018-11-05,158.0
2019-07-19,162.36000061035156
2018-10-04,161.44000244140625
2019-06-17,159.6999969482422
2019-05-16,158.07000732421875
2018-08-01,157.4499969482422
2019-03-13,157.0
2019-12-03,158.50999450683594
2020-02-20,159.8800048828125
2019-12-06,159.72000122070312
2020-05-12,160.05999755859375
2019-12-09,160.17999267578125
2020-02-26,158.75
2020-05-15,158.86000061035156
2019-03-28,158.52999877929688
2018-09-17,158.8300018310547
2018-08-16,160.58999633789062
2018-10-19,162.57000732421875
2019-04-29,162.47999572753906
2019-01-23,161.35000610351562
2019-09-04,158.5399932861328
2018-11-20,157.4499969482422
2019-07-02,159.17999267578125
2019-05-31,154.74000549316406
2019-12-12,155.50999450683594
2020-05-18,159.66000366210938
2019-09-27,162.22000122070312
2020-03-03,163.5
2020-05-21,165.10000610351562
2019-05-14,167.1300048828125
2018-08-31,166.64999389648438
2018-07-30,169.0
2018-10-02,169.94000244140625
2019-04-12,168.55999755859375
2019-03-11,161.22999572753906
2019-02-07,161.00999450683594
2019-07-17,162.3800048828125
2019-09-19,160.8000030517578
2019-10-21,161.58999633789062
2019-12-18,163.02999877929688
2020-03-06,163.86000061035156
2019-10-03,163.1300048828125
2020-03-09,162.8699951171875
2020-05-27,164.11000061035156
2019-12-24,165.1699981689453
2020-03-12,163.75
2018-12-20,164.97999572753906
2019-08-01,161.1999969482422
2018-08-14,156.0
2018-07-13,157.42999267578125
2018-10-17,157.80999755859375
2019-05-29,157.1199951171875
2019-03-26,158.27999877929688
2019-02-22,158.97999572753906
2019-10-04,159.25
2019-11-05,160.02999877929688
2019-12-27,160.13999938964844
2020-06-02,159.80999755859375
2019-12-30,159.83999633789062
2020-03-18,160.5500030517578
2020-06-05,160.60000610351562
2019-07-15,156.8000030517578
2018-12-03,156.3000030517578
2019-06-13,166.9499969482422
2019-01-04,164.74000549316406
2018-08-29,167.35000610351562
2019-02-05,168.9600067138672
2018-11-01,168.22000122070312
2019-08-16,166.63999938964844
2019-04-10,166.39999389648438
2019-09-17,165.69000244140625
2019-10-15,164.75999450683594
2020-01-02,163.00999450683594
2020-06-08,161.0
2019-10-18,160.42999267578125
2020-03-24,162.10000610351562
2020-06-11,161.58999633789062
2020-01-08,162.3800048828125
2019-04-25,160.5
2019-07-30,160.4600067138672
2019-02-20,160.0
2018-07-11,159.3800048828125
2018-09-13,160.22000122070312
2018-10-15,162.4199981689453
2019-06-28,163.05999755859375
2018-12-18,160.69000244140625
2018-11-16,160.6300048828125
2019-10-02,158.4600067138672
2020-03-27,159.02000427246094
2020-01-10,159.32000732421875
2019-10-24,160.42999267578125
2020-03-30,159.69000244140625
2020-06-17,160.44000244140625
2020-01-14,161.1199951171875
2020-04-02,163.66000366210938
2019-01-02,163.11000061035156
2019-08-14,162.3800048828125
2018-10-30,165.47000122070312
2019-06-11,165.9600067138672
2019-05-10,167.9499969482422
2019-04-08,166.42999267578125
2018-08-27,166.91000366210938
2018-07-26,166.6199951171875
2018-09-28,168.92999267578125
2019-03-07,169.42999267578125
2019-10-30,169.25
2020-01-17,169.2100067138672
2020-06-23,170.83999633789062
2020-04-08,171.3699951171875
2020-06-26,172.17999267578125
2019-03-22,171.99000549316406
2019-01-17,172.74000549316406
2019-08-29,171.36000061035156
2018-11-14,170.64999389648438
2019-06-26,166.4600067138672
2018-09-11,167.5
2018-07-09,167.6199951171875
2018-08-10,167.02999877929688
2019-04-23,167.47000122070312
2019-09-30,168.30999755859375
2020-01-23,168.25
2019-11-08,167.25
2020-04-14,168.25
2019-11-11,169.6199951171875
2020-01-29,171.85000610351562
2020-04-17,170.3800048828125
2018-07-24,169.72999572753906
2018-09-26,167.52999877929688
2019-05-08,170.1999969482422
2019-03-05,171.22000122070312
2019-02-01,168.27999877929688
2018-12-31,167.3800048828125
2018-11-29,162.24000549316406
2019-08-12,164.22999572753906
2019-07-11,165.3000030517578
2019-09-13,166.88999938964844
2019-11-14,167.61000061035156
2020-04-20,167.14999389648438
