Dates,WST
2018-06-20,101.75
2018-06-21,101.8499984741211
2018-06-25,101.5
2018-06-22,101.05999755859375
2018-06-26,99.0
2018-06-27,99.13999938964844
2018-06-28,97.8499984741211
2018-06-29,98.79000091552734
2018-07-02,98.55000305175781
2018-07-03,99.0
2018-07-05,99.37999725341797
2018-07-16,99.58000183105469
2018-09-18,100.91000366210938
2019-01-24,101.2300033569336
2019-09-05,100.55000305175781
2018-11-21,100.58000183105469
2020-01-13,100.68000030517578
2020-04-01,99.91000366210938
2020-06-19,98.05999755859375
2019-10-29,98.88999938964844
2020-01-16,97.94999694824219
2020-06-22,98.97000122070312
2018-10-03,99.43000030517578
2018-07-31,100.69000244140625
2019-03-12,98.72000122070312
2019-02-08,101.11000061035156
2019-01-07,111.83999633789062
2018-12-06,109.55000305175781
2019-08-19,109.31999969482422
2019-07-18,109.33000183105469
2019-05-15,110.8499984741211
2019-09-20,114.0
2019-11-01,114.27999877929688
2020-04-07,116.05000305175781
2020-06-25,115.94999694824219
2020-06-16,115.66000366210938
2019-11-04,114.43000030517578
2020-01-22,114.69000244140625
2019-11-07,115.33999633789062
2020-04-13,117.0
2019-07-01,114.8499984741211
2019-05-30,114.5
2018-08-15,116.16000366210938
2018-10-18,115.41999816894531
2019-03-27,115.58999633789062
2019-01-22,115.87999725341797
2018-12-21,116.33000183105469
2019-09-03,117.0
2018-11-19,118.05000305175781
2019-08-02,116.87999725341797
2020-01-28,116.80000305175781
2020-04-16,116.83000183105469
2019-11-13,116.87000274658203
2020-01-31,116.44000244140625
2018-12-04,116.19000244140625
2018-11-02,116.47000122070312
2019-07-16,116.87000274658203
2018-08-30,116.63999938964844
2018-10-01,116.44999694824219
2019-06-14,118.33999633789062
2019-05-13,118.8499984741211
2019-04-11,120.58000183105469
2019-02-06,118.86000061035156
2019-09-18,119.68000030517578
2020-02-03,120.9800033569336
2020-04-22,120.02999877929688
2019-11-19,122.12000274658203
2020-02-06,123.04000091552734
2019-11-22,122.7699966430664
2019-03-25,122.66000366210938
2019-02-21,122.4000015258789
2018-12-19,124.22000122070312
2018-07-12,122.72000122070312
2018-09-14,122.48999786376953
2018-08-13,123.06999969482422
2018-10-16,119.3499984741211
2019-07-31,120.3499984741211
2019-05-28,119.19999694824219
2019-04-26,118.55999755859375
2020-04-28,114.44999694824219
2019-11-25,115.43000030517578
2020-02-12,115.58000183105469
2020-05-01,116.4800033569336
2020-05-04,118.95999908447266
2019-06-12,118.66000366210938
2019-04-09,116.87999725341797
2019-03-08,114.1500015258789
2019-02-04,112.37999725341797
2018-07-27,114.18000030517578
2018-08-28,110.0
2019-01-03,102.77999877929688
2019-08-15,101.58999633789062
