Dates,CMS
2018-06-20,45.119998931884766
2018-06-21,45.33000183105469
2018-06-25,45.439998626708984
2018-06-22,46.5099983215332
2018-06-26,46.5099983215332
2018-06-27,47.119998931884766
2018-06-28,47.040000915527344
2018-06-29,47.279998779296875
2018-07-02,47.84000015258789
2018-07-03,47.959999084472656
2018-07-05,48.18000030517578
2018-07-16,48.59000015258789
2018-09-18,46.779998779296875
2019-01-24,47.209999084472656
2019-09-05,47.88999938964844
2018-11-21,47.91999816894531
2020-01-13,47.849998474121094
2020-04-01,47.709999084472656
2020-06-19,47.599998474121094
2019-10-29,47.380001068115234
2020-01-16,47.86000061035156
2020-06-22,47.41999816894531
2018-10-03,47.09000015258789
2018-07-31,47.40999984741211
2019-03-12,47.880001068115234
2019-02-08,48.13999938964844
2019-01-07,48.119998931884766
2018-12-06,47.63999938964844
2019-08-19,48.34000015258789
2019-07-18,47.86000061035156
2019-05-15,47.83000183105469
2019-09-20,48.36000061035156
2019-11-01,48.33000183105469
2020-04-07,48.15999984741211
2020-06-25,48.209999084472656
2020-06-16,48.45000076293945
2019-11-04,48.369998931884766
2020-01-22,48.65999984741211
2019-11-07,48.79999923706055
2020-04-13,49.45000076293945
2019-07-01,49.880001068115234
2019-05-30,49.88999938964844
2018-08-15,49.77000045776367
2018-10-18,49.47999954223633
2019-03-27,49.11000061035156
2019-01-22,49.09000015258789
2018-12-21,49.36000061035156
2019-09-03,48.91999816894531
2018-11-19,48.81999969482422
2019-08-02,49.2400016784668
2020-01-28,49.5099983215332
2020-04-16,49.2400016784668
2019-11-13,49.52000045776367
2020-01-31,50.18000030517578
2018-12-04,50.619998931884766
2018-11-02,50.09000015258789
2019-07-16,50.560001373291016
2018-08-30,50.439998626708984
2018-10-01,50.310001373291016
2019-06-14,50.689998626708984
2019-05-13,50.380001068115234
2019-04-11,50.29999923706055
2019-02-06,50.2599983215332
2019-09-18,48.970001220703125
2020-02-03,49.11000061035156
2020-04-22,49.33000183105469
2019-11-19,48.93000030517578
2020-02-06,48.36000061035156
2019-11-22,47.75
2019-03-25,48.31999969482422
2019-02-21,49.0
2018-12-19,48.849998474121094
2018-07-12,49.34000015258789
2018-09-14,48.7599983215332
2018-08-13,48.90999984741211
2018-10-16,49.88999938964844
2019-07-31,50.25
2019-05-28,50.650001525878906
2019-04-26,50.279998779296875
2020-04-28,49.209999084472656
2019-11-25,48.849998474121094
2020-02-12,49.0099983215332
2020-05-01,49.689998626708984
2020-05-04,49.869998931884766
2019-06-12,49.79999923706055
2019-04-09,50.68000030517578
2019-03-08,50.47999954223633
2019-02-04,50.27000045776367
2018-07-27,51.70000076293945
2018-08-28,50.75
2019-01-03,49.25
2019-08-15,49.790000915527344
2018-10-31,49.849998474121094
2019-09-16,49.52000045776367
2020-02-18,48.61000061035156
2020-05-07,48.13999938964844
2018-08-17,48.70000076293945
2019-12-04,49.099998474121094
2020-02-21,49.630001068115234
2018-12-17,49.5
2019-08-30,50.13999938964844
2018-11-15,50.70000076293945
2019-07-29,50.70000076293945
2019-06-27,50.529998779296875
2019-04-24,50.650001525878906
2018-07-10,51.02000045776367
2018-09-12,51.65999984741211
2019-02-19,51.7400016784668
2019-01-18,50.790000915527344
2020-02-24,50.68000030517578
2020-05-13,50.959999084472656
2019-12-10,51.189998626708984
2020-02-27,51.22999954223633
2019-12-13,51.310001373291016
2020-05-19,52.09000015258789
2019-03-06,52.349998474121094
2018-11-30,52.56999969482422
2019-08-13,52.90999984741211
2019-07-12,52.93000030517578
2019-06-10,53.13999938964844
2019-05-09,53.15999984741211
2018-07-25,52.72999954223633
2018-09-27,53.47999954223633
2018-10-29,52.88999938964844
2019-10-16,51.400001525878906
2019-12-16,51.189998626708984
2020-03-04,51.119998931884766
2020-05-22,51.119998931884766
2019-10-01,51.16999816894531
2019-12-19,48.25
2018-09-10,48.880001068115234
2019-05-24,49.439998626708984
2018-08-09,49.369998931884766
2019-04-22,49.650001525878906
2019-03-21,48.310001373291016
2019-01-16,48.400001525878906
2019-08-28,48.849998474121094
2018-11-13,48.599998474121094
2018-10-12,49.33000183105469
2019-06-25,48.86000061035156
2020-03-10,49.81999969482422
2020-05-28,49.72999954223633
2019-10-07,49.36000061035156
2020-03-13,50.220001220703125
2019-10-10,50.540000915527344
2020-03-16,50.97999954223633
2020-06-03,50.880001068115234
2018-11-28,50.959999084472656
2018-09-25,51.439998626708984
2018-07-23,51.689998626708984
2018-08-24,50.810001373291016
2019-07-10,50.79999923706055
2019-05-07,50.9900016784668
2019-04-05,51.439998626708984
2019-03-04,52.13999938964844
2019-01-31,51.779998779296875
2019-09-12,52.0
2019-12-31,52.04999923706055
2020-03-19,51.97999954223633
2020-01-03,52.599998474121094
2020-06-09,52.95000076293945
2019-02-15,52.83000183105469
2019-01-14,52.790000915527344
2018-07-06,52.779998779296875
2018-08-07,52.5
2018-10-10,52.77000045776367
2018-12-13,52.790000915527344
2019-08-26,52.790000915527344
2019-07-25,53.40999984741211
2019-05-22,54.20000076293945
2019-03-19,53.81999969482422
2020-01-06,53.849998474121094
2020-03-25,53.849998474121094
2020-06-12,54.400001525878906
2019-10-22,54.099998474121094
2020-01-09,54.150001525878906
2020-06-15,54.0
2019-10-25,54.029998779296875
2020-03-31,54.279998779296875
2020-06-18,54.63999938964844
2019-04-03,54.95000076293945
2018-08-22,55.31999969482422
2018-10-25,55.29999923706055
2019-01-29,55.150001525878906
2018-12-28,55.529998779296875
2018-11-26,55.31999969482422
2019-08-09,54.369998931884766
2019-07-08,54.599998474121094
2019-06-06,55.220001220703125
2019-09-10,55.63999938964844
2020-01-15,55.83000183105469
2020-04-03,56.22999954223633
2019-10-31,55.869998931884766
2020-04-06,55.209999084472656
2020-06-24,55.540000915527344
2018-11-09,54.9900016784668
2019-07-23,54.900001525878906
2019-06-21,54.86000061035156
2019-05-20,54.56999969482422
2019-04-18,55.11000061035156
2018-09-06,54.34000015258789
2018-10-08,54.619998931884766
2019-02-13,54.38999938964844
2018-12-11,54.93000030517578
2019-09-25,54.97999954223633
2020-01-21,54.869998931884766
2020-04-09,54.04999923706055
2019-11-06,54.09000015258789
2020-01-24,53.810001373291016
2020-01-27,53.560001373291016
2020-04-15,54.189998626708984
2018-12-26,54.400001525878906
2019-08-07,54.7599983215332
2019-06-04,54.900001525878906
2018-09-21,54.630001068115234
2018-07-19,55.54999923706055
2018-08-20,54.97999954223633
2018-10-23,54.58000183105469
2019-05-03,55.2599983215332
2019-04-01,55.11000061035156
2019-02-28,54.939998626708984
2019-11-12,54.27000045776367
2020-01-30,54.400001525878906
2019-11-15,55.630001068115234
2020-04-21,56.45000076293945
2019-04-16,55.849998474121094
2019-03-15,55.849998474121094
2019-02-11,56.220001220703125
2019-01-10,56.459999084472656
2019-08-22,56.720001220703125
2018-11-07,56.349998474121094
2018-08-03,56.70000076293945
2018-09-04,57.349998474121094
2019-06-19,57.2400016784668
2019-09-23,56.16999816894531
2019-11-18,55.4900016784668
2020-02-05,55.75
2020-04-24,56.11000061035156
2019-03-29,57.0
2019-11-21,56.58000183105469
2020-04-27,57.959999084472656
2020-02-11,58.209999084472656
2020-04-30,57.790000915527344
2019-05-01,57.5
2019-02-26,57.16999816894531
2019-01-25,57.95000076293945
2018-12-24,57.95000076293945
2019-09-06,58.75
2018-07-17,58.369998931884766
2018-09-19,58.119998931884766
2019-08-05,58.88999938964844
2019-10-08,59.099998474121094
2019-12-11,59.150001525878906
2019-11-27,59.02000045776367
2020-02-14,58.959999084472656
2020-05-06,57.540000915527344
2019-01-08,57.5099983215332
2018-12-07,57.90999984741211
2019-08-20,57.65999984741211
2018-11-05,58.22999954223633
2019-07-19,58.97999954223633
2018-10-04,58.720001220703125
2019-06-17,58.880001068115234
2019-05-16,58.880001068115234
2018-08-01,58.91999816894531
2019-03-13,59.0
2019-12-03,58.58000183105469
2020-02-20,58.619998931884766
2019-12-06,58.400001525878906
2020-05-12,58.66999816894531
2019-12-09,59.130001068115234
2020-02-26,58.2599983215332
2020-05-15,58.290000915527344
2019-03-28,58.27000045776367
2018-09-17,58.0099983215332
2018-08-16,57.959999084472656
2018-10-19,58.689998626708984
2019-04-29,59.18000030517578
2019-01-23,58.560001373291016
2019-09-04,58.220001220703125
2018-11-20,58.9900016784668
2019-07-02,58.70000076293945
2019-05-31,58.220001220703125
2019-12-12,58.900001525878906
2020-05-18,59.11000061035156
2019-09-27,60.06999969482422
2020-03-03,60.31999969482422
2020-05-21,59.939998626708984
2019-05-14,60.09000015258789
2018-08-31,59.77000045776367
2018-07-30,61.27000045776367
2018-10-02,61.20000076293945
2019-04-12,61.56999969482422
2019-03-11,61.459999084472656
2019-02-07,62.060001373291016
2019-07-17,62.13999938964844
2019-09-19,61.58000183105469
2019-10-21,62.40999984741211
2019-12-18,62.560001373291016
2020-03-06,62.470001220703125
2019-10-03,63.029998779296875
2020-03-09,63.04999923706055
2020-05-27,64.37999725341797
2019-12-24,64.4800033569336
2020-03-12,63.400001525878906
2018-12-20,62.7599983215332
2019-08-01,61.45000076293945
2018-08-14,60.9900016784668
2018-07-13,61.25
2018-10-17,61.630001068115234
2019-05-29,61.27000045776367
2019-03-26,61.459999084472656
2019-02-22,62.369998931884766
2019-10-04,62.630001068115234
2019-11-05,62.849998474121094
2019-12-27,63.11000061035156
2020-06-02,63.189998626708984
2019-12-30,64.08999633789062
2020-03-18,64.33000183105469
2020-06-05,65.04000091552734
2019-07-15,64.01000213623047
2018-12-03,63.95000076293945
2019-06-13,64.1500015258789
2019-01-04,63.58000183105469
2018-08-29,64.0
2019-02-05,64.91999816894531
2018-11-01,64.44999694824219
2019-08-16,64.0999984741211
2019-04-10,64.5999984741211
2019-09-17,64.33000183105469
2019-10-15,63.880001068115234
2020-01-02,63.47999954223633
2020-06-08,63.22999954223633
2019-10-18,63.540000915527344
2020-03-24,63.68000030517578
2020-06-11,64.01000213623047
2020-01-08,63.95000076293945
2019-04-25,63.72999954223633
2019-07-30,63.290000915527344
2019-02-20,64.44999694824219
