Dates,FRT
2018-06-20,412100.0
2018-06-21,687600.0
2018-06-25,558300.0
2018-06-22,602200.0
2018-06-26,586100.0
2018-06-27,384500.0
2018-06-28,480200.0
2018-06-29,778500.0
2018-07-02,461700.0
2018-07-03,216300.0
2018-07-05,318200.0
2018-07-16,349600.0
2018-09-18,539700.0
2019-01-24,391100.0
2019-09-05,426600.0
2018-11-21,316400.0
2020-01-13,246600.0
2020-04-01,241300.0
2020-06-19,392100.0
2019-10-29,342400.0
2020-01-16,248300.0
2020-06-22,258300.0
2018-10-03,259900.0
2018-07-31,373900.0
2019-03-12,255300.0
2019-02-08,862500.0
2019-01-07,750600.0
2018-12-06,569700.0
2019-08-19,1001600.0
2019-07-18,592700.0
2019-05-15,614800.0
2019-09-20,334100.0
2019-11-01,282200.0
2020-04-07,405400.0
2020-06-25,247000.0
2020-06-16,258400.0
2019-11-04,255000.0
2020-01-22,282100.0
2019-11-07,315800.0
2020-04-13,345400.0
2019-07-01,320300.0
2019-05-30,1196600.0
2018-08-15,449100.0
2018-10-18,345500.0
2019-03-27,314400.0
2019-01-22,294700.0
2018-12-21,239500.0
2019-09-03,295200.0
2018-11-19,381400.0
2019-08-02,319000.0
2020-01-28,231900.0
2020-04-16,352500.0
2019-11-13,293200.0
2020-01-31,325700.0
2018-12-04,239700.0
2018-11-02,296800.0
2019-07-16,269900.0
2018-08-30,189200.0
2018-10-01,329000.0
2019-06-14,340100.0
2019-05-13,347900.0
2019-04-11,317100.0
2019-02-06,192300.0
2019-09-18,694600.0
2020-02-03,516900.0
2020-04-22,875700.0
2019-11-19,414600.0
2020-02-06,266900.0
2019-11-22,283500.0
2019-03-25,273700.0
2019-02-21,409300.0
2018-12-19,238100.0
2018-07-12,236800.0
2018-09-14,251000.0
2018-08-13,513100.0
2018-10-16,229200.0
2019-07-31,520400.0
2019-05-28,375100.0
2019-04-26,514000.0
2020-04-28,1009300.0
2019-11-25,699100.0
2020-02-12,606800.0
2020-05-01,343000.0
2020-05-04,376400.0
2019-06-12,274600.0
2019-04-09,257000.0
2019-03-08,451600.0
2019-02-04,374300.0
2018-07-27,609400.0
2018-08-28,520600.0
2019-01-03,514200.0
2019-08-15,416000.0
2018-10-31,614900.0
2019-09-16,988500.0
2020-02-18,763800.0
2020-05-07,533300.0
2018-08-17,364600.0
2019-12-04,207000.0
2020-02-21,285000.0
2018-12-17,329500.0
2019-08-30,283800.0
2018-11-15,215500.0
2019-07-29,350600.0
2019-06-27,428400.0
