Dates,FRT
2018-06-20,118.0
2018-06-21,119.68000030517578
2018-06-25,123.72000122070312
2018-06-22,124.54000091552734
2018-06-26,123.19999694824219
2018-06-27,124.6500015258789
2018-06-28,124.30999755859375
2018-06-29,125.11000061035156
2018-07-02,123.63999938964844
2018-07-03,123.94000244140625
2018-07-05,124.58000183105469
2018-07-16,125.91000366210938
2018-09-18,125.75
2019-01-24,125.72000122070312
2019-09-05,124.7699966430664
2018-11-21,124.58000183105469
2020-01-13,124.80000305175781
2020-04-01,123.41999816894531
2020-06-19,123.76000213623047
2019-10-29,122.31999969482422
2020-01-16,122.70999908447266
2020-06-22,123.44999694824219
2018-10-03,123.2699966430664
2018-07-31,123.77999877929688
2019-03-12,123.94999694824219
2019-02-08,122.63999938964844
2019-01-07,120.41000366210938
2018-12-06,120.0
2019-08-19,122.23999786376953
2019-07-18,122.05000305175781
2019-05-15,124.31999969482422
2019-09-20,126.20999908447266
2019-11-01,125.95999908447266
2020-04-07,124.63999938964844
2020-06-25,124.36000061035156
2020-06-16,125.23999786376953
2019-11-04,124.73999786376953
2020-01-22,124.61000061035156
2019-11-07,124.81999969482422
2020-04-13,125.0999984741211
2019-07-01,125.8499984741211
2019-05-30,127.01000213623047
2018-08-15,129.44000244140625
2018-10-18,128.52000427246094
2019-03-27,128.82000732421875
2019-01-22,129.22999572753906
2018-12-21,129.49000549316406
2019-09-03,128.69000244140625
2018-11-19,128.4600067138672
2019-08-02,130.2899932861328
2020-01-28,129.7100067138672
2020-04-16,129.99000549316406
2019-11-13,128.8800048828125
2020-01-31,128.42999267578125
2018-12-04,130.55999755859375
2018-11-02,129.58999633789062
2019-07-16,130.02000427246094
2018-08-30,129.63999938964844
2018-10-01,129.9499969482422
2019-06-14,130.74000549316406
2019-05-13,128.0399932861328
2019-04-11,129.24000549316406
2019-02-06,129.33999633789062
2019-09-18,127.66999816894531
2020-02-03,126.16000366210938
2020-04-22,127.66999816894531
2019-11-19,124.68000030517578
2020-02-06,125.27999877929688
2019-11-22,124.1500015258789
2019-03-25,124.05999755859375
2019-02-21,124.23999786376953
2018-12-19,125.08999633789062
2018-07-12,124.38999938964844
2018-09-14,121.80999755859375
2018-08-13,121.12000274658203
2018-10-16,122.47000122070312
2019-07-31,122.97000122070312
2019-05-28,123.05999755859375
2019-04-26,121.75
2020-04-28,119.0999984741211
2019-11-25,118.06999969482422
2020-02-12,118.18000030517578
2020-05-01,119.01000213623047
2020-05-04,120.81999969482422
2019-06-12,121.55999755859375
2019-04-09,121.79000091552734
