Dates,FRT
2018-06-20,120.44999694824219
2018-06-21,123.69000244140625
2018-06-25,125.61000061035156
2018-06-22,125.7300033569336
2018-06-26,124.95999908447266
2018-06-27,124.94999694824219
2018-06-28,126.16999816894531
2018-06-29,126.55000305175781
2018-07-02,124.73999786376953
2018-07-03,125.0
2018-07-05,126.27999877929688
2018-07-16,126.88999938964844
2018-09-18,126.5199966430664
2019-01-24,126.27999877929688
2019-09-05,124.88999938964844
2018-11-21,125.5999984741211
2020-01-13,125.08999633789062
2020-04-01,124.7300033569336
2020-06-19,123.9800033569336
2019-10-29,123.16000366210938
2020-01-16,124.79000091552734
2020-06-22,124.26000213623047
2018-10-03,124.4800033569336
2018-07-31,123.93000030517578
2019-03-12,125.05000305175781
2019-02-08,122.88999938964844
2019-01-07,120.68000030517578
2018-12-06,122.44000244140625
2019-08-19,125.5
2019-07-18,124.9800033569336
2019-05-15,126.04000091552734
2019-09-20,128.22000122070312
2019-11-01,126.23999786376953
2020-04-07,125.1500015258789
2020-06-25,125.6500015258789
2020-06-16,125.97000122070312
2019-11-04,125.04000091552734
2020-01-22,124.87000274658203
2019-11-07,125.63999938964844
2020-04-13,126.41000366210938
2019-07-01,127.08999633789062
2019-05-30,129.36000061035156
2018-08-15,130.5
2018-10-18,128.9499969482422
2019-03-27,129.19000244140625
2019-01-22,129.83999633789062
2018-12-21,130.08999633789062
2019-09-03,129.3800048828125
2018-11-19,130.82000732421875
2019-08-02,130.82000732421875
2020-01-28,130.08999633789062
2020-04-16,130.61000061035156
2019-11-13,129.27999877929688
2020-01-31,130.1300048828125
2018-12-04,131.24000549316406
2018-11-02,129.6999969482422
2019-07-16,130.11000061035156
2018-08-30,130.30999755859375
2018-10-01,130.94000244140625
2019-06-14,131.4199981689453
2019-05-13,129.61000061035156
2019-04-11,130.57000732421875
2019-02-06,130.00999450683594
2019-09-18,127.80999755859375
2020-02-03,127.87000274658203
2020-04-22,127.87000274658203
2019-11-19,125.38999938964844
2020-02-06,125.93000030517578
2019-11-22,124.2699966430664
2019-03-25,124.20999908447266
2019-02-21,126.47000122070312
2018-12-19,125.12000274658203
2018-07-12,124.68000030517578
2018-09-14,122.56999969482422
2018-08-13,122.75
2018-10-16,122.72000122070312
2019-07-31,124.9800033569336
2019-05-28,124.0999984741211
2019-04-26,121.88999938964844
2020-04-28,119.20999908447266
2019-11-25,118.4000015258789
2020-02-12,119.2300033569336
2020-05-01,121.86000061035156
2020-05-04,122.0
2019-06-12,121.80999755859375
2019-04-09,122.9000015258789
2019-03-08,120.01000213623047
2019-02-04,120.19000244140625
2018-07-27,121.0
2018-08-28,123.20999908447266
2019-01-03,122.5199966430664
2019-08-15,125.30999755859375
2018-10-31,126.91000366210938
2019-09-16,124.05000305175781
2020-02-18,124.29000091552734
2020-05-07,122.7699966430664
2018-08-17,124.87000274658203
2019-12-04,125.13999938964844
2020-02-21,126.91000366210938
2018-12-17,128.13999938964844
2019-08-30,128.66000366210938
2018-11-15,128.4600067138672
2019-07-29,128.99000549316406
2019-06-27,128.85000610351562
2019-04-24,127.37000274658203
2018-07-10,129.00999450683594
2018-09-12,129.27000427246094
2019-02-19,129.35000610351562
2019-01-18,129.11000061035156
2020-02-24,128.44000244140625
2020-05-13,128.77999877929688
2019-12-10,129.38999938964844
2020-02-27,131.05999755859375
2019-12-13,130.88999938964844
2020-05-19,132.08999633789062
2019-03-06,133.77000427246094
2018-11-30,131.27000427246094
2019-08-13,135.5500030517578
2019-07-12,134.02000427246094
2019-06-10,132.8000030517578
2019-05-09,133.32000732421875
2018-07-25,130.38999938964844
2018-09-27,131.55999755859375
2018-10-29,130.91000366210938
2019-10-16,126.48999786376953
2019-12-16,125.37000274658203
2020-03-04,122.94999694824219
2020-05-22,121.44999694824219
2019-10-01,119.70999908447266
2019-12-19,115.33000183105469
2018-09-10,119.83999633789062
2019-05-24,120.2300033569336
2018-08-09,120.33000183105469
2019-04-22,118.04000091552734
2019-03-21,115.80999755859375
2019-01-16,116.58999633789062
2019-08-28,117.9000015258789
2018-11-13,119.41999816894531
2018-10-12,121.97000122070312
2019-06-25,121.95999908447266
2020-03-10,123.69999694824219
2020-05-28,123.41000366210938
2019-10-07,123.0
2020-03-13,124.30000305175781
2019-10-10,125.02999877929688
2020-03-16,125.5999984741211
2020-06-03,125.91000366210938
2018-11-28,126.30000305175781
2018-09-25,126.0999984741211
2018-07-23,126.69000244140625
2018-08-24,128.4600067138672
2019-07-10,129.49000549316406
2019-05-07,130.36000061035156
2019-04-05,131.44000244140625
2019-03-04,132.57000732421875
2019-01-31,132.1699981689453
2019-09-12,134.32000732421875
2019-12-31,134.22999572753906
2020-03-19,133.4199981689453
2020-01-03,135.58999633789062
2020-06-09,136.52000427246094
2019-02-15,136.47999572753906
2019-01-14,135.0800018310547
2018-07-06,135.5800018310547
2018-08-07,134.22000122070312
2018-10-10,135.47999572753906
2018-12-13,135.3300018310547
2019-08-26,133.6300048828125
2019-07-25,134.4600067138672
2019-05-22,135.16000366210938
2019-03-19,134.22000122070312
2020-01-06,133.74000549316406
2020-03-25,133.1199951171875
2020-06-12,133.58999633789062
2019-10-22,132.4600067138672
2020-01-09,133.07000732421875
2020-06-15,134.3000030517578
2019-10-25,132.77000427246094
2020-03-31,132.36000061035156
2020-06-18,131.8300018310547
2019-04-03,132.89999389648438
2018-08-22,134.0
2018-10-25,133.86000061035156
2019-01-29,133.47999572753906
2018-12-28,132.67999267578125
2018-11-26,132.38999938964844
2019-08-09,131.27999877929688
2019-07-08,131.6999969482422
2019-06-06,134.05999755859375
2019-09-10,134.52000427246094
2020-01-15,135.19000244140625
2020-04-03,137.32000732421875
2019-10-31,137.0399932861328
2020-04-06,138.75
2020-06-24,137.85000610351562
2018-11-09,137.22999572753906
2019-07-23,137.61000061035156
2019-06-21,137.3800048828125
2019-05-20,137.6300048828125
2019-04-18,138.9199981689453
2018-09-06,137.91000366210938
2018-10-08,136.97999572753906
2019-02-13,138.5399932861328
2018-12-11,136.92999267578125
2019-09-25,138.11000061035156
2020-01-21,136.52000427246094
2020-04-09,132.49000549316406
2019-11-06,131.00999450683594
2020-01-24,132.1999969482422
2020-01-27,129.58999633789062
2020-04-15,131.4499969482422
2018-12-26,133.1199951171875
2019-08-07,133.72000122070312
2019-06-04,133.89999389648438
2018-09-21,132.6199951171875
2018-07-19,133.85000610351562
2018-08-20,133.83999633789062
2018-10-23,134.08999633789062
2019-05-03,132.9600067138672
2019-04-01,132.82000732421875
2019-02-28,129.75999450683594
2019-11-12,129.52000427246094
2020-01-30,129.0500030517578
2019-11-15,129.36000061035156
2020-04-21,129.19000244140625
2019-04-16,128.64999389648438
2019-03-15,130.08999633789062
