Dates,VRSK
2018-06-20,491600.0
2018-06-21,431500.0
2018-06-25,1436400.0
2018-06-22,885900.0
2018-06-26,723200.0
2018-06-27,907400.0
2018-06-28,673400.0
2018-06-29,658500.0
2018-07-02,553700.0
2018-07-03,258400.0
2018-07-05,976200.0
2018-07-16,687200.0
2018-09-18,637000.0
2019-01-24,822300.0
2019-09-05,736100.0
2018-11-21,606300.0
2020-01-13,403600.0
2020-04-01,765900.0
2020-06-19,408800.0
2019-10-29,478000.0
2020-01-16,373900.0
2020-06-22,658200.0
2018-10-03,478800.0
2018-07-31,720300.0
2019-03-12,546300.0
2019-02-08,1046900.0
2019-01-07,991900.0
2018-12-06,1046400.0
2019-08-19,1118300.0
2019-07-18,1487400.0
2019-05-15,1106100.0
2019-09-20,787700.0
2019-11-01,540600.0
2020-04-07,689400.0
2020-06-25,562300.0
2020-06-16,656900.0
2019-11-04,436600.0
2020-01-22,536800.0
2019-11-07,539300.0
2020-04-13,697000.0
2019-07-01,469700.0
2019-05-30,639000.0
2018-08-15,535500.0
2018-10-18,598600.0
2019-03-27,281700.0
2019-01-22,356100.0
2018-12-21,451800.0
2019-09-03,545300.0
2018-11-19,473400.0
2019-08-02,723300.0
2020-01-28,455600.0
2020-04-16,664400.0
2019-11-13,930900.0
2020-01-31,728400.0
2018-12-04,755800.0
2018-11-02,702300.0
2019-07-16,883600.0
2018-08-30,791500.0
2018-10-01,771500.0
2019-06-14,662800.0
2019-05-13,545000.0
2019-04-11,510400.0
2019-02-06,549200.0
2019-09-18,551400.0
2020-02-03,772300.0
2020-04-22,2722400.0
2019-11-19,606500.0
2020-02-06,595600.0
2019-11-22,621100.0
2019-03-25,547100.0
2019-02-21,693100.0
2018-12-19,602200.0
2018-07-12,653900.0
2018-09-14,632400.0
2018-08-13,941100.0
2018-10-16,1021500.0
2019-07-31,778100.0
2019-05-28,860800.0
2019-04-26,1194600.0
2020-04-28,1236100.0
2019-11-25,933100.0
2020-02-12,676400.0
2020-05-01,611700.0
2020-05-04,754900.0
2019-06-12,547900.0
2019-04-09,658500.0
2019-03-08,688600.0
2019-02-04,861000.0
2018-07-27,684400.0
2018-08-28,806000.0
2019-01-03,915700.0
2019-08-15,1322800.0
2018-10-31,1185600.0
2019-09-16,2079300.0
2020-02-18,1404500.0
2020-05-07,1216400.0
2018-08-17,858200.0
2019-12-04,775900.0
2020-02-21,816000.0
2018-12-17,541300.0
2019-08-30,1124200.0
2018-11-15,1210500.0
2019-07-29,1291200.0
