Dates,VRSK
2018-06-20,108.63999938964844
2018-06-21,107.56999969482422
2018-06-25,107.88999938964844
2018-06-22,106.62000274658203
2018-06-26,106.26000213623047
2018-06-27,106.05999755859375
2018-06-28,106.44000244140625
2018-06-29,107.63999938964844
2018-07-02,108.12999725341797
2018-07-03,107.7300033569336
2018-07-05,109.26000213623047
2018-07-16,110.58000183105469
2018-09-18,111.56999969482422
2019-01-24,111.55000305175781
2019-09-05,111.80000305175781
2018-11-21,112.98999786376953
2020-01-13,113.04000091552734
2020-04-01,112.01000213623047
2020-06-19,112.48999786376953
2019-10-29,112.44999694824219
2020-01-16,112.25
2020-06-22,112.58999633789062
2018-10-03,112.72000122070312
2018-07-31,112.81999969482422
2019-03-12,114.4800033569336
2019-02-08,113.6500015258789
2019-01-07,111.45999908447266
2018-12-06,109.41999816894531
2019-08-19,110.62000274658203
2019-07-18,114.80999755859375
2019-05-15,114.66999816894531
2019-09-20,114.38999938964844
2019-11-01,114.58000183105469
2020-04-07,116.16999816894531
2020-06-25,116.37999725341797
2020-06-16,116.69999694824219
2019-11-04,116.94999694824219
2020-01-22,116.31999969482422
2019-11-07,117.76000213623047
2020-04-13,116.87999725341797
2019-07-01,117.05999755859375
2019-05-30,117.41999816894531
2018-08-15,117.61000061035156
2018-10-18,117.44000244140625
2019-03-27,117.54000091552734
2019-01-22,117.38999938964844
2018-12-21,117.94000244140625
2019-09-03,118.08000183105469
2018-11-19,118.22000122070312
2019-08-02,118.95999908447266
2020-01-28,118.88999938964844
2020-04-16,119.08999633789062
2019-11-13,120.45999908447266
2020-01-31,120.05999755859375
2018-12-04,120.31999969482422
2018-11-02,120.43000030517578
2019-07-16,120.88999938964844
2018-08-30,120.69000244140625
2018-10-01,121.5
2019-06-14,122.5999984741211
2019-05-13,121.62999725341797
2019-04-11,120.55000305175781
2019-02-06,122.19999694824219
2019-09-18,119.83999633789062
2020-02-03,120.79000091552734
2020-04-22,120.02999877929688
2019-11-19,120.05999755859375
2020-02-06,120.80000305175781
2019-11-22,120.68000030517578
2019-03-25,120.80000305175781
2019-02-21,120.55000305175781
2018-12-19,120.38999938964844
2018-07-12,120.47000122070312
2018-09-14,120.97000122070312
2018-08-13,118.36000061035156
2018-10-16,119.45999908447266
2019-07-31,119.16999816894531
2019-05-28,120.56999969482422
2019-04-26,115.11000061035156
2020-04-28,113.33000183105469
2019-11-25,114.77999877929688
2020-02-12,113.2300033569336
2020-05-01,116.2300033569336
2020-05-04,117.08000183105469
2019-06-12,115.63999938964844
2019-04-09,116.13999938964844
2019-03-08,116.69000244140625
2019-02-04,115.44999694824219
2018-07-27,113.38999938964844
2018-08-28,114.91000366210938
2019-01-03,113.83999633789062
2019-08-15,114.48999786376953
2018-10-31,116.91000366210938
2019-09-16,119.83999633789062
2020-02-18,115.63999938964844
2020-05-07,115.55000305175781
2018-08-17,116.91999816894531
2019-12-04,118.87999725341797
2020-02-21,120.94999694824219
2018-12-17,122.72000122070312
2019-08-30,123.37999725341797
2018-11-15,122.25
2019-07-29,120.93000030517578
2019-06-27,121.08999633789062
2019-04-24,123.87999725341797
2018-07-10,123.83000183105469
2018-09-12,122.5
2019-02-19,120.2699966430664
