Dates,COP
2018-09-26,4122800.0
2019-05-08,6333200.0
2019-03-05,8823800.0
2019-02-01,5974800.0
2018-12-31,6470100.0
2018-11-29,6005100.0
2019-08-12,7233100.0
2019-07-11,3675300.0
2019-09-13,6119400.0
2019-11-14,3933300.0
2020-04-20,4315200.0
2020-02-04,4765500.0
2020-04-23,6974000.0
2018-12-14,6755800.0
2019-08-27,6199900.0
2018-08-08,5689500.0
2018-10-11,7321100.0
2018-11-12,4824700.0
2019-07-26,4102500.0
2019-06-24,6931500.0
2019-05-23,7673000.0
2019-03-20,7016000.0
2019-01-15,13403000.0
2019-11-20,12891800.0
2020-02-07,5901700.0
2020-02-10,5081800.0
2020-04-29,6756300.0
2019-11-26,6143000.0
2020-02-13,5906800.0
2019-01-30,5995600.0
2018-08-23,4204500.0
2018-09-24,3937800.0
2018-11-27,5267400.0
2018-10-26,5755000.0
2019-07-09,5216300.0
2019-06-07,10350200.0
2019-05-06,10447900.0
2019-04-04,11646700.0
2019-09-11,14675200.0
2019-11-29,16558800.0
2020-05-05,10672800.0
2019-12-02,11785400.0
2020-02-19,8924200.0
2020-05-08,9603800.0
2019-05-21,14504800.0
2019-03-18,29828600.0
2018-09-07,20337700.0
2018-08-06,18460700.0
2018-10-09,16581700.0
2019-02-14,17506900.0
2018-12-12,13774100.0
2019-07-24,18692900.0
2019-09-26,17039700.0
2019-10-28,15655100.0
2019-12-05,23790200.0
2020-05-11,16239400.0
2019-07-03,16724400.0
2020-02-25,14295900.0
2020-05-14,13576900.0
2020-02-28,10647200.0
2019-08-08,11089600.0
2019-06-05,13481100.0
2018-07-20,11101400.0
2018-08-21,14693200.0
2018-10-24,11505000.0
2019-04-02,13532900.0
2019-03-01,11704200.0
2019-01-28,8171100.0
2018-12-27,14200200.0
2019-09-09,10222000.0
2020-03-02,11082200.0
2020-05-20,11354700.0
2019-12-17,13220600.0
2020-03-05,13162600.0
2019-02-12,13226400.0
2019-01-11,13639500.0
2018-12-10,12049900.0
2019-08-23,9849600.0
2018-11-08,8686400.0
2019-07-22,8302500.0
2019-06-20,9445700.0
2018-09-05,12958100.0
2019-04-17,11757800.0
2019-09-24,9256700.0
2019-12-20,12515600.0
2020-05-26,10096700.0
2019-04-30,8213000.0
2019-12-23,9520700.0
2020-03-11,6975600.0
2020-05-29,7076800.0
2019-12-26,7375900.0
2020-06-01,7666400.0
2019-05-02,6718700.0
2019-02-27,7242300.0
2018-11-23,9049900.0
2019-08-06,6126300.0
2018-07-18,7203000.0
2018-09-20,6646000.0
2018-10-22,4674000.0
2019-07-05,7702600.0
2019-06-03,5768100.0
2019-10-09,5871500.0
2019-10-11,10178400.0
2020-03-17,6344300.0
2020-06-04,5858300.0
2019-10-14,8024200.0
2020-03-20,5577000.0
2018-11-06,11578800.0
2019-06-18,10242200.0
2019-05-17,8203600.0
2019-04-15,7882300.0
2019-03-14,8435200.0
2019-01-09,8927100.0
2018-08-02,7992100.0
2018-10-05,6932400.0
2019-08-21,5966600.0
2019-10-17,7293700.0
2020-03-23,13702800.0
2020-06-10,5009100.0
2019-02-25,4962200.0
2020-01-07,7137200.0
2020-03-26,5981000.0
2019-10-23,8399400.0
