Dates,DE
2018-06-20,144.35000610351562
2018-06-21,142.00999450683594
2018-06-25,143.1699981689453
2018-06-22,139.64999389648438
2018-06-26,139.64999389648438
2018-06-27,139.3800048828125
2018-06-28,139.4199981689453
2018-06-29,139.8000030517578
2018-07-02,141.16000366210938
2018-07-03,140.24000549316406
2018-07-05,139.6999969482422
2018-07-16,139.97999572753906
2018-09-18,144.4199981689453
2019-01-24,144.5500030517578
2019-09-05,141.4199981689453
2018-11-21,140.8000030517578
2020-01-13,137.5800018310547
2020-04-01,136.27000427246094
2020-06-19,138.0
2019-10-29,139.2100067138672
2020-01-16,140.3000030517578
2020-06-22,137.1699981689453
2018-10-03,135.52999877929688
2018-07-31,139.83999633789062
2019-03-12,141.32000732421875
2019-02-08,142.72999572753906
2019-01-07,140.8000030517578
2018-12-06,138.1999969482422
2019-08-19,144.7899932861328
2019-07-18,141.91000366210938
2019-05-15,142.08999633789062
2019-09-20,143.36000061035156
2019-11-01,143.92999267578125
2020-04-07,146.1199951171875
2020-06-25,144.80999755859375
2020-06-16,139.8300018310547
2019-11-04,137.0500030517578
2020-01-22,136.91000366210938
2019-11-07,138.64999389648438
2020-04-13,135.6999969482422
2019-07-01,137.35000610351562
2019-05-30,140.58999633789062
2018-08-15,140.52999877929688
2018-10-18,143.8300018310547
2019-03-27,142.61000061035156
2019-01-22,141.17999267578125
2018-12-21,144.75999450683594
2019-09-03,146.1999969482422
2018-11-19,146.5
2019-08-02,145.99000549316406
2020-01-28,143.32000732421875
2020-04-16,143.8000030517578
2019-11-13,141.6999969482422
2020-01-31,144.8800048828125
2018-12-04,145.10000610351562
2018-11-02,147.6300048828125
2019-07-16,148.61000061035156
2018-08-30,148.60000610351562
2018-10-01,147.77999877929688
2019-06-14,148.8699951171875
2019-05-13,147.75999450683594
2019-04-11,149.0399932861328
2019-02-06,149.0399932861328
2019-09-18,152.38999938964844
2020-02-03,154.07000732421875
2020-04-22,152.80999755859375
2019-11-19,151.5500030517578
2020-02-06,151.2899932861328
2019-11-22,152.32000732421875
2019-03-25,151.22000122070312
2019-02-21,150.3300018310547
2018-12-19,150.86000061035156
2018-07-12,154.82000732421875
2018-09-14,158.2100067138672
2018-08-13,158.30999755859375
2018-10-16,156.39999389648438
2019-07-31,153.82000732421875
2019-05-28,150.4499969482422
2019-04-26,147.4600067138672
2020-04-28,146.47000122070312
2019-11-25,148.4199981689453
2020-02-12,148.4499969482422
2020-05-01,151.9600067138672
2020-05-04,151.63999938964844
2019-06-12,147.1999969482422
2019-04-09,145.91000366210938
2019-03-08,145.44000244140625
2019-02-04,139.6300048828125
2018-07-27,133.88999938964844
2018-08-28,136.77999877929688
2019-01-03,133.0
2019-08-15,130.55999755859375
2018-10-31,132.75999450683594
2019-09-16,135.44000244140625
2020-02-18,140.64999389648438
2020-05-07,141.72000122070312
2018-08-17,142.64999389648438
2019-12-04,145.47000122070312
2020-02-21,148.42999267578125
2018-12-17,146.6699981689453
2019-08-30,144.80999755859375
2018-11-15,144.57000732421875
2019-07-29,147.22999572753906
2019-06-27,147.22000122070312
2019-04-24,146.6999969482422
2018-07-10,147.8699951171875
2018-09-12,142.57000732421875
2019-02-19,138.52000427246094
2019-01-18,141.8800048828125
2020-02-24,142.83999633789062
2020-05-13,148.9199981689453
2019-12-10,147.80999755859375
2020-02-27,152.00999450683594
2019-12-13,149.97000122070312
2020-05-19,154.8800048828125
2019-03-06,162.2100067138672
2018-11-30,151.58999633789062
2019-08-13,154.38999938964844
2019-07-12,147.25999450683594
2019-06-10,147.02999877929688
2019-05-09,147.0
2018-07-25,148.13999938964844
2018-09-27,148.30999755859375
2018-10-29,149.00999450683594
2019-10-16,146.0800018310547
2019-12-16,149.22999572753906
2020-03-04,146.0800018310547
2020-05-22,144.63999938964844
2019-10-01,142.99000549316406
2019-12-19,137.3800048828125
2018-09-10,143.27000427246094
2019-05-24,146.72000122070312
2018-08-09,145.27999877929688
2019-04-22,149.1699981689453
2019-03-21,148.10000610351562
2019-01-16,144.0500030517578
2019-08-28,151.67999267578125
2018-11-13,154.16000366210938
2018-10-12,156.9199981689453
2019-06-25,154.3300018310547
2020-03-10,159.1199951171875
2020-05-28,158.27999877929688
2019-10-07,157.41000366210938
2020-03-13,157.0500030517578
2019-10-10,157.41000366210938
2020-03-16,160.07000732421875
2020-06-03,164.61000061035156
2018-11-28,158.83999633789062
2018-09-25,157.61000061035156
2018-07-23,158.42999267578125
2018-08-24,161.5
2019-07-10,156.49000549316406
2019-05-07,160.47999572753906
2019-04-05,162.91000366210938
2019-03-04,164.0
2019-01-31,163.8800048828125
2019-09-12,164.50999450683594
2019-12-31,164.2100067138672
2020-03-19,163.67999267578125
2020-01-03,161.8000030517578
2020-06-09,162.75
2019-02-15,161.94000244140625
2019-01-14,165.19000244140625
2018-07-06,162.6999969482422
2018-08-07,162.4199981689453
2018-10-10,158.99000549316406
2018-12-13,157.25999450683594
2019-08-26,159.8800048828125
2019-07-25,162.85000610351562
2019-05-22,165.97000122070312
2019-03-19,164.86000061035156
2020-01-06,163.8000030517578
2020-03-25,163.58999633789062
2020-06-12,164.0399932861328
2019-10-22,163.30999755859375
2020-01-09,165.82000732421875
2020-06-15,161.4499969482422
2019-10-25,158.24000549316406
2020-03-31,158.02000427246094
2020-06-18,159.00999450683594
2019-04-03,160.4199981689453
2018-08-22,159.13999938964844
2018-10-25,159.67999267578125
2019-01-29,157.75999450683594
2018-12-28,158.14999389648438
2018-11-26,160.3000030517578
2019-08-09,160.97000122070312
2019-07-08,159.66000366210938
2019-06-06,159.72999572753906
2019-09-10,155.94000244140625
