Dates,DE
2018-06-20,2609600.0
2018-06-21,2784400.0
2018-06-25,2315000.0
2018-06-22,3705200.0
2018-06-26,1832500.0
2018-06-27,2433700.0
2018-06-28,1619900.0
2018-06-29,1906200.0
2018-07-02,1867400.0
2018-07-03,1580700.0
2018-07-05,3014900.0
2018-07-16,2059600.0
2018-09-18,2149800.0
2019-01-24,1531900.0
2019-09-05,2396600.0
2018-11-21,1681700.0
2020-01-13,5103500.0
2020-04-01,3726400.0
2020-06-19,2704800.0
2019-10-29,2397700.0
2020-01-16,2303400.0
2020-06-22,2832100.0
2018-10-03,2789900.0
2018-07-31,5146300.0
2019-03-12,4371300.0
2019-02-08,3585300.0
2019-01-07,2321400.0
2018-12-06,2994500.0
2019-08-19,4856500.0
2019-07-18,2198500.0
2019-05-15,1343200.0
2019-09-20,1873700.0
2019-11-01,1472900.0
2020-04-07,1549900.0
2020-06-25,2329000.0
2020-06-16,3782500.0
2019-11-04,2413100.0
2020-01-22,2155200.0
2019-11-07,2808800.0
2020-04-13,2563100.0
2019-07-01,2996000.0
2019-05-30,8811200.0
2018-08-15,3509600.0
2018-10-18,1945200.0
2019-03-27,1277900.0
2019-01-22,1414700.0
2018-12-21,1945400.0
2019-09-03,1902500.0
2018-11-19,1535200.0
2019-08-02,1687800.0
2020-01-28,1491800.0
2020-04-16,1181300.0
2019-11-13,1698900.0
2020-01-31,2232100.0
2018-12-04,1446700.0
2018-11-02,3136300.0
2019-07-16,1872100.0
2018-08-30,1152200.0
2018-10-01,1949800.0
2019-06-14,1502100.0
2019-05-13,2002200.0
2019-04-11,2131000.0
2019-02-06,1529700.0
2019-09-18,2373000.0
2020-02-03,2762200.0
2020-04-22,2514000.0
2019-11-19,1713500.0
2020-02-06,1400000.0
2019-11-22,1784900.0
2019-03-25,1494500.0
2019-02-21,1737000.0
2018-12-19,2670300.0
2018-07-12,2149200.0
2018-09-14,2973700.0
2018-08-13,3882500.0
2018-10-16,1948300.0
2019-07-31,2863700.0
2019-05-28,2107400.0
2019-04-26,2861400.0
2020-04-28,3309500.0
2019-11-25,1881000.0
2020-02-12,1678300.0
2020-05-01,2124500.0
2020-05-04,1516000.0
2019-06-12,2491800.0
2019-04-09,1901500.0
2019-03-08,1702300.0
2019-02-04,5166900.0
2018-07-27,3731500.0
2018-08-28,1854400.0
2019-01-03,4771000.0
2019-08-15,3274800.0
2018-10-31,2347600.0
2019-09-16,2018200.0
2020-02-18,2954000.0
2020-05-07,2938000.0
2018-08-17,1576800.0
2019-12-04,1729500.0
2020-02-21,2161700.0
2018-12-17,1899400.0
2019-08-30,2581600.0
2018-11-15,1562800.0
2019-07-29,3540500.0
2019-06-27,1824100.0
2019-04-24,3015400.0
2018-07-10,2327300.0
2018-09-12,2912400.0
2019-02-19,3701400.0
2019-01-18,4987600.0
2020-02-24,1192500.0
2020-05-13,4361700.0
2019-12-10,1753800.0
2020-02-27,2421700.0
2019-12-13,2236700.0
2020-05-19,2534900.0
2019-03-06,5132000.0
2018-11-30,3549300.0
2019-08-13,4595900.0
2019-07-12,3005600.0
2019-06-10,1791400.0
2019-05-09,1818800.0
2018-07-25,1863500.0
2018-09-27,1733900.0
2018-10-29,1967900.0
2019-10-16,2504000.0
2019-12-16,2846200.0
2020-03-04,3173200.0
2020-05-22,2822800.0
2019-10-01,3931500.0
2019-12-19,1444700.0
2018-09-10,2267400.0
2019-05-24,2457300.0
2018-08-09,1597100.0
2019-04-22,1954600.0
2019-03-21,1987700.0
2019-01-16,2047200.0
2019-08-28,2549100.0
2018-11-13,2947400.0
2018-10-12,3124800.0
2019-06-25,3134300.0
2020-03-10,2693600.0
2020-05-28,2039000.0
2019-10-07,1364900.0
2020-03-13,1369100.0
2019-10-10,1457300.0
2020-03-16,2155100.0
2020-06-03,3879800.0
2018-11-28,2076500.0
2018-09-25,1780800.0
2018-07-23,1602100.0
2018-08-24,1826400.0
2019-07-10,2199400.0
2019-05-07,2199700.0
2019-04-05,1988800.0
2019-03-04,3118800.0
2019-01-31,1704300.0
2019-09-12,1907900.0
2019-12-31,1574600.0
2020-03-19,1660500.0
2020-01-03,2488100.0
2020-06-09,1628300.0
2019-02-15,1843900.0
2019-01-14,1894400.0
2018-07-06,2777700.0
2018-08-07,2029700.0
2018-10-10,7578600.0
2018-12-13,2971500.0
2019-08-26,3349200.0
2019-07-25,2838500.0
2019-05-22,1967200.0
2019-03-19,2502700.0
2020-01-06,1623700.0
2020-03-25,1850500.0
2020-06-12,1778000.0
2019-10-22,1668900.0
2020-01-09,2663100.0
2020-06-15,1965900.0
2019-10-25,2229700.0
2020-03-31,2051300.0
2020-06-18,1757300.0
2019-04-03,1340300.0
2018-08-22,1553100.0
2018-10-25,1661800.0
2019-01-29,1596800.0
2018-12-28,2386300.0
2018-11-26,1962400.0
2019-08-09,1685400.0
2019-07-08,2017100.0
2019-06-06,1082200.0
2019-09-10,2177400.0
2020-01-15,1137200.0
2020-04-03,1036700.0
2019-10-31,1068200.0
2020-04-06,1123300.0
2020-06-24,1862600.0
2018-11-09,1371400.0
2019-07-23,1184300.0
2019-06-21,1356100.0
2019-05-20,1197200.0
2019-04-18,1294600.0
2018-09-06,1133300.0
2018-10-08,2451000.0
2019-02-13,2746800.0
2018-12-11,1162200.0
2019-09-25,1220200.0
2020-01-21,1062500.0
2020-04-09,1310200.0
2019-11-06,1350700.0
2020-01-24,2215500.0
2020-01-27,1376600.0
2020-04-15,1891200.0
2018-12-26,1463400.0
2019-08-07,1256600.0
2019-06-04,988500.0
2018-09-21,889700.0
2018-07-19,1573700.0
2018-08-20,1327400.0
2018-10-23,1702400.0
2019-05-03,1050800.0
2019-04-01,2913100.0
2019-02-28,2182200.0
2019-11-12,1806400.0
2020-01-30,2026000.0
2019-11-15,1753700.0
2020-04-21,3172500.0
2019-04-16,2325400.0
