Dates,AVB
2018-06-20,891200.0
2018-06-21,905600.0
2018-06-25,1178900.0
2018-06-22,1203400.0
2018-06-26,840900.0
2018-06-27,888900.0
2018-06-28,989000.0
2018-06-29,1234800.0
2018-07-02,755100.0
2018-07-03,304500.0
2018-07-05,557900.0
2018-07-16,499700.0
2018-09-18,893500.0
2019-01-24,631600.0
2019-09-05,479900.0
2018-11-21,458600.0
2020-01-13,438000.0
2020-04-01,431500.0
2020-06-19,716600.0
2019-10-29,750700.0
2020-01-16,392400.0
2020-06-22,431500.0
2018-10-03,340200.0
2018-07-31,704100.0
2019-03-12,659900.0
2019-02-08,349000.0
2019-01-07,426300.0
2018-12-06,453000.0
2019-08-19,1323500.0
2019-07-18,983200.0
2019-05-15,611900.0
2019-09-20,825300.0
2019-11-01,725700.0
2020-04-07,841900.0
2020-06-25,319500.0
2020-06-16,341200.0
2019-11-04,479200.0
2020-01-22,466400.0
2019-11-07,502400.0
2020-04-13,554600.0
2019-07-01,392000.0
2019-05-30,541700.0
2018-08-15,537400.0
2018-10-18,384900.0
2019-03-27,378700.0
2019-01-22,235200.0
2018-12-21,318200.0
2019-09-03,521600.0
2018-11-19,391700.0
2019-08-02,382200.0
2020-01-28,301600.0
2020-04-16,532600.0
2019-11-13,381600.0
2020-01-31,543600.0
2018-12-04,570900.0
2018-11-02,472000.0
2019-07-16,501100.0
2018-08-30,527500.0
2018-10-01,344500.0
2019-06-14,546400.0
2019-05-13,619500.0
2019-04-11,644400.0
2019-02-06,398700.0
2019-09-18,479300.0
2020-02-03,446800.0
2020-04-22,974800.0
2019-11-19,560900.0
2020-02-06,580900.0
2019-11-22,666600.0
2019-03-25,507000.0
2019-02-21,874000.0
2018-12-19,538300.0
2018-07-12,372400.0
2018-09-14,470300.0
2018-08-13,545600.0
2018-10-16,374500.0
2019-07-31,526800.0
2019-05-28,556700.0
2019-04-26,504800.0
2020-04-28,833800.0
2019-11-25,559400.0
2020-02-12,454100.0
2020-05-01,518200.0
2020-05-04,523400.0
2019-06-12,321500.0
2019-04-09,444300.0
2019-03-08,500500.0
2019-02-04,494300.0
2018-07-27,544900.0
2018-08-28,404400.0
2019-01-03,735500.0
2019-08-15,548900.0
2018-10-31,933400.0
