Dates,AVB
2018-06-20,169.30999755859375
2018-06-21,169.91000366210938
2018-06-25,170.8300018310547
2018-06-22,172.22999572753906
2018-06-26,171.30999755859375
2018-06-27,169.61000061035156
2018-06-28,171.41000366210938
2018-06-29,171.88999938964844
2018-07-02,170.60000610351562
2018-07-03,170.97999572753906
2018-07-05,172.38999938964844
2018-07-16,172.88999938964844
2018-09-18,171.89999389648438
2019-01-24,173.52000427246094
2019-09-05,173.92999267578125
2018-11-21,174.25999450683594
2020-01-13,173.35000610351562
2020-04-01,172.64999389648438
2020-06-19,171.3699951171875
2019-10-29,171.27999877929688
2020-01-16,172.39999389648438
2020-06-22,170.5399932861328
2018-10-03,170.35000610351562
2018-07-31,170.5800018310547
2019-03-12,172.5
2019-02-08,172.8800048828125
2019-01-07,172.22999572753906
2018-12-06,172.1699981689453
2019-08-19,176.85000610351562
2019-07-18,178.2100067138672
2019-05-15,178.5
2019-09-20,180.0800018310547
2019-11-01,180.2100067138672
2020-04-07,179.08999633789062
2020-06-25,178.25999450683594
2020-06-16,178.88999938964844
2019-11-04,177.1999969482422
2020-01-22,177.6699981689453
2019-11-07,178.6300048828125
2020-04-13,180.3000030517578
2019-07-01,181.32000732421875
2019-05-30,183.1999969482422
2018-08-15,183.07000732421875
2018-10-18,181.02999877929688
2019-03-27,181.3000030517578
2019-01-22,181.14999389648438
2018-12-21,182.8000030517578
2019-09-03,182.47000122070312
2018-11-19,184.49000549316406
2019-08-02,184.25999450683594
2020-01-28,182.8300018310547
2020-04-16,183.2899932861328
2019-11-13,182.86000061035156
2020-01-31,183.89999389648438
2018-12-04,184.24000549316406
2018-11-02,183.17999267578125
2019-07-16,184.2899932861328
2018-08-30,183.9199981689453
2018-10-01,183.72000122070312
2019-06-14,185.72000122070312
2019-05-13,183.2899932861328
2019-04-11,184.72999572753906
2019-02-06,184.0800018310547
2019-09-18,182.10000610351562
2020-02-03,184.1300048828125
2020-04-22,185.19000244140625
2019-11-19,180.72000122070312
2020-02-06,181.13999938964844
2019-11-22,178.2100067138672
2019-03-25,177.72999572753906
2019-02-21,181.14999389648438
2018-12-19,179.9600067138672
2018-07-12,179.99000549316406
2018-09-14,178.61000061035156
2018-08-13,177.22000122070312
2018-10-16,177.30999755859375
2019-07-31,179.3300018310547
2019-05-28,181.1300048828125
2019-04-26,178.36000061035156
2020-04-28,173.19000244140625
2019-11-25,172.7899932861328
2020-02-12,172.89999389648438
2020-05-01,176.13999938964844
2020-05-04,176.0
2019-06-12,176.3000030517578
2019-04-09,177.97000122070312
2019-03-08,172.83999633789062
2019-02-04,173.7100067138672
2018-07-27,176.6699981689453
2018-08-28,177.67999267578125
2019-01-03,174.88999938964844
2019-08-15,178.13999938964844
2018-10-31,178.61000061035156
2019-09-16,175.3800048828125
2020-02-18,175.3300018310547
2020-05-07,173.17999267578125
2018-08-17,177.07000732421875
2019-12-04,180.11000061035156
2020-02-21,182.35000610351562
2018-12-17,182.2100067138672
2019-08-30,182.52999877929688
2018-11-15,184.25
2019-07-29,185.9499969482422
2019-06-27,185.52000427246094
2019-04-24,182.60000610351562
2018-07-10,185.5399932861328
2018-09-12,187.75
2019-02-19,186.52999877929688
2019-01-18,186.4499969482422
2020-02-24,185.7899932861328
2020-05-13,186.38999938964844
2019-12-10,188.0
2020-02-27,188.80999755859375
2019-12-13,188.07000732421875
2020-05-19,190.57000732421875
2019-03-06,190.7100067138672
2018-11-30,187.32000732421875
2019-08-13,191.6699981689453
2019-07-12,188.61000061035156
2019-06-10,187.4499969482422
2019-05-09,187.9199981689453
2018-07-25,183.8300018310547
2018-09-27,186.60000610351562
2018-10-29,186.89999389648438
2019-10-16,179.8699951171875
2019-12-16,181.91000366210938
2020-03-04,180.77999877929688
2020-05-22,180.38999938964844
2019-10-01,177.0399932861328
2019-12-19,168.83999633789062
2018-09-10,173.2899932861328
2019-05-24,173.41000366210938
2018-08-09,172.6699981689453
2019-04-22,174.0500030517578
2019-03-21,169.1999969482422
2019-01-16,170.0
2019-08-28,171.1999969482422
2018-11-13,170.72000122070312
2018-10-12,174.25999450683594
2019-06-25,175.75999450683594
2020-03-10,177.99000549316406
2020-05-28,178.58999633789062
2019-10-07,178.17999267578125
2020-03-13,179.7899932861328
2019-10-10,182.16000366210938
2020-03-16,183.33999633789062
2020-06-03,184.08999633789062
2018-11-28,184.02999877929688
2018-09-25,184.94000244140625
2018-07-23,184.9499969482422
2018-08-24,186.64999389648438
2019-07-10,188.83999633789062
2019-05-07,190.72999572753906
2019-04-05,191.22999572753906
2019-03-04,192.9199981689453
2019-01-31,190.1999969482422
2019-09-12,192.33999633789062
2019-12-31,194.5
2020-03-19,193.9600067138672
2020-01-03,195.27999877929688
2020-06-09,194.5
2019-02-15,195.0500030517578
2019-01-14,193.4600067138672
2018-07-06,196.07000732421875
2018-08-07,195.72000122070312
2018-10-10,196.07000732421875
2018-12-13,196.4499969482422
2019-08-26,194.10000610351562
2019-07-25,195.91000366210938
2019-05-22,196.0399932861328
2019-03-19,194.6199951171875
2020-01-06,194.92999267578125
2020-03-25,194.27000427246094
2020-06-12,194.6300048828125
2019-10-22,194.25
2020-01-09,195.6699981689453
2020-06-15,196.44000244140625
2019-10-25,195.47000122070312
2020-03-31,195.5
2020-06-18,196.44000244140625
2019-04-03,197.44000244140625
2018-08-22,198.86000061035156
2018-10-25,199.3699951171875
2019-01-29,200.07000732421875
2018-12-28,198.97000122070312
2018-11-26,197.1999969482422
2019-08-09,196.4199981689453
2019-07-08,196.66000366210938
2019-06-06,198.67999267578125
2019-09-10,199.58999633789062
2020-01-15,199.1699981689453
2020-04-03,200.8699951171875
2019-10-31,200.85000610351562
2020-04-06,200.9199981689453
2020-06-24,200.72999572753906
2018-11-09,200.67999267578125
2019-07-23,202.2100067138672
2019-06-21,202.36000061035156
2019-05-20,201.72999572753906
2019-04-18,202.17999267578125
2018-09-06,201.50999450683594
2018-10-08,200.60000610351562
2019-02-13,202.1999969482422
2018-12-11,203.14999389648438
2019-09-25,204.0800018310547
2020-01-21,204.1300048828125
2020-04-09,197.94000244140625
2019-11-06,193.8300018310547
2020-01-24,196.14999389648438
2020-01-27,193.64999389648438
2020-04-15,196.25999450683594
2018-12-26,198.16000366210938
2019-08-07,199.9499969482422
2019-06-04,200.52000427246094
2018-09-21,198.00999450683594
2018-07-19,200.92999267578125
2018-08-20,201.16000366210938
2018-10-23,201.44000244140625
2019-05-03,202.16000366210938
2019-04-01,200.57000732421875
2019-02-28,196.7899932861328
2019-11-12,196.4499969482422
2020-01-30,198.52999877929688
2019-11-15,200.7100067138672
2020-04-21,200.63999938964844
2019-04-16,199.75
2019-03-15,200.6999969482422
2019-02-11,202.75999450683594
2019-01-10,203.13999938964844
2019-08-22,200.5500030517578
2018-11-07,202.2100067138672
2018-08-03,203.30999755859375
2018-09-04,203.74000549316406
2019-06-19,205.27999877929688
2019-09-23,202.7100067138672
2019-11-18,201.30999755859375
2020-02-05,201.38999938964844
2020-04-24,203.00999450683594
2019-03-29,203.83999633789062
2019-11-21,202.0
2020-04-27,207.75999450683594
2020-02-11,208.74000549316406
2020-04-30,209.05999755859375
2019-05-01,209.36000061035156
2019-02-26,209.33999633789062
2019-01-25,207.19000244140625
2018-12-24,207.08999633789062
2019-09-06,208.08999633789062
2018-07-17,209.6300048828125
2018-09-19,208.6199951171875
2019-08-05,209.19000244140625
2019-10-08,210.47000122070312
2019-12-11,207.8000030517578
2019-11-27,208.13999938964844
2020-02-14,204.41000366210938
2020-05-06,201.27999877929688
2019-01-08,201.44000244140625
2018-12-07,203.17999267578125
2019-08-20,202.30999755859375
2018-11-05,205.55999755859375
2019-07-19,209.3300018310547
2018-10-04,207.8699951171875
2019-06-17,210.11000061035156
2019-05-16,211.50999450683594
2018-08-01,213.77000427246094
