Dates,AME
2018-06-20,771200.0
2018-06-21,1495600.0
2018-06-25,1444800.0
2018-06-22,1310500.0
2018-06-26,1060000.0
2018-06-27,1468400.0
2018-06-28,894600.0
2018-06-29,1282500.0
2018-07-02,1244100.0
2018-07-03,532300.0
2018-07-05,961200.0
2018-07-16,613100.0
2018-09-18,769700.0
2019-01-24,1442100.0
2019-09-05,976400.0
2018-11-21,824200.0
2020-01-13,550200.0
2020-04-01,515400.0
2020-06-19,804200.0
2019-10-29,733600.0
2020-01-16,639800.0
2020-06-22,763100.0
2018-10-03,809600.0
2018-07-31,1025300.0
2019-03-12,1580300.0
2019-02-08,1446900.0
2019-01-07,948100.0
2018-12-06,2009100.0
2019-08-19,1946300.0
2019-07-18,2060000.0
2019-05-15,1225500.0
2019-09-20,1013400.0
2019-11-01,794900.0
2020-04-07,1075500.0
2020-06-25,724400.0
2020-06-16,1295100.0
2019-11-04,1453000.0
2020-01-22,1313400.0
2019-11-07,990500.0
2020-04-13,1165200.0
2019-07-01,876700.0
2019-05-30,1422600.0
2018-08-15,960200.0
2018-10-18,1455800.0
2019-03-27,564800.0
2019-01-22,867800.0
2018-12-21,764300.0
2019-09-03,637400.0
2018-11-19,751800.0
2019-08-02,736800.0
2020-01-28,743400.0
2020-04-16,852300.0
2019-11-13,1163000.0
2020-01-31,1515200.0
2018-12-04,1306800.0
2018-11-02,1273400.0
2019-07-16,1449100.0
2018-08-30,1529300.0
2018-10-01,1127400.0
2019-06-14,1012800.0
2019-05-13,721900.0
2019-04-11,839200.0
2019-02-06,1230500.0
2019-09-18,1474400.0
2020-02-03,940900.0
2020-04-22,1507200.0
2019-11-19,929500.0
2020-02-06,1317900.0
2019-11-22,987800.0
2019-03-25,652100.0
2019-02-21,959200.0
2018-12-19,1034600.0
2018-07-12,687700.0
2018-09-14,1071800.0
2018-08-13,813400.0
2018-10-16,805700.0
2019-07-31,1048000.0
2019-05-28,1036100.0
2019-04-26,1623800.0
2020-04-28,1716500.0
2019-11-25,1427300.0
2020-02-12,1433300.0
2020-05-01,2508400.0
2020-05-04,1646500.0
2019-06-12,1375100.0
2019-04-09,1586900.0
2019-03-08,1527800.0
2019-02-04,1712600.0
2018-07-27,2277600.0
2018-08-28,1553600.0
2019-01-03,1649900.0
2019-08-15,1520900.0
2018-10-31,1690800.0
2019-09-16,1919200.0
2020-02-18,2780100.0
2020-05-07,2742500.0
2018-08-17,2659200.0
2019-12-04,2348700.0
2020-02-21,1938600.0
2018-12-17,1695500.0
2019-08-30,1556800.0
2018-11-15,1931700.0
2019-07-29,1678100.0
2019-06-27,1568300.0
2019-04-24,1587500.0
2018-07-10,1526900.0
2018-09-12,1304900.0
2019-02-19,1840300.0
2019-01-18,1521100.0
2020-02-24,324600.0
2020-05-13,3050800.0
2019-12-10,2139800.0
2020-02-27,1350800.0
2019-12-13,1230700.0
2020-05-19,1486600.0
2019-03-06,1928300.0
2018-11-30,2118600.0
2019-08-13,2967800.0
2019-07-12,1619300.0
2019-06-10,1517400.0
2019-05-09,1729700.0
2018-07-25,1950200.0
2018-09-27,1685800.0
2018-10-29,1207600.0
2019-10-16,1514600.0
2019-12-16,1755700.0
2020-03-04,1992400.0
2020-05-22,2272300.0
2019-10-01,2620500.0
2019-12-19,695400.0
2018-09-10,1297900.0
2019-05-24,1385300.0
2018-08-09,820400.0
2019-04-22,819500.0
2019-03-21,1045300.0
2019-01-16,1575900.0
2019-08-28,1444000.0
2018-11-13,1470100.0
2018-10-12,1352700.0
2019-06-25,1464200.0
2020-03-10,1014000.0
2020-05-28,875700.0
2019-10-07,717000.0
2020-03-13,887400.0
2019-10-10,1202100.0
2020-03-16,974400.0
2020-06-03,947700.0
2018-11-28,1637600.0
2018-09-25,1057800.0
2018-07-23,1004500.0
2018-08-24,1211800.0
2019-07-10,2027600.0
2019-05-07,1481500.0
2019-04-05,758100.0
2019-03-04,1003700.0
2019-01-31,1000200.0
2019-09-12,1605400.0
2019-12-31,3157600.0
2020-03-19,2137500.0
2020-01-03,1903800.0
2020-06-09,1786000.0
2019-02-15,1450900.0
2019-01-14,1929400.0
2018-07-06,2595300.0
2018-08-07,1137200.0
2018-10-10,2697500.0
2018-12-13,878100.0
2019-08-26,967200.0
2019-07-25,1076300.0
2019-05-22,1032300.0
2019-03-19,1156500.0
2020-01-06,996800.0
2020-03-25,1025000.0
2020-06-12,1376300.0
2019-10-22,2015700.0
2020-01-09,1792700.0
2020-06-15,938900.0
2019-10-25,1023100.0
2020-03-31,1514600.0
2020-06-18,895600.0
2019-04-03,1506600.0
2018-08-22,968300.0
2018-10-25,1411000.0
2019-01-29,1124500.0
2018-12-28,1868500.0
2018-11-26,929500.0
