Dates,AME
2018-06-20,73.87999725341797
2018-06-21,72.91999816894531
2018-06-25,73.08999633789062
2018-06-22,72.76000213623047
2018-06-26,72.6500015258789
2018-06-27,72.68000030517578
2018-06-28,71.56999969482422
2018-06-29,72.16000366210938
2018-07-02,71.45999908447266
2018-07-03,72.43000030517578
2018-07-05,72.05999755859375
2018-07-16,71.81999969482422
2018-09-18,71.94000244140625
2019-01-24,73.44999694824219
2019-09-05,72.62999725341797
2018-11-21,72.66999816894531
2020-01-13,73.0999984741211
2020-04-01,73.75
2020-06-19,72.8499984741211
2019-10-29,73.3499984741211
2020-01-16,73.47000122070312
2020-06-22,73.31999969482422
2018-10-03,73.44999694824219
2018-07-31,73.22000122070312
2019-03-12,73.37000274658203
2019-02-08,75.16999816894531
2019-01-07,77.19999694824219
2018-12-06,76.94000244140625
2019-08-19,76.41999816894531
2019-07-18,77.8499984741211
2019-05-15,76.41999816894531
2019-09-20,76.8499984741211
2019-11-01,76.73999786376953
2020-04-07,76.58000183105469
2020-06-25,77.5199966430664
2020-06-16,77.25
2019-11-04,76.20999908447266
2020-01-22,76.0
2019-11-07,75.79000091552734
2020-04-13,75.29000091552734
2019-07-01,75.48999786376953
2019-05-30,75.7300033569336
2018-08-15,76.38999938964844
2018-10-18,76.75
2019-03-27,76.76000213623047
2019-01-22,76.12000274658203
2018-12-21,76.11000061035156
2019-09-03,76.56999969482422
2018-11-19,77.38999938964844
2019-08-02,77.5999984741211
2020-01-28,77.20999908447266
2020-04-16,76.22000122070312
2019-11-13,76.73999786376953
2020-01-31,76.56999969482422
2018-12-04,78.12999725341797
2018-11-02,78.12999725341797
2019-07-16,78.55999755859375
2018-08-30,79.0999984741211
2018-10-01,79.44000244140625
2019-06-14,79.9000015258789
2019-05-13,80.58999633789062
2019-04-11,80.87000274658203
2019-02-06,81.0
2019-09-18,81.6500015258789
2020-02-03,81.31999969482422
2020-04-22,81.58000183105469
2019-11-19,81.36000061035156
2020-02-06,80.33000183105469
2019-11-22,79.98999786376953
2019-03-25,79.48999786376953
2019-02-21,78.81999969482422
2018-12-19,79.66999816894531
2018-07-12,79.81999969482422
2018-09-14,79.94000244140625
2018-08-13,79.6500015258789
2018-10-16,79.26000213623047
2019-07-31,78.4000015258789
2019-05-28,77.80000305175781
2019-04-26,76.5
2020-04-28,73.98999786376953
2019-11-25,73.13999938964844
2020-02-12,72.69000244140625
2020-05-01,72.77999877929688
2020-05-04,73.33000183105469
2019-06-12,72.95999908447266
2019-04-09,71.37999725341797
2019-03-08,70.87000274658203
2019-02-04,69.19999694824219
2018-07-27,67.6500015258789
2018-08-28,65.97000122070312
2019-01-03,65.38999938964844
2019-08-15,67.68000030517578
2018-10-31,65.51000213623047
2019-09-16,67.19999694824219
2020-02-18,69.81999969482422
2020-05-07,72.45999908447266
2018-08-17,72.98999786376953
2019-12-04,73.2300033569336
2020-02-21,75.04000091552734
2018-12-17,75.08999633789062
2019-08-30,74.5
2018-11-15,74.54000091552734
2019-07-29,72.75
2019-06-27,73.7699966430664
2019-04-24,72.4000015258789
2018-07-10,73.94000244140625
2018-09-12,74.23999786376953
2019-02-19,71.9800033569336
2019-01-18,71.81999969482422
2020-02-24,71.44000244140625
2020-05-13,72.31999969482422
2019-12-10,71.83000183105469
2020-02-27,71.75
2019-12-13,73.44000244140625
2020-05-19,73.06999969482422
2019-03-06,74.66000366210938
2018-11-30,75.87999725341797
2019-08-13,70.69000244140625
2019-07-12,71.38999938964844
2019-06-10,70.81999969482422
2019-05-09,72.0199966430664
2018-07-25,71.8499984741211
2018-09-27,72.5999984741211
2018-10-29,70.8499984741211
2019-10-16,70.3499984741211
2019-12-16,69.81999969482422
2020-03-04,69.05000305175781
2020-05-22,67.61000061035156
2019-10-01,66.38999938964844
2019-12-19,64.76000213623047
2018-09-10,63.790000915527344
2019-05-24,65.06999969482422
2018-08-09,67.69999694824219
2019-04-22,67.05999755859375
2019-03-21,66.73999786376953
2019-01-16,66.80999755859375
2019-08-28,66.66000366210938
2018-11-13,68.0999984741211
2018-10-12,69.04000091552734
2019-06-25,69.61000061035156
2020-03-10,68.91999816894531
2020-05-28,70.0199966430664
2019-10-07,70.12999725341797
2020-03-13,70.12999725341797
2019-10-10,69.73999786376953
2020-03-16,70.13999938964844
2020-06-03,71.77999877929688
2018-11-28,71.7300033569336
2018-09-25,70.95999908447266
2018-07-23,70.70999908447266
2018-08-24,72.16999816894531
2019-07-10,70.16999816894531
2019-05-07,70.79000091552734
2019-04-05,72.33999633789062
2019-03-04,72.76000213623047
2019-01-31,73.19000244140625
2019-09-12,73.33000183105469
2019-12-31,75.11000061035156
2020-03-19,74.75
2020-01-03,74.1500015258789
2020-06-09,74.41000366210938
2019-02-15,75.7300033569336
2019-01-14,76.56999969482422
