Dates,AME
2018-06-20,72.26598358154297
2018-06-21,71.45765686035156
2018-06-25,71.96038055419922
2018-06-22,71.46752166748047
2018-06-26,71.26050567626953
2018-06-27,70.49161529541016
2018-06-28,70.68875885009766
2018-06-29,71.13236236572266
2018-07-02,70.88591766357422
2018-07-03,70.55075073242188
2018-07-05,70.95492553710938
2018-07-16,70.8662109375
2018-09-18,71.98995971679688
2019-01-24,72.32511901855469
2019-09-05,71.0337905883789
2018-11-21,72.16739654541016
2020-01-13,72.65042114257812
2020-04-01,71.93082427978516
2020-06-19,72.13782501220703
2019-10-29,72.70956420898438
2020-01-16,72.59127807617188
2020-06-22,72.52227783203125
2018-10-03,71.67452239990234
2018-07-31,72.39411926269531
2019-03-12,74.24735260009766
2019-02-08,76.00201416015625
2019-01-07,75.75555419921875
2018-12-06,74.98667907714844
2019-08-19,76.6920394897461
2019-07-18,75.72599029541016
2019-05-15,75.6668472290039
2019-09-20,75.47954559326172
2019-11-01,75.23311614990234
2020-04-07,76.38645935058594
2020-06-25,76.07099914550781
2020-06-16,75.56827545166016
2019-11-04,74.79937744140625
2020-01-22,74.58251953125
2019-11-07,74.740234375
2020-04-13,74.0304946899414
2019-07-01,74.65152740478516
2019-05-30,75.2232437133789
2018-08-15,75.48941040039062
2018-10-18,75.90342712402344
2019-03-27,75.03595733642578
2019-01-22,74.7500991821289
2018-12-21,75.12467956542969
2019-09-03,75.96257019042969
2018-11-19,76.22872161865234
2019-08-02,76.21886444091797
2020-01-28,75.36125183105469
2020-04-16,75.86399841308594
2019-11-13,75.6274185180664
2020-01-31,76.88919830322266
2018-12-04,77.17505645751953
2018-11-02,76.97789764404297
2019-07-16,78.24952697753906
2018-08-30,78.35796356201172
2018-10-01,78.60440063476562
2019-06-14,79.68077850341797
2019-05-13,79.81902313232422
2019-04-11,79.7795181274414
2019-02-06,80.48065185546875
2019-09-18,79.94740295410156
2020-02-03,80.36213684082031
2020-04-22,80.51026916503906
2019-11-19,79.53266143798828
2020-02-06,79.03890228271484
2019-11-22,78.39702606201172
2019-03-25,77.94277954101562
2019-02-21,78.13041687011719
2018-12-19,78.7130355834961
2018-07-12,78.68340301513672
