Dates,XEL
2018-06-20,3492400.0
2018-06-21,2443700.0
2018-06-25,5380900.0
2018-06-22,3675200.0
2018-06-26,3951300.0
2018-06-27,3234700.0
2018-06-28,3003500.0
2018-06-29,3038200.0
2018-07-02,2826200.0
2018-07-03,1811300.0
2018-07-05,2574300.0
2018-07-16,2193800.0
2018-09-18,4289700.0
2019-01-24,2816400.0
2019-09-05,2138700.0
2018-11-21,3523200.0
2020-01-13,2175900.0
2020-04-01,2579800.0
2020-06-19,2354900.0
2019-10-29,2434400.0
2020-01-16,2924200.0
2020-06-22,4038900.0
2018-10-03,2481700.0
2018-07-31,4474400.0
2019-03-12,3952900.0
2019-02-08,4024600.0
2019-01-07,3089800.0
2018-12-06,3177800.0
2019-08-19,3657100.0
2019-07-18,3581500.0
2019-05-15,3273300.0
2019-09-20,2865600.0
2019-11-01,2375200.0
2020-04-07,3726200.0
2020-06-25,2910600.0
2020-06-16,2870500.0
2019-11-04,2286200.0
2020-01-22,3156400.0
2019-11-07,2308300.0
2020-04-13,3259900.0
2019-07-01,3997900.0
2019-05-30,3478400.0
2018-08-15,2384200.0
2018-10-18,3311200.0
2019-03-27,2746700.0
2019-01-22,2914300.0
2018-12-21,2015100.0
2019-09-03,2661500.0
2018-11-19,5221000.0
2019-08-02,3634700.0
2020-01-28,2806500.0
2020-04-16,3434400.0
2019-11-13,3267700.0
2020-01-31,2771300.0
2018-12-04,4676600.0
2018-11-02,3178100.0
2019-07-16,2883600.0
2018-08-30,3382100.0
2018-10-01,2794500.0
2019-06-14,3153400.0
2019-05-13,2318800.0
2019-04-11,3091400.0
2019-02-06,3176500.0
2019-09-18,4486900.0
2020-02-03,4345400.0
2020-04-22,6911300.0
2019-11-19,2933900.0
2020-02-06,2897200.0
2019-11-22,4015100.0
2019-03-25,2949900.0
2019-02-21,3773900.0
2018-12-19,2696600.0
2018-07-12,2038700.0
2018-09-14,2652600.0
2018-08-13,2310200.0
2018-10-16,3210300.0
2019-07-31,3184900.0
2019-05-28,3519600.0
2019-04-26,3044400.0
2020-04-28,4821700.0
2019-11-25,3559900.0
2020-02-12,2683300.0
2020-05-01,2943800.0
2020-05-04,2787000.0
2019-06-12,2875000.0
2019-04-09,2748500.0
2019-03-08,2980000.0
2019-02-04,5230500.0
2018-07-27,4474700.0
2018-08-28,4033300.0
2019-01-03,4737800.0
2019-08-15,4911400.0
2018-10-31,4216400.0
2019-09-16,3788400.0
2020-02-18,4392500.0
2020-05-07,5610000.0
2018-08-17,3379300.0
2019-12-04,2571600.0
2020-02-21,5141900.0
2018-12-17,10503100.0
2019-08-30,9454700.0
2018-11-15,6129200.0
2019-07-29,4129400.0
2019-06-27,5545000.0
2019-04-24,6645700.0
2018-07-10,14212400.0
2018-09-12,5332100.0
2019-02-19,5892000.0
2019-01-18,4026500.0
2020-02-24,1270100.0
2020-05-13,4587200.0
2019-12-10,2920600.0
2020-02-27,4555000.0
2019-12-13,3162800.0
2020-05-19,4589000.0
2019-03-06,4301300.0
2018-11-30,4034700.0
2019-08-13,5951900.0
2019-07-12,4082900.0
2019-06-10,3523000.0
2019-05-09,5644100.0
2018-07-25,4603100.0
2018-09-27,3315400.0
2018-10-29,6684500.0
2019-10-16,4883600.0
2019-12-16,5344400.0
2020-03-04,7468600.0
2020-05-22,7293800.0
2019-10-01,9386100.0
2019-12-19,2810600.0
2018-09-10,5029800.0
2019-05-24,4759500.0
2018-08-09,5728300.0
2019-04-22,4485400.0
2019-03-21,4476100.0
2019-01-16,5287600.0
2019-08-28,5535600.0
2018-11-13,4208100.0
2018-10-12,3128300.0
2019-06-25,3625600.0
2020-03-10,3903700.0
2020-05-28,3491900.0
2019-10-07,4068400.0
2020-03-13,3072400.0
2019-10-10,3397100.0
2020-03-16,3164500.0
2020-06-03,3451000.0
2018-11-28,6609100.0
2018-09-25,2956100.0
2018-07-23,2887300.0
2018-08-24,3463100.0
2019-07-10,2412000.0
2019-05-07,3156000.0
2019-04-05,3221500.0
2019-03-04,6841500.0
2019-01-31,3570900.0
2019-09-12,2968900.0
2019-12-31,2775700.0
2020-03-19,1904700.0
2020-01-03,2313800.0
2020-06-09,2075200.0
2019-02-15,2413400.0
2019-01-14,3126600.0
2018-07-06,2533600.0
2018-08-07,6425400.0
2018-10-10,2859800.0
2018-12-13,3388000.0
2019-08-26,5765600.0
2019-07-25,2946500.0
2019-05-22,2650400.0
2019-03-19,3453300.0
2020-01-06,4351300.0
2020-03-25,2662200.0
2020-06-12,4506300.0
2019-10-22,3626100.0
2020-01-09,3425400.0
2020-06-15,5051600.0
2019-10-25,2894200.0
2020-03-31,3235800.0
2020-06-18,3514600.0
2019-04-03,2946700.0
2018-08-22,2595400.0
2018-10-25,2720800.0
2019-01-29,3272600.0
2018-12-28,10009300.0
2018-11-26,3281000.0
2019-08-09,2598700.0
2019-07-08,2394400.0
2019-06-06,2244900.0
2019-09-10,2899100.0
2020-01-15,2622400.0
2020-04-03,2066300.0
2019-10-31,2263300.0
2020-04-06,3436600.0
2020-06-24,5170300.0
2018-11-09,3267000.0
2019-07-23,3684300.0
2019-06-21,3936700.0
2019-05-20,2606200.0
2019-04-18,2522500.0
2018-09-06,2418600.0
2018-10-08,3126300.0
2019-02-13,3019300.0
2018-12-11,3662000.0
2019-09-25,2431600.0
2020-01-21,2198700.0
2020-04-09,4167800.0
2019-11-06,2795900.0
2020-01-24,3107200.0
2020-01-27,3924900.0
2020-04-15,2720100.0
2018-12-26,2430800.0
2019-08-07,2094400.0
2019-06-04,2228100.0
2018-09-21,1851800.0
2018-07-19,2777900.0
2018-08-20,2340900.0
2018-10-23,2123200.0
2019-05-03,1636100.0
2019-04-01,3295500.0
2019-02-28,4438900.0
2019-11-12,3093400.0
2020-01-30,2446800.0
2019-11-15,2468100.0
2020-04-21,3695800.0
2019-04-16,2648800.0
2019-03-15,2952300.0
2019-02-11,1793000.0
2019-01-10,2532400.0
2019-08-22,2323100.0
2018-11-07,2272500.0
2018-08-03,3737400.0
2018-09-04,2486300.0
2019-06-19,1744800.0
2019-09-23,4850400.0
2019-11-18,2695400.0
2020-02-05,2131700.0
2020-04-24,3822600.0
2019-03-29,3374700.0
2019-11-21,2441800.0
2020-04-27,3101500.0
2020-02-11,1642200.0
2020-04-30,2857600.0
2019-05-01,2051200.0
2019-02-26,1832100.0
2019-01-25,1870000.0
2018-12-24,2787700.0
2019-09-06,3163100.0
2018-07-17,2721500.0
2018-09-19,4299700.0
2019-08-05,3489700.0
2019-10-08,3489700.0
2019-12-11,5244200.0
2019-11-27,3051500.0
2020-02-14,3847700.0
2020-05-06,6044500.0
2019-01-08,2978000.0
2018-12-07,3793600.0
2019-08-20,2503800.0
2018-11-05,2088000.0
2019-07-19,1363400.0
2018-10-04,1838500.0
2019-06-17,1765000.0
2019-05-16,2394600.0
2018-08-01,2468800.0
2019-03-13,3103300.0
2019-12-03,2064100.0
2020-02-20,2198200.0
2019-12-06,3085300.0
2020-05-12,2803700.0
2019-12-09,2298500.0
2020-02-26,3717400.0
2020-05-15,2982900.0
2019-03-28,2902700.0
2018-09-17,2629500.0
2018-08-16,2940200.0
2018-10-19,7061100.0
2019-04-29,2849300.0
2019-01-23,2328300.0
2019-09-04,6127800.0
2018-11-20,5748000.0
2019-07-02,4318200.0
2019-05-31,4839800.0
2019-12-12,3267400.0
2020-05-18,4007300.0
2019-09-27,2758200.0
2020-03-03,2280300.0
2020-05-21,2495700.0
2019-05-14,2604300.0
2018-08-31,3552300.0
2018-07-30,3659100.0
2018-10-02,2257500.0
2019-04-12,2501700.0
2019-03-11,4625200.0
2019-02-07,2238000.0
2019-07-17,3160800.0
2019-09-19,3868700.0
2019-10-21,2575300.0
2019-12-18,3000600.0
2020-03-06,3152200.0
2019-10-03,2724800.0
2020-03-09,3159200.0
2020-05-27,2921400.0
2019-12-24,2514300.0
2020-03-12,2742300.0
2018-12-20,2468700.0
2019-08-01,4850400.0
2018-08-14,4748500.0
2018-07-13,3423000.0
2018-10-17,3588300.0
2019-05-29,2836300.0
2019-03-26,5341300.0
2019-02-22,4718200.0
2019-10-04,3636800.0
2019-11-05,1771600.0
2019-12-27,5853800.0
2020-06-02,2867400.0
2019-12-30,5654400.0
2020-03-18,3634300.0
2020-06-05,3874300.0
2019-07-15,2375000.0
2018-12-03,3900900.0
2019-06-13,3453000.0
2019-01-04,7591600.0
2018-08-29,4143000.0
2019-02-05,2720700.0
2018-11-01,2712400.0
2019-08-16,2774000.0
2019-04-10,1920400.0
2019-09-17,2078900.0
2019-10-15,2634700.0
2020-01-02,2297700.0
2020-06-08,2027300.0
2019-10-18,2199500.0
2020-03-24,1787300.0
2020-06-11,2500400.0
2020-01-08,1797900.0
2019-04-25,2511300.0
2019-07-30,3298200.0
2019-02-20,2579100.0
2018-07-11,3336400.0
2018-09-13,3329600.0
2018-10-15,2490800.0
2019-06-28,2761800.0
2018-12-18,8817200.0
