Dates,CINF
2019-09-25,505900.0
2020-01-21,443200.0
2020-04-09,412300.0
2019-11-06,526800.0
2020-01-24,1090400.0
2020-01-27,427800.0
2020-04-15,663000.0
2018-12-26,547700.0
2019-08-07,1426700.0
2019-06-04,916700.0
2018-09-21,657700.0
2018-07-19,880300.0
2018-08-20,586800.0
2018-10-23,752000.0
2019-05-03,474600.0
2019-04-01,402000.0
2019-02-28,527800.0
2019-11-12,547300.0
2020-01-30,555800.0
2019-11-15,449100.0
2020-04-21,710500.0
2019-04-16,1621300.0
2019-03-15,858000.0
2019-02-11,899400.0
2019-01-10,970300.0
2019-08-22,956800.0
2018-11-07,890100.0
2018-08-03,754100.0
2018-09-04,668600.0
2019-06-19,435200.0
2019-09-23,1177100.0
2019-11-18,701600.0
2020-02-05,456200.0
2020-04-24,692800.0
2019-03-29,960200.0
2019-11-21,929000.0
2020-04-27,1241500.0
2020-02-11,811500.0
2020-04-30,805600.0
2019-05-01,948900.0
2019-02-26,961500.0
2019-01-25,487500.0
2018-12-24,1991500.0
2019-09-06,505600.0
2018-07-17,854700.0
2018-09-19,697900.0
2019-08-05,420400.0
2019-10-08,898700.0
2019-12-11,1328200.0
2019-11-27,846600.0
2020-02-14,363100.0
2020-05-06,725900.0
2019-01-08,691700.0
2018-12-07,814800.0
2019-08-20,624600.0
2018-11-05,923800.0
2019-07-19,590900.0
2018-10-04,485000.0
2019-06-17,762000.0
2019-05-16,827500.0
2018-08-01,942700.0
2019-03-13,680900.0
2019-12-03,537600.0
2020-02-20,569200.0
2019-12-06,645700.0
2020-05-12,558100.0
2019-12-09,615500.0
2020-02-26,626700.0
2020-05-15,416100.0
2019-03-28,571700.0
2018-09-17,598700.0
2018-08-16,588300.0
2018-10-19,550100.0
2019-04-29,722600.0
2019-01-23,659500.0
2019-09-04,2421900.0
2018-11-20,697300.0
2019-07-02,744200.0
2019-05-31,922500.0
2019-12-12,915700.0
2020-05-18,801300.0
2019-09-27,487100.0
2020-03-03,423700.0
2020-05-21,505500.0
2019-05-14,793800.0
2018-08-31,611700.0
2018-07-30,475500.0
2018-10-02,636900.0
2019-04-12,522400.0
2019-03-11,418000.0
2019-02-07,326100.0
2019-07-17,403400.0
2019-09-19,542800.0
2019-10-21,589000.0
2019-12-18,469700.0
2020-03-06,741800.0
2019-10-03,540700.0
2020-03-09,475400.0
2020-05-27,609800.0
2019-12-24,552400.0
2020-03-12,450900.0
2018-12-20,451900.0
2019-08-01,801500.0
2018-08-14,770800.0
2018-07-13,634300.0
2018-10-17,521100.0
2019-05-29,534600.0
2019-03-26,461500.0
2019-02-22,636700.0
2019-10-04,411800.0
2019-11-05,374000.0
2019-12-27,892700.0
2020-06-02,389200.0
2019-12-30,580300.0
2020-03-18,717200.0
2020-06-05,588700.0
2019-07-15,396500.0
2018-12-03,522900.0
2019-06-13,463200.0
2019-01-04,515900.0
2018-08-29,513100.0
2019-02-05,534000.0
2018-11-01,476900.0
2019-08-16,605500.0
2019-04-10,541100.0
2019-09-17,390500.0
2019-10-15,567000.0
2020-01-02,371600.0
2020-06-08,428300.0
2019-10-18,671800.0
2020-03-24,713400.0
2020-06-11,635500.0
2020-01-08,521200.0
2019-04-25,482400.0
2019-07-30,437200.0
2019-02-20,1052000.0
2018-07-11,982100.0
2018-09-13,854200.0
2018-10-15,766100.0
2019-06-28,821700.0
2018-12-18,1128100.0
2018-11-16,554400.0
2019-10-02,522400.0
2020-03-27,494000.0
2020-01-10,558800.0
2019-10-24,704000.0
2020-03-30,481400.0
2020-06-17,356400.0
2020-01-14,664000.0
2020-04-02,1063800.0
2019-01-02,846600.0
2019-08-14,793000.0
2018-10-30,719300.0
2019-06-11,864000.0
2019-05-10,808800.0
2019-04-08,561600.0
2018-08-27,508200.0
2018-07-26,479800.0
2018-09-28,1315300.0
2019-03-07,628200.0
2019-10-30,325100.0
2020-01-17,669400.0
2020-06-23,487500.0
2020-04-08,644800.0
2020-06-26,625200.0
2019-03-22,606400.0
2019-01-17,542900.0
2019-08-29,376800.0
2018-11-14,366600.0
2019-06-26,561700.0
2018-09-11,450800.0
2018-07-09,528900.0
2018-08-10,858000.0
2019-04-23,633100.0
2019-09-30,740100.0
2020-01-23,1143400.0
2019-11-08,459400.0
2020-04-14,176200.0
2019-11-11,587800.0
2020-01-29,357400.0
2020-04-17,380100.0
2018-07-24,488900.0
2018-09-26,801100.0
2019-05-08,461800.0
2019-03-05,409100.0
2019-02-01,442300.0
2018-12-31,884500.0
2018-11-29,751700.0
2019-08-12,437600.0
2019-07-11,605500.0
2019-09-13,627200.0
2019-11-14,469900.0
2020-04-20,472200.0
2020-02-04,576200.0
2020-04-23,759700.0
2018-12-14,352100.0
2019-08-27,485400.0
2018-08-08,330100.0
2018-10-11,463900.0
2018-11-12,479600.0
2019-07-26,422600.0
2019-06-24,467200.0
2019-05-23,976600.0
2019-03-20,538900.0
2019-01-15,563900.0
2019-11-20,671700.0
2020-02-07,867500.0
2020-02-10,755100.0
2020-04-29,646600.0
2019-11-26,875300.0
2020-02-13,665000.0
2019-01-30,795200.0
2018-08-23,612600.0
2018-09-24,472200.0
2018-11-27,435400.0
2018-10-26,340200.0
2019-07-09,682500.0
2019-06-07,775100.0
2019-05-06,933700.0
2019-04-04,1182500.0
2019-09-11,1742400.0
2019-11-29,2197100.0
2020-05-05,1528700.0
2019-12-02,1343500.0
2020-02-19,868700.0
2020-05-08,993700.0
2019-05-21,1241200.0
2019-03-18,1397500.0
2018-09-07,1405800.0
2018-08-06,1343600.0
2018-10-09,1276200.0
2019-02-14,1517600.0
2018-12-12,1414800.0
2019-07-24,1556700.0
2019-09-26,1273900.0
2019-10-28,1390300.0
2019-12-05,1491500.0
2020-05-11,1461700.0
2019-07-03,1465300.0
2020-02-25,1262000.0
2020-05-14,1072800.0
2020-02-28,800500.0
2019-08-08,954600.0
2019-06-05,2029700.0
2018-07-20,1195100.0
2018-08-21,981500.0
2018-10-24,963300.0
2019-04-02,960800.0
2019-03-01,1014100.0
2019-01-28,750200.0
2018-12-27,1231400.0
2019-09-09,609600.0
2020-03-02,1472100.0
2020-05-20,1234500.0
2019-12-17,879300.0
2020-03-05,770000.0
2019-02-12,623100.0
2019-01-11,560100.0
2018-12-10,567700.0
2019-08-23,508300.0
2018-11-08,522200.0
2019-07-22,686000.0
2019-06-20,3936400.0
2018-09-05,1620500.0
2019-04-17,2353000.0
2019-09-24,2993700.0
2019-12-20,2016900.0
2020-05-26,1646400.0
2019-04-30,2042100.0
2019-12-23,1404400.0
2020-03-11,1236800.0
2020-05-29,1419500.0
2019-12-26,1498100.0
2020-06-01,1678500.0
2019-05-02,1718500.0
2019-02-27,2585600.0
2018-11-23,1765600.0
2019-08-06,1887200.0
2018-07-18,1331700.0
2018-09-20,2161800.0
2018-10-22,1341800.0
2019-07-05,1561600.0
2019-06-03,2566800.0
2019-10-09,1553600.0
2019-10-11,1743600.0
2020-03-17,1007000.0
2020-06-04,873700.0
2019-10-14,1437600.0
2020-03-20,936100.0
2018-11-06,1723000.0
2019-06-18,1461200.0
2019-05-17,1051000.0
2019-04-15,1678500.0
2019-03-14,1708600.0
2019-01-09,1136800.0
2018-08-02,1368900.0
2018-10-05,1216500.0
2019-08-21,1006300.0
2019-10-17,1166600.0
2020-03-23,6750100.0
2020-06-10,1774600.0
2019-02-25,1342100.0
2020-01-07,1531700.0
2020-03-26,1049500.0
2019-10-23,1918000.0
