Dates,LOW
2018-06-20,97.68000030517578
2018-06-21,97.87000274658203
2018-06-25,98.0
2018-06-22,96.20999908447266
2018-06-26,96.94000244140625
2018-06-27,96.20999908447266
2018-06-28,95.19999694824219
2018-06-29,95.56999969482422
2018-07-02,93.95999908447266
2018-07-03,94.88999938964844
2018-07-05,94.80000305175781
2018-07-16,94.51000213623047
2018-09-18,96.26000213623047
2019-01-24,97.63999938964844
2019-09-05,97.56999969482422
2018-11-21,97.91000366210938
2020-01-13,98.87000274658203
2020-04-01,98.75
2020-06-19,99.37999725341797
2019-10-29,100.2300033569336
2020-01-16,100.81999969482422
2020-06-22,100.44999694824219
2018-10-03,100.12999725341797
2018-07-31,99.58000183105469
2019-03-12,97.83999633789062
2019-02-08,97.9800033569336
2019-01-07,97.54000091552734
2018-12-06,98.05000305175781
2019-08-19,98.95999908447266
2019-07-18,97.70999908447266
2019-05-15,96.73999786376953
2019-09-20,97.4800033569336
2019-11-01,97.3499984741211
2020-04-07,97.37999725341797
2020-06-25,98.5199966430664
2020-06-16,98.87999725341797
2019-11-04,98.02999877929688
2020-01-22,97.04000091552734
2019-11-07,96.23999786376953
2020-04-13,96.26000213623047
2019-07-01,97.16000366210938
2019-05-30,97.33000183105469
2018-08-15,97.91000366210938
2018-10-18,98.80999755859375
2019-03-27,104.2699966430664
2019-01-22,106.19999694824219
2018-12-21,106.66000366210938
2019-09-03,106.7699966430664
2018-11-19,106.88999938964844
2019-08-02,107.62000274658203
2020-01-28,107.58999633789062
2020-04-16,107.69000244140625
2019-11-13,108.02999877929688
2020-01-31,108.37999725341797
2018-12-04,108.27999877929688
2018-11-02,108.81999969482422
2019-07-16,110.23999786376953
2018-08-30,112.0999984741211
2018-10-01,112.83999633789062
2019-06-14,112.01000213623047
2019-05-13,112.16000366210938
2019-04-11,113.41000366210938
2019-02-06,113.22000122070312
2019-09-18,115.4800033569336
2020-02-03,116.0199966430664
2020-04-22,116.33999633789062
2019-11-19,114.83000183105469
2020-02-06,114.94000244140625
2019-11-22,114.7699966430664
2019-03-25,113.56999969482422
2019-02-21,114.68000030517578
2018-12-19,114.04000091552734
2018-07-12,112.56999969482422
2018-09-14,111.54000091552734
2018-08-13,110.0199966430664
2018-10-16,108.38999938964844
2019-07-31,108.7699966430664
2019-05-28,109.1500015258789
2019-04-26,106.05999755859375
2020-04-28,103.80999755859375
2019-11-25,104.0199966430664
2020-02-12,104.63999938964844
2020-05-01,104.2300033569336
2020-05-04,101.38999938964844
2019-06-12,99.5199966430664
2019-04-09,98.94999694824219
2019-03-08,98.18000030517578
2019-02-04,95.5999984741211
2018-07-27,96.31999969482422
2018-08-28,95.76000213623047
2019-01-03,93.0999984741211
2019-08-15,91.61000061035156
2018-10-31,92.98999786376953
2019-09-16,95.04000091552734
2020-02-18,94.5999984741211
2020-05-07,95.80000305175781
2018-08-17,95.69000244140625
2019-12-04,96.33000183105469
2020-02-21,96.9000015258789
2018-12-17,98.9800033569336
2019-08-30,96.43000030517578
2018-11-15,95.4000015258789
2019-07-29,93.7699966430664
2019-06-27,94.38999938964844
2019-04-24,91.58000183105469
2018-07-10,92.01000213623047
2018-09-12,90.58000183105469
2019-02-19,84.75
2019-01-18,86.20999908447266
2020-02-24,87.54000091552734
2020-05-13,87.30000305175781
2019-12-10,89.11000061035156
2020-02-27,90.62000274658203
2019-12-13,91.95999908447266
2020-05-19,92.45999908447266
2019-03-06,93.83999633789062
2018-11-30,89.93000030517578
2019-08-13,87.4800033569336
2019-07-12,89.05000305175781
2019-06-10,87.30000305175781
2019-05-09,89.0
2018-07-25,87.66999816894531
2018-09-27,92.13999938964844
2018-10-29,92.97000122070312
2019-10-16,89.80000305175781
2019-12-16,90.75
2020-03-04,89.68000030517578
2020-05-22,87.43000030517578
2019-10-01,87.54000091552734
2019-12-19,85.9000015258789
2018-09-10,86.4800033569336
2019-05-24,88.33000183105469
2018-08-09,91.19000244140625
2019-04-22,91.5199966430664
2019-03-21,90.77999877929688
2019-01-16,90.6500015258789
2019-08-28,91.88999938964844
2018-11-13,93.68000030517578
2018-10-12,95.61000061035156
2019-06-25,96.68000030517578
