Dates,LOW
2018-06-20,94.62174987792969
2018-06-21,95.21769714355469
2018-06-25,94.41027069091797
2018-06-22,93.09339904785156
2018-06-26,93.36254119873047
2018-06-27,92.57434844970703
2018-06-28,92.2763900756836
2018-06-29,91.86306762695312
2018-07-02,91.1902084350586
2018-07-03,91.37283325195312
2018-07-05,91.81499481201172
2018-07-16,92.41095733642578
2018-09-18,93.19914245605469
2019-01-24,95.16963958740234
2019-09-05,94.78514099121094
2018-11-21,94.48717498779297
2020-01-13,95.71752166748047
2020-04-01,95.76558685302734
2020-06-19,96.36154174804688
2019-10-29,97.13050842285156
2020-01-16,97.45731353759766
2020-06-22,96.75563049316406
2018-10-03,97.23624420166016
2018-07-31,96.57950592041016
2019-03-12,95.63301086425781
2019-02-08,95.15011596679688
2019-01-07,94.64791107177734
2018-12-06,95.88411712646484
2019-08-19,95.94207000732422
2019-07-18,94.6092758178711
2019-05-15,94.10706329345703
2019-09-20,94.29055786132812
2019-11-01,94.40646362304688
2020-04-07,95.4012222290039
2020-06-25,95.48815155029297
2020-06-16,96.52154541015625
2019-11-04,94.94730377197266
2020-01-22,93.76903533935547
2019-11-07,95.03422546386719
2020-04-13,93.51792907714844
2019-07-01,94.33885192871094
2019-05-30,94.62858581542969
2018-08-15,95.58472442626953
2018-10-18,96.32838439941406
2019-03-27,101.91067504882812
2019-01-22,103.48493194580078
2018-12-21,103.14690399169922
2019-09-03,103.31108093261719
2018-11-19,104.56661987304688
2019-08-02,104.96260070800781
2020-01-28,104.18994903564453
2020-04-16,105.03021240234375
2019-11-13,106.16984558105469
2020-01-31,104.70182800292969
2018-12-04,105.63865661621094
2018-11-02,105.84146118164062
2019-07-16,108.54568481445312
2018-08-30,110.27446746826172
2018-10-01,110.42899322509766
2019-06-14,108.89339447021484
2019-05-13,109.99439239501953
2019-04-11,109.8495101928711
2019-02-06,111.59761810302734
2019-09-18,112.2833251953125
2020-02-03,112.70826721191406
2020-04-22,112.8434829711914
2019-11-19,111.07608032226562
2020-02-06,111.25957489013672
2019-11-22,110.86360168457031
2019-03-25,110.58352661132812
2019-02-21,110.892578125
2018-12-19,110.16822814941406
2018-07-12,108.73885345458984
2018-09-14,107.92758178710938
2018-08-13,106.99076080322266
2018-10-16,105.98634338378906
2019-07-31,106.140869140625
2019-05-28,105.43582916259766
2019-04-26,102.65435028076172
2020-04-28,100.66481018066406
2019-11-25,101.75615692138672
2020-02-12,101.08976745605469
2020-05-01,102.3549575805664
2020-05-04,98.93603515625
2019-06-12,96.29940795898438
2019-04-09,96.18351745605469
2019-03-08,95.02457427978516
2019-02-04,95.22837829589844
2018-07-27,93.68523406982422
2018-08-28,95.0633773803711
2019-01-03,91.01626586914062
2019-08-15,90.12338256835938
2018-10-31,91.94798278808594
2019-09-16,92.41384887695312
2020-02-18,94.56842041015625
2020-05-07,93.96668243408203
2018-08-17,94.20932006835938
2019-12-04,94.63636016845703
2020-02-21,97.63529205322266
2018-12-17,96.53858184814453
2019-08-30,93.96668243408203
2018-11-15,92.83116912841797
2019-07-29,92.7729263305664
2019-06-27,92.11297607421875
2019-04-24,90.91922760009766
2018-07-10,90.50189971923828
2018-09-12,88.65789794921875
2019-02-19,83.64024353027344
2019-01-18,85.76570892333984
2020-02-24,85.22220611572266
2020-05-13,86.67800903320312
2019-12-10,88.93933868408203
2020-02-27,90.92892456054688
2019-12-13,90.45336151123047
2020-05-19,91.58889770507812
2019-03-06,91.51126098632812
2018-11-30,87.66795349121094
2019-08-13,88.2696762084961
2019-07-12,86.76535034179688
2019-06-10,86.79447174072266
2019-05-09,86.8429946899414
2018-07-25,89.39550018310547
2018-09-27,91.51126098632812
2018-10-29,90.60865020751953
2019-10-16,87.78441619873047
2019-12-16,88.76464080810547
2020-03-04,87.66795349121094
2020-05-22,86.53242492675781
2019-10-01,85.0572280883789
2019-12-19,83.42672729492188
2018-09-10,88.35701751708984
2019-05-24,89.1528549194336
2018-08-09,89.16256713867188
2019-04-22,89.63811492919922
2019-03-21,89.55076599121094
2019-01-16,88.48319244384766
2019-08-28,91.10363006591797
2018-11-13,92.83116912841797
2018-10-12,94.75281524658203
2019-06-25,94.17049407958984
2020-03-10,93.15145111083984
2020-05-28,94.43254852294922
2019-10-07,94.05403900146484
2020-03-13,92.11297607421875
2019-10-10,91.19097137451172
2020-03-16,89.33726501464844
2020-06-03,92.180908203125
2018-11-28,89.31305694580078
2018-09-25,89.57644653320312
2018-07-23,89.54718017578125
2018-08-24,91.5176010131836
2019-07-10,90.8640365600586
2019-05-07,91.13716888427734
2019-04-05,93.40023040771484
2019-03-04,93.8001708984375
2019-01-31,94.72686004638672
2019-09-12,95.46821594238281
2019-12-31,95.69256591796875
2020-03-19,94.80490112304688
2020-01-03,94.50250244140625
2020-06-09,94.78539276123047
2019-02-15,94.50250244140625
2019-01-14,97.02893829345703
2018-07-06,98.97010803222656
2018-08-07,99.01888275146484
2018-10-10,101.68186950683594
2018-12-13,102.48175811767578
2019-08-26,103.0670394897461
2019-07-25,102.93046569824219
2019-05-22,103.66205596923828
2019-03-19,102.43299102783203
2020-01-06,102.45250701904297
