Dates,GLW
2018-06-20,28.389999389648438
2018-06-21,28.290000915527344
2018-06-25,28.489999771118164
2018-06-22,27.729999542236328
2018-06-26,27.700000762939453
2018-06-27,27.5
2018-06-28,26.989999771118164
2018-06-29,27.510000228881836
2018-07-02,27.709999084472656
2018-07-03,27.350000381469727
2018-07-05,27.959999084472656
2018-07-16,28.1299991607666
2018-09-18,29.0
2019-01-24,28.950000762939453
2019-09-05,28.260000228881836
2018-11-21,28.670000076293945
2020-01-13,28.799999237060547
2020-04-01,28.600000381469727
2020-06-19,29.190000534057617
2019-10-29,29.450000762939453
2020-01-16,29.34000015258789
2020-06-22,29.1200008392334
2018-10-03,29.360000610351562
2018-07-31,29.829999923706055
2019-03-12,33.209999084472656
2019-02-08,33.630001068115234
2019-01-07,33.540000915527344
2018-12-06,32.939998626708984
2019-08-19,33.18000030517578
2019-07-18,32.900001525878906
2019-05-15,32.790000915527344
2019-09-20,32.84000015258789
2019-11-01,32.939998626708984
2020-04-07,33.060001373291016
2020-06-25,33.290000915527344
2020-06-16,33.09000015258789
2019-11-04,32.7400016784668
2020-01-22,32.5099983215332
2019-11-07,32.709999084472656
2020-04-13,32.369998931884766
2019-07-01,32.720001220703125
2019-05-30,33.02000045776367
2018-08-15,32.9900016784668
2018-10-18,32.880001068115234
2019-03-27,32.88999938964844
2019-01-22,32.81999969482422
2018-12-21,33.0
2019-09-03,33.619998931884766
2018-11-19,33.66999816894531
2019-08-02,33.810001373291016
2020-01-28,33.470001220703125
2020-04-16,33.5099983215332
2019-11-13,33.41999816894531
2020-01-31,33.31999969482422
2018-12-04,33.529998779296875
2018-11-02,33.58000183105469
2019-07-16,33.970001220703125
2018-08-30,33.54999923706055
2018-10-01,34.0099983215332
2019-06-14,35.060001373291016
2019-05-13,35.27000045776367
2019-04-11,35.18000030517578
2019-02-06,35.27000045776367
2019-09-18,35.25
2020-02-03,36.130001068115234
2020-04-22,35.91999816894531
2019-11-19,35.689998626708984
2020-02-06,35.5099983215332
2019-11-22,35.400001525878906
2019-03-25,35.38999938964844
2019-02-21,35.29999923706055
2018-12-19,35.279998779296875
2018-07-12,35.470001220703125
2018-09-14,35.7400016784668
2018-08-13,35.70000076293945
2018-10-16,34.72999954223633
2019-07-31,34.470001220703125
2019-05-28,34.25
2019-04-26,32.31999969482422
2020-04-28,31.34000015258789
2019-11-25,32.130001068115234
2020-02-12,31.790000915527344
2020-05-01,32.63999938964844
2020-05-04,32.38999938964844
2019-06-12,31.170000076293945
2019-04-09,30.780000686645508
2019-03-08,30.829999923706055
2019-02-04,31.40999984741211
2018-07-27,30.299999237060547
2018-08-28,31.450000762939453
2019-01-03,30.690000534057617
2019-08-15,30.59000015258789
2018-10-31,31.229999542236328
2019-09-16,31.950000762939453
2020-02-18,33.099998474121094
2020-05-07,32.90999984741211
2018-08-17,33.060001373291016
2019-12-04,33.380001068115234
2020-02-21,34.0099983215332
2018-12-17,34.099998474121094
2019-08-30,33.560001373291016
2018-11-15,31.709999084472656
2019-07-29,32.029998779296875
2019-06-27,31.59000015258789
2019-04-24,32.04999923706055
2018-07-10,32.029998779296875
2018-09-12,31.15999984741211
2019-02-19,30.850000381469727
2019-01-18,30.709999084472656
2020-02-24,31.170000076293945
2020-05-13,31.540000915527344
2019-12-10,31.579999923706055
2020-02-27,32.25
2019-12-13,31.860000610351562
2020-05-19,32.220001220703125
2019-03-06,33.38999938964844
2018-11-30,32.150001525878906
2019-08-13,32.27000045776367
2019-07-12,31.43000030517578
2019-06-10,31.760000228881836
2019-05-09,31.59000015258789
2018-07-25,31.979999542236328
2018-09-27,31.969999313354492
2018-10-29,31.43000030517578
2019-10-16,30.899999618530273
2019-12-16,30.649999618530273
2020-03-04,30.059999465942383
2020-05-22,29.549999237060547
2019-10-01,28.780000686645508
2019-12-19,27.969999313354492
2018-09-10,29.18000030517578
2019-05-24,29.700000762939453
2018-08-09,29.75
2019-04-22,30.209999084472656
2019-03-21,29.8799991607666
2019-01-16,28.030000686645508
2019-08-28,29.209999084472656
2018-11-13,29.200000762939453
2018-10-12,29.479999542236328
2019-06-25,29.68000030517578
2020-03-10,30.350000381469727
2020-05-28,30.049999237060547
2019-10-07,29.850000381469727
2020-03-13,30.100000381469727
2019-10-10,30.06999969482422
2020-03-16,30.270000457763672
2020-06-03,30.6299991607666
2018-11-28,29.420000076293945
2018-09-25,29.309999465942383
2018-07-23,29.860000610351562
2018-08-24,30.360000610351562
2019-07-10,30.360000610351562
2019-05-07,33.720001220703125
2019-04-05,33.52000045776367
2019-03-04,33.2599983215332
2019-01-31,33.09000015258789
2019-09-12,33.54999923706055
2019-12-31,33.54999923706055
2020-03-19,33.77000045776367
2020-01-03,33.209999084472656
2020-06-09,33.38999938964844
2019-02-15,33.36000061035156
2019-01-14,34.02000045776367
2018-07-06,34.040000915527344
2018-08-07,33.72999954223633
2018-10-10,34.5099983215332
2018-12-13,34.20000076293945
2019-08-26,34.65999984741211
2019-07-25,34.5
2019-05-22,34.849998474121094
2019-03-19,35.08000183105469
2020-01-06,34.90999984741211
2020-03-25,34.689998626708984
2020-06-12,34.810001373291016
2019-10-22,34.93000030517578
2020-01-09,34.880001068115234
2020-06-15,34.689998626708984
2019-10-25,34.5099983215332
2020-03-31,33.970001220703125
2020-06-18,33.79999923706055
2019-04-03,34.20000076293945
2018-08-22,34.20000076293945
2018-10-25,34.310001373291016
2019-01-29,34.220001220703125
2018-12-28,34.52000045776367
2018-11-26,34.349998474121094
2019-08-09,34.61000061035156
2019-07-08,34.220001220703125
2019-06-06,34.790000915527344
2019-09-10,33.83000183105469
2020-01-15,33.7400016784668
2020-04-03,33.61000061035156
2019-10-31,33.2400016784668
2020-04-06,32.900001525878906
2020-06-24,33.099998474121094
2018-11-09,33.91999816894531
2019-07-23,34.02000045776367
2019-06-21,34.380001068115234
2019-05-20,34.61000061035156
2019-04-18,34.689998626708984
2018-09-06,34.68000030517578
2018-10-08,34.290000915527344
2019-02-13,34.400001525878906
2018-12-11,34.599998474121094
2019-09-25,35.0099983215332
2020-01-21,34.959999084472656
2020-04-09,34.880001068115234
2019-11-06,34.90999984741211
2020-01-24,34.849998474121094
2020-01-27,34.349998474121094
2020-04-15,34.849998474121094
2018-12-26,34.45000076293945
2019-08-07,33.560001373291016
2019-06-04,33.650001525878906
2018-09-21,33.72999954223633
2018-07-19,31.850000381469727
2018-08-20,32.310001373291016
2018-10-23,31.579999923706055
2019-05-03,31.989999771118164
2019-04-01,31.5
2019-02-28,31.15999984741211
2019-11-12,30.889999389648438
2020-01-30,30.6299991607666
2019-11-15,30.790000915527344
2020-04-21,29.600000381469727
2019-04-16,30.059999465942383
2019-03-15,30.270000457763672
2019-02-11,30.5
2019-01-10,29.90999984741211
2019-08-22,29.600000381469727
2018-11-07,30.329999923706055
2018-08-03,30.360000610351562
2018-09-04,29.6299991607666
2019-06-19,29.700000762939453
2019-09-23,29.639999389648438
2019-11-18,29.190000534057617
2020-02-05,29.18000030517578
2020-04-24,28.84000015258789
2019-03-29,28.850000381469727
2019-11-21,29.8700008392334
2020-04-27,30.360000610351562
2020-02-11,30.489999771118164
2020-04-30,30.579999923706055
2019-05-01,30.940000534057617
2019-02-26,30.959999084472656
2019-01-25,31.209999084472656
2018-12-24,31.290000915527344
2019-09-06,30.90999984741211
2018-07-17,31.3700008392334
2018-09-19,32.52000045776367
2019-08-05,32.70000076293945
2019-10-08,33.119998931884766
2019-12-11,33.25
2019-11-27,33.040000915527344
2020-02-14,32.810001373291016
2020-05-06,33.060001373291016
2019-01-08,33.22999954223633
2018-12-07,33.22999954223633
2019-08-20,34.119998931884766
2018-11-05,33.709999084472656
2019-07-19,33.75
2018-10-04,33.61000061035156
2019-06-17,33.0099983215332
2019-05-16,33.029998779296875
2018-08-01,32.7400016784668
2019-03-13,32.54999923706055
2019-12-03,33.0099983215332
2020-02-20,33.369998931884766
2019-12-06,33.29999923706055
2020-05-12,32.95000076293945
2019-12-09,33.15999984741211
2020-02-26,33.11000061035156
2020-05-15,33.36000061035156
2019-03-28,33.58000183105469
2018-09-17,33.81999969482422
2018-08-16,33.0
2018-10-19,33.790000915527344
2019-04-29,34.099998474121094
2019-01-23,31.399999618530273
2019-09-04,30.75
2018-11-20,29.739999771118164
2019-07-02,29.290000915527344
2019-05-31,28.18000030517578
2019-12-12,28.520000457763672
2020-05-18,28.510000228881836
2019-09-27,29.149999618530273
2020-03-03,28.280000686645508
2020-05-21,27.75
2019-05-14,28.219999313354492
2018-08-31,27.31999969482422
2018-07-30,27.1299991607666
2018-10-02,27.6299991607666
2019-04-12,27.889999389648438
2019-03-11,27.489999771118164
2019-02-07,27.889999389648438
2019-07-17,28.18000030517578
2019-09-19,27.450000762939453
2019-10-21,27.229999542236328
2019-12-18,27.06999969482422
2020-03-06,27.3799991607666
2019-10-03,27.719999313354492
2020-03-09,27.850000381469727
2020-05-27,27.06999969482422
2019-12-24,27.399999618530273
2020-03-12,28.579999923706055
2018-12-20,28.329999923706055
2019-08-01,28.690000534057617
2018-08-14,29.190000534057617
2018-07-13,29.979999542236328
2018-10-17,30.25
2019-05-29,30.15999984741211
2019-03-26,30.049999237060547
2019-02-22,28.229999542236328
2019-10-04,27.899999618530273
2019-11-05,27.600000381469727
2019-12-27,27.760000228881836
2020-06-02,27.670000076293945
2019-12-30,27.649999618530273
2020-03-18,28.260000228881836
2020-06-05,28.229999542236328
2019-07-15,28.3799991607666
2018-12-03,28.520000457763672
2019-06-13,27.780000686645508
2019-01-04,27.31999969482422
2018-08-29,27.600000381469727
2019-02-05,28.020000457763672
2018-11-01,27.920000076293945
2019-08-16,27.270000457763672
2019-04-10,27.81999969482422
2019-09-17,28.200000762939453
2019-10-15,29.059999465942383
2020-01-02,29.010000228881836
2020-06-08,29.530000686645508
2019-10-18,29.520000457763672
2020-03-24,29.350000381469727
2020-06-11,29.329999923706055
2020-01-08,29.90999984741211
2019-04-25,30.010000228881836
2019-07-30,30.079999923706055
2019-02-20,29.790000915527344
2018-07-11,30.510000228881836
2018-09-13,30.610000610351562
2018-10-15,30.260000228881836
2019-06-28,30.389999389648438
2018-12-18,29.6299991607666
2018-11-16,29.579999923706055
2019-10-02,30.059999465942383
2020-03-27,30.049999237060547
2020-01-10,29.84000015258789
2019-10-24,30.190000534057617
2020-03-30,30.3700008392334
2020-06-17,29.940000534057617
2020-01-14,29.6200008392334
2020-04-02,29.309999465942383
2019-01-02,28.950000762939453
2019-08-14,29.350000381469727
2018-10-30,29.020000457763672
2019-06-11,28.950000762939453
2019-05-10,28.6200008392334
2019-04-08,28.549999237060547
2018-08-27,29.020000457763672
2018-07-26,29.239999771118164
2018-09-28,29.139999389648438
2019-03-07,29.350000381469727
2019-10-30,29.040000915527344
2020-01-17,28.75
2020-06-23,28.030000686645508
2020-04-08,28.020000457763672
2020-06-26,27.690000534057617
2019-03-22,27.889999389648438
2019-01-17,28.510000228881836
2019-08-29,28.0
2018-11-14,28.020000457763672
2019-06-26,29.25
2018-09-11,28.739999771118164
2018-07-09,28.6200008392334
2018-08-10,28.510000228881836
2019-04-23,28.309999465942383
2019-09-30,28.920000076293945
2020-01-23,29.010000228881836
2019-11-08,29.1200008392334
2020-04-14,28.81999969482422
2019-11-11,29.030000686645508
2020-01-29,28.790000915527344
2020-04-17,29.010000228881836
2018-07-24,29.110000610351562
2018-09-26,29.989999771118164
2019-05-08,29.600000381469727
2019-03-05,29.68000030517578
2019-02-01,29.899999618530273
2018-12-31,30.040000915527344
2018-11-29,30.219999313354492
2019-08-12,30.110000610351562
2019-07-11,30.399999618530273
2019-09-13,30.110000610351562
2019-11-14,29.670000076293945
2020-04-20,30.010000228881836
2020-02-04,30.059999465942383
2020-04-23,29.709999084472656
2018-12-14,29.649999618530273
2019-08-27,29.549999237060547
2018-08-08,29.360000610351562
2018-10-11,28.559999465942383
2018-11-12,28.0
2019-07-26,28.350000381469727
2019-06-24,27.690000534057617
2019-05-23,26.690000534057617
2019-03-20,26.90999984741211
2019-01-15,27.579999923706055
2019-11-20,28.290000915527344
2020-02-07,28.170000076293945
2020-02-10,27.68000030517578
2020-04-29,27.56999969482422
2019-11-26,28.040000915527344
2020-02-13,28.84000015258789
2019-01-30,28.709999084472656
2018-08-23,28.59000015258789
2018-09-24,27.969999313354492
2018-11-27,27.959999084472656
2018-10-26,28.290000915527344
2019-07-09,27.959999084472656
2019-06-07,27.0
2019-05-06,25.719999313354492
2019-04-04,25.25
2019-09-11,24.030000686645508
2019-11-29,23.860000610351562
2020-05-05,24.670000076293945
2019-12-02,23.889999389648438
2020-02-19,25.09000015258789
2020-05-08,24.600000381469727
2019-05-21,24.8799991607666
2019-03-18,22.84000015258789
2018-09-07,24.18000030517578
2018-08-06,23.149999618530273
2018-10-09,20.469999313354492
2019-02-14,22.799999237060547
2018-12-12,19.059999465942383
2019-07-24,21.559999465942383
2019-09-26,21.5
2019-10-28,21.270000457763672
2019-12-05,18.860000610351562
2020-05-11,17.75
2019-07-03,20.020000457763672
2020-02-25,20.25
2020-05-14,21.809999465942383
2020-02-28,20.739999771118164
