Dates,MLM
2018-06-20,226.4499969482422
2018-06-21,224.5
2018-06-25,221.25
2018-06-22,223.25999450683594
2018-06-26,220.27999877929688
2018-06-27,219.2100067138672
2018-06-28,216.25
2018-06-29,221.75999450683594
2018-07-02,220.1699981689453
2018-07-03,223.17999267578125
2018-07-05,222.08999633789062
2018-07-16,225.1300048828125
2018-09-18,225.60000610351562
2019-01-24,223.64999389648438
2019-09-05,222.52999877929688
2018-11-21,223.57000732421875
2020-01-13,225.5
2020-04-01,222.41000366210938
2020-06-19,223.83999633789062
2019-10-29,224.75
2020-01-16,224.27000427246094
2020-06-22,223.8300018310547
2018-10-03,222.72000122070312
2018-07-31,222.83999633789062
2019-03-12,218.1300048828125
2019-02-08,203.0399932861328
2019-01-07,204.4199981689453
2018-12-06,197.69000244140625
2019-08-19,194.94000244140625
2019-07-18,198.86000061035156
2019-05-15,199.8000030517578
2019-09-20,199.8000030517578
2019-11-01,206.0800018310547
2020-04-07,207.33999633789062
2020-06-25,204.94000244140625
2020-06-16,203.25999450683594
2019-11-04,199.67999267578125
2020-01-22,199.50999450683594
2019-11-07,201.1199951171875
2020-04-13,199.74000549316406
2019-07-01,202.3000030517578
2019-05-30,202.11000061035156
2018-08-15,202.33999633789062
2018-10-18,203.0500030517578
2019-03-27,203.5399932861328
2019-01-22,203.1999969482422
2018-12-21,203.19000244140625
2019-09-03,205.91000366210938
2018-11-19,205.39999389648438
2019-08-02,203.8800048828125
2020-01-28,203.3800048828125
2020-04-16,197.7899932861328
2019-11-13,195.0
2020-01-31,197.75
2018-12-04,196.6999969482422
2018-11-02,195.8699951171875
2019-07-16,188.33999633789062
2018-08-30,188.52000427246094
2018-10-01,190.0
2019-06-14,191.61000061035156
2019-05-13,192.49000549316406
2019-04-11,192.49000549316406
2019-02-06,193.42999267578125
2019-09-18,194.83999633789062
2020-02-03,195.0
2020-04-22,191.3300018310547
2019-11-19,190.22999572753906
2020-02-06,188.1199951171875
2019-11-22,186.4499969482422
2019-03-25,185.74000549316406
2019-02-21,180.5399932861328
2018-12-19,182.55999755859375
2018-07-12,182.82000732421875
2018-09-14,184.05999755859375
2018-08-13,183.67999267578125
2018-10-16,180.57000732421875
2019-07-31,181.1999969482422
2019-05-28,180.72000122070312
2019-04-26,174.74000549316406
2020-04-28,167.6699981689453
2019-11-25,167.99000549316406
2020-02-12,167.6699981689453
2020-05-01,167.63999938964844
2020-05-04,162.0
2019-06-12,161.75999450683594
2019-04-09,160.6699981689453
2019-03-08,159.67999267578125
2019-02-04,156.13999938964844
2018-07-27,163.14999389648438
2018-08-28,161.08999633789062
2019-01-03,150.75
2019-08-15,151.89999389648438
2018-10-31,153.5399932861328
2019-09-16,168.38999938964844
2020-02-18,170.3800048828125
2020-05-07,174.74000549316406
2018-08-17,172.64999389648438
2019-12-04,171.75999450683594
2020-02-21,188.82000732421875
2018-12-17,184.86000061035156
2019-08-30,181.75999450683594
2018-11-15,179.91000366210938
2019-07-29,182.22999572753906
