Dates,MLM
2018-06-20,400600.0
2018-06-21,309000.0
2018-06-25,498700.0
2018-06-22,492700.0
2018-06-26,586200.0
2018-06-27,560500.0
2018-06-28,720700.0
2018-06-29,405000.0
2018-07-02,433400.0
2018-07-03,210000.0
2018-07-05,471700.0
2018-07-16,238400.0
2018-09-18,391800.0
2019-01-24,388700.0
2019-09-05,614700.0
2018-11-21,335900.0
2020-01-13,275900.0
2020-04-01,380900.0
2020-06-19,428100.0
2019-10-29,370800.0
2020-01-16,444700.0
2020-06-22,387700.0
2018-10-03,348600.0
2018-07-31,488200.0
2019-03-12,953300.0
2019-02-08,2345500.0
2019-01-07,1511400.0
2018-12-06,1529300.0
2019-08-19,1251100.0
2019-07-18,1196100.0
2019-05-15,1112400.0
2019-09-20,702500.0
2019-11-01,542000.0
2020-04-07,843400.0
2020-06-25,555900.0
2020-06-16,594100.0
2019-11-04,861900.0
2020-01-22,590800.0
2019-11-07,506200.0
2020-04-13,847100.0
2019-07-01,476900.0
2019-05-30,328200.0
2018-08-15,337600.0
2018-10-18,556300.0
2019-03-27,448700.0
2019-01-22,647600.0
2018-12-21,380900.0
2019-09-03,562600.0
2018-11-19,660900.0
2019-08-02,509400.0
2020-01-28,680600.0
2020-04-16,765700.0
2019-11-13,907000.0
2020-01-31,515000.0
2018-12-04,397700.0
2018-11-02,473500.0
2019-07-16,1152500.0
2018-08-30,970200.0
2018-10-01,496300.0
2019-06-14,545700.0
2019-05-13,335800.0
2019-04-11,530700.0
2019-02-06,431200.0
2019-09-18,422200.0
2020-02-03,590800.0
2020-04-22,1046600.0
2019-11-19,479800.0
2020-02-06,762300.0
2019-11-22,693200.0
2019-03-25,875700.0
2019-02-21,1160700.0
2018-12-19,712900.0
2018-07-12,818200.0
2018-09-14,613000.0
2018-08-13,1000200.0
2018-10-16,597000.0
2019-07-31,659500.0
2019-05-28,486200.0
2019-04-26,1384000.0
2020-04-28,1356100.0
2019-11-25,895200.0
2020-02-12,689700.0
2020-05-01,698500.0
2020-05-04,1198300.0
2019-06-12,1372300.0
2019-04-09,955100.0
2019-03-08,796700.0
2019-02-04,1797200.0
2018-07-27,2180400.0
2018-08-28,1840000.0
2019-01-03,2663500.0
2019-08-15,1768700.0
2018-10-31,2607600.0
2019-09-16,1921300.0
2020-02-18,1034900.0
2020-05-07,1374500.0
2018-08-17,1112800.0
2019-12-04,2335300.0
2020-02-21,2031300.0
2018-12-17,948700.0
2019-08-30,1188500.0
2018-11-15,780000.0
2019-07-29,753200.0
2019-06-27,1101500.0
2019-04-24,843100.0
2018-07-10,775500.0
2018-09-12,853200.0
2019-02-19,920400.0
2019-01-18,529500.0
2020-02-24,309900.0
2020-05-13,1139100.0
2019-12-10,585600.0
2020-02-27,1164400.0
2019-12-13,687200.0
2020-05-19,892100.0
2019-03-06,959500.0
2018-11-30,962600.0
2019-08-13,1430300.0
2019-07-12,1419000.0
2019-06-10,859600.0
2019-05-09,585300.0
2018-07-25,616800.0
2018-09-27,687800.0
2018-10-29,1046000.0
2019-10-16,791300.0
2019-12-16,723900.0
2020-03-04,993900.0
2020-05-22,1299500.0
2019-10-01,1130000.0
2019-12-19,299700.0
2018-09-10,1043400.0
2019-05-24,681300.0
2018-08-09,733000.0
2019-04-22,603900.0
2019-03-21,647800.0
2019-01-16,717400.0
2019-08-28,820200.0
2018-11-13,689600.0
2018-10-12,663800.0
2019-06-25,541000.0
2020-03-10,486000.0
2020-05-28,560200.0
2019-10-07,638500.0
2020-03-13,517900.0
2019-10-10,679400.0
2020-03-16,579000.0
2020-06-03,627300.0
2018-11-28,731600.0
2018-09-25,814300.0
2018-07-23,555000.0
2018-08-24,696400.0
2019-07-10,791000.0
2019-05-07,838500.0
2019-04-05,688400.0
2019-03-04,1316800.0
2019-01-31,941200.0
2019-09-12,666100.0
2019-12-31,732100.0
2020-03-19,722800.0
2020-01-03,1076100.0
2020-06-09,409400.0
