Dates,MLM
2018-06-20,228.5800018310547
2018-06-21,224.63999938964844
2018-06-25,227.42999267578125
2018-06-22,224.9600067138672
2018-06-26,222.36000061035156
2018-06-27,219.77000427246094
2018-06-28,221.0800018310547
2018-06-29,223.3300018310547
2018-07-02,222.39999389648438
2018-07-03,225.3300018310547
2018-07-05,226.0
2018-07-16,227.5
2018-09-18,227.41000366210938
2019-01-24,226.0
2019-09-05,226.22999572753906
2018-11-21,225.69000244140625
2020-01-13,226.82000732421875
2020-04-01,224.9199981689453
2020-06-19,225.35000610351562
2019-10-29,225.7899932861328
2020-01-16,225.8699951171875
2020-06-22,224.22000122070312
2018-10-03,223.67999267578125
2018-07-31,224.1999969482422
2019-03-12,222.9499969482422
2019-02-08,206.85000610351562
2019-01-07,205.6999969482422
2018-12-06,201.6999969482422
2019-08-19,199.4199981689453
2019-07-18,201.64999389648438
2019-05-15,204.75999450683594
2019-09-20,206.9600067138672
2019-11-01,207.3000030517578
2020-04-07,208.5399932861328
2020-06-25,205.44000244140625
2020-06-16,203.52000427246094
2019-11-04,200.1300048828125
2020-01-22,201.0
2019-11-07,202.75
2020-04-13,203.02999877929688
2019-07-01,202.50999450683594
2019-05-30,203.0
2018-08-15,202.9600067138672
2018-10-18,204.22000122070312
2019-03-27,205.8300018310547
2019-01-22,203.3699951171875
2018-12-21,205.77000427246094
2019-09-03,208.27999877929688
2018-11-19,205.85000610351562
2019-08-02,206.94000244140625
2020-01-28,203.8699951171875
2020-04-16,198.72000122070312
2019-11-13,198.7100067138672
2020-01-31,199.60000610351562
2018-12-04,198.3000030517578
2018-11-02,196.25999450683594
2019-07-16,190.5399932861328
2018-08-30,192.5
2018-10-01,192.00999450683594
2019-06-14,193.1300048828125
2019-05-13,194.0
2019-04-11,193.08999633789062
2019-02-06,195.3300018310547
2019-09-18,196.10000610351562
2020-02-03,195.49000549316406
2020-04-22,192.17999267578125
2019-11-19,190.83999633789062
2020-02-06,189.35000610351562
2019-11-22,186.88999938964844
2019-03-25,187.11000061035156
2019-02-21,181.9499969482422
2018-12-19,184.36000061035156
2018-07-12,184.9499969482422
2018-09-14,185.35000610351562
2018-08-13,186.0
2018-10-16,182.61000061035156
2019-07-31,182.82000732421875
2019-05-28,180.88999938964844
2019-04-26,176.0
2020-04-28,168.86000061035156
2019-11-25,169.5800018310547
2020-02-12,168.58999633789062
2020-05-01,171.72000122070312
2020-05-04,166.11000061035156
2019-06-12,162.75
2019-04-09,161.6699981689453
2019-03-08,160.47000122070312
2019-02-04,163.91000366210938
2018-07-27,163.8699951171875
2018-08-28,162.0
2019-01-03,156.72999572753906
2019-08-15,153.42999267578125
2018-10-31,166.2100067138672
2019-09-16,171.27999877929688
2020-02-18,175.2899932861328
2020-05-07,177.42999267578125
2018-08-17,174.8300018310547
2019-12-04,189.5500030517578
2020-02-21,189.75999450683594
2018-12-17,188.3800048828125
2019-08-30,184.2899932861328
2018-11-15,181.47999572753906
