Dates,TTWO
2018-06-20,118.01000213623047
2018-06-21,116.5
2018-06-25,116.95999908447266
2018-06-22,116.7300033569336
2018-06-26,115.91000366210938
2018-06-27,113.95999908447266
2018-06-28,118.05999755859375
2018-06-29,118.36000061035156
2018-07-02,119.87000274658203
2018-07-03,118.1500015258789
2018-07-05,120.81999969482422
2018-07-16,123.44000244140625
2018-09-18,121.97000122070312
2019-01-24,121.1500015258789
2019-09-05,122.73999786376953
2018-11-21,126.23999786376953
2020-01-13,126.3499984741211
2020-04-01,125.88999938964844
2020-06-19,126.68000030517578
2019-10-29,126.80999755859375
2020-01-16,127.41000366210938
2020-06-22,126.61000061035156
2018-10-03,126.80000305175781
2018-07-31,125.16000366210938
2019-03-12,127.83999633789062
2019-02-08,125.33000183105469
2019-01-07,122.58000183105469
2018-12-06,113.11000061035156
2019-08-19,113.0199966430664
2019-07-18,112.23999786376953
2019-05-15,113.23999786376953
2019-09-20,123.41000366210938
2019-11-01,121.31999969482422
2020-04-07,122.20999908447266
2020-06-25,124.94999694824219
2020-06-16,125.19999694824219
2019-11-04,128.8000030517578
2020-01-22,128.10000610351562
2019-11-07,129.08999633789062
2020-04-13,125.94999694824219
2019-07-01,125.94000244140625
2019-05-30,124.30000305175781
2018-08-15,124.87999725341797
2018-10-18,126.41999816894531
2019-03-27,129.22999572753906
2019-01-22,130.67999267578125
2018-12-21,134.00999450683594
2019-09-03,133.3699951171875
2018-11-19,133.66000366210938
2019-08-02,136.08999633789062
2020-01-28,134.63999938964844
2020-04-16,133.55999755859375
2019-11-13,134.52999877929688
2020-01-31,128.89999389648438
2018-12-04,130.35000610351562
2018-11-02,130.5399932861328
2019-07-16,129.16000366210938
2018-08-30,133.9199981689453
2018-10-01,133.47999572753906
2019-06-14,136.25999450683594
2019-05-13,134.11000061035156
2019-04-11,131.47999572753906
2019-02-06,132.72000122070312
2019-09-18,130.57000732421875
2020-02-03,130.9499969482422
2020-04-22,132.07000732421875
2019-11-19,134.8800048828125
2020-02-06,135.5500030517578
2019-11-22,134.52999877929688
2019-03-25,137.07000732421875
2019-02-21,137.99000549316406
2018-12-19,137.41000366210938
2018-07-12,134.3800048828125
2018-09-14,136.11000061035156
2018-08-13,131.8800048828125
2018-10-16,130.60000610351562
2019-07-31,126.81999969482422
2019-05-28,127.94999694824219
2019-04-26,122.25
2020-04-28,122.26000213623047
2019-11-25,129.0500030517578
2020-02-12,127.77999877929688
2020-05-01,132.02000427246094
2020-05-04,132.05999755859375
2019-06-12,126.87000274658203
2019-04-09,122.44999694824219
2019-03-08,120.51000213623047
2019-02-04,118.77999877929688
2018-07-27,110.97000122070312
2018-08-28,120.69999694824219
2019-01-03,120.05999755859375
2019-08-15,111.72000122070312
2018-10-31,124.01000213623047
2019-09-16,128.8699951171875
2020-02-18,128.91000366210938
2020-05-07,128.3699951171875
2018-08-17,126.69999694824219
2019-12-04,123.68000030517578
