Dates,TTWO
2018-06-20,117.18000030517578
2018-06-21,115.83000183105469
2018-06-25,115.19999694824219
2018-06-22,113.79000091552734
2018-06-26,115.80000305175781
2018-06-27,113.94999694824219
2018-06-28,113.5199966430664
2018-06-29,118.2699966430664
2018-07-02,117.0
2018-07-03,117.7699966430664
2018-07-05,118.66000366210938
2018-07-16,120.54000091552734
2018-09-18,120.05999755859375
2019-01-24,119.30999755859375
2019-09-05,120.01000213623047
2018-11-21,123.2699966430664
2020-01-13,124.80999755859375
2020-04-01,125.66999816894531
2020-06-19,124.51000213623047
2019-10-29,125.8499984741211
2020-01-16,126.61000061035156
2020-06-22,126.08999633789062
2018-10-03,125.11000061035156
2018-07-31,123.41000366210938
2019-03-12,124.55000305175781
2019-02-08,124.88999938964844
2019-01-07,120.98999786376953
2018-12-06,112.55000305175781
2019-08-19,112.43000030517578
2019-07-18,111.91999816894531
2019-05-15,111.06999969482422
2019-09-20,122.08999633789062
2019-11-01,120.0
2020-04-07,119.86000061035156
2020-06-25,121.16000366210938
2020-06-16,123.86000061035156
2019-11-04,124.4000015258789
2020-01-22,127.91000366210938
2019-11-07,127.12999725341797
2020-04-13,124.44999694824219
2019-07-01,124.88999938964844
2019-05-30,123.5999984741211
2018-08-15,122.29000091552734
2018-10-18,124.37000274658203
2019-03-27,125.9000015258789
2019-01-22,128.13999938964844
2018-12-21,131.27000427246094
2019-09-03,132.74000549316406
2018-11-19,132.1199951171875
2019-08-02,134.77000427246094
2020-01-28,134.5399932861328
2020-04-16,130.50999450683594
2019-11-13,131.52999877929688
2020-01-31,127.56999969482422
2018-12-04,127.80999755859375
2018-11-02,128.67999267578125
2019-07-16,128.77000427246094
2018-08-30,128.52000427246094
2018-10-01,131.13999938964844
2019-06-14,133.16000366210938
2019-05-13,133.7100067138672
2019-04-11,131.00999450683594
2019-02-06,130.69000244140625
2019-09-18,128.92999267578125
2020-02-03,129.6699981689453
2020-04-22,131.0399932861328
2019-11-19,130.6300048828125
2020-02-06,134.52000427246094
2019-11-22,134.33999633789062
2019-03-25,134.66000366210938
2019-02-21,136.42999267578125
2018-12-19,135.5500030517578
2018-07-12,133.75
2018-09-14,133.91000366210938
2018-08-13,129.47000122070312
2018-10-16,128.60000610351562
2019-07-31,124.77999877929688
2019-05-28,124.37999725341797
2019-04-26,121.0999984741211
2020-04-28,120.80000305175781
2019-11-25,125.86000061035156
2020-02-12,124.4800033569336
2020-05-01,129.25
2020-05-04,130.39999389648438
2019-06-12,124.8499984741211
2019-04-09,122.02999877929688
2019-03-08,120.0199966430664
2019-02-04,115.80000305175781
2018-07-27,110.81999969482422
2018-08-28,116.30000305175781
2019-01-03,116.18000030517578
2019-08-15,109.33999633789062
2018-10-31,117.5199966430664
2019-09-16,124.13999938964844
2020-02-18,125.93000030517578
2020-05-07,126.66000366210938
2018-08-17,124.55000305175781
2019-12-04,121.88999938964844
2020-02-21,124.55000305175781
2018-12-17,117.80000305175781
2019-08-30,109.33999633789062
2018-11-15,105.58999633789062
2019-07-29,106.48999786376953
2019-06-27,104.66999816894531
2019-04-24,105.7300033569336
2018-07-10,110.66000366210938
2018-09-12,104.7699966430664
2019-02-19,97.56999969482422
2019-01-18,105.55999755859375
2020-02-24,104.9800033569336
2020-05-13,106.25
2019-12-10,108.25
2020-02-27,107.7699966430664
2019-12-13,109.16999816894531
2020-05-19,108.9000015258789
2019-03-06,100.95999908447266
2018-11-30,100.5
2019-08-13,98.0
2019-07-12,101.70999908447266
2019-06-10,102.11000061035156
2019-05-09,104.58000183105469
2018-07-25,103.4800033569336
2018-09-27,102.91000366210938
2018-10-29,102.23999786376953
2019-10-16,100.44000244140625
2019-12-16,102.51000213623047
2020-03-04,102.12000274658203
2020-05-22,100.56999969482422
2019-10-01,99.91000366210938
2019-12-19,98.5
2018-09-10,99.63999938964844
2019-05-24,101.16999816894531
2018-08-09,103.51000213623047
2019-04-22,101.95999908447266
2019-03-21,99.04000091552734
2019-01-16,99.11000061035156
2019-08-28,99.66000366210938
2018-11-13,99.29000091552734
