Dates,AJG
2018-06-20,63.00786590576172
2018-06-21,62.97901916503906
2018-06-25,64.15171813964844
2018-06-22,63.80567169189453
2018-06-26,63.469242095947266
2018-06-27,62.258113861083984
2018-06-28,62.594539642333984
2018-06-29,62.74833679199219
2018-07-02,62.7291145324707
2018-07-03,62.98863220214844
2018-07-05,63.52692413330078
2018-07-16,64.21898651123047
2018-09-18,65.52625274658203
2019-01-24,65.40129089355469
2019-09-05,65.54547882080078
2018-11-21,65.99725341796875
2020-01-13,66.18949890136719
2020-04-01,66.76622009277344
2020-06-19,66.9873046875
2019-10-29,67.7658920288086
2020-01-16,67.57364654541016
2020-06-22,67.66016387939453
2018-10-03,68.04463958740234
2018-07-31,67.77550506591797
2019-03-12,68.4002914428711
2019-02-08,68.43873596191406
2019-01-07,68.1407699584961
2018-12-06,68.38106536865234
2019-08-19,68.58293151855469
2019-07-18,68.57331085205078
2019-05-15,68.39067840576172
2019-09-20,68.68866729736328
2019-11-01,68.76555633544922
2020-04-07,68.81361389160156
2020-06-25,68.87128448486328
2020-06-16,68.59254455566406
2019-11-04,68.12154388427734
2020-01-22,67.69861602783203
2019-11-07,67.91968536376953
2020-04-13,68.36186218261719
2019-07-01,69.1212158203125
2019-05-30,69.4095687866211
2018-08-15,69.17887878417969
2018-10-18,69.55376434326172
2019-03-27,68.8905029296875
2019-01-22,68.96741485595703
2018-12-21,69.3519058227539
2019-09-03,69.49607849121094
2018-11-19,69.34229278564453
2019-08-02,69.47684478759766
2020-01-28,68.8905029296875
2020-04-16,69.34229278564453
2019-11-13,70.1593246459961
2020-01-31,70.67837524414062
2018-12-04,71.39366912841797
2018-11-02,71.29701232910156
2019-07-16,71.71265411376953
2018-08-30,71.65465545654297
2018-10-01,71.09403228759766
2019-06-14,72.1282958984375
2019-05-13,72.3892822265625
2019-04-11,72.61160278320312
2019-02-06,72.52460479736328
2019-09-18,73.20123291015625
2020-02-03,73.58787536621094
2020-04-22,73.3752212524414
2019-11-19,72.64059448242188
2020-02-06,72.06063842773438
2019-11-22,71.5483169555664
2019-03-25,71.96395874023438
2019-02-21,71.95429992675781
2018-12-19,72.65992736816406
2018-07-12,72.83391571044922
2018-09-14,72.6019287109375
2018-08-13,73.18190002441406
2018-10-16,72.35061645507812
2019-07-31,72.95957946777344
2019-05-28,72.89191436767578
2019-04-26,70.83303833007812
2020-04-28,68.90948486328125
2019-11-25,68.87081909179688
2020-02-12,68.42618560791016
2020-05-01,69.47977447509766
2020-05-04,69.70211029052734
2019-06-12,69.26714324951172
2019-04-09,70.24341583251953
2019-03-08,70.291748046875
2019-02-04,69.93408966064453
2018-07-27,68.96749114990234
2018-08-28,70.53338623046875
2019-01-03,71.5579833984375
2019-08-15,71.38399505615234
2018-10-31,71.82864379882812
2019-09-16,71.53866577148438
2020-02-18,72.10896301269531
2020-05-07,72.17662048339844
2018-08-17,72.98857879638672
2019-12-04,73.30755615234375
2020-02-21,74.39015197753906
2018-12-17,75.1731185913086
2019-08-30,75.44375610351562
2018-11-15,75.06678771972656
2019-07-29,74.91212463378906
2019-06-27,73.8681869506836
2019-04-24,74.78646087646484
2018-07-10,75.76274108886719
2018-09-12,75.70474243164062
2019-02-19,74.57382202148438
2019-01-18,73.90685272216797
2020-02-24,74.1098403930664
2020-05-13,74.29349517822266
2019-12-10,74.36115264892578
2020-02-27,75.48242950439453
2019-12-13,75.42442321777344
2020-05-19,74.4964828491211
2019-03-06,75.35676574707031
2018-11-30,73.56853485107422
2019-08-13,72.94654846191406
2019-07-12,72.42176818847656
2019-06-10,72.44120025634766
2019-05-09,72.81050109863281
2018-07-25,73.32557678222656
2018-09-27,73.2283935546875
2018-10-29,72.0913314819336
2019-10-16,70.37117767333984
2019-12-16,70.79878997802734
2020-03-04,71.25555419921875
2020-05-22,70.84738159179688
2019-10-01,69.05918884277344
2019-12-19,67.0474624633789
2018-09-10,69.3021469116211
2019-05-24,70.25456237792969
2018-08-09,70.47807312011719
2019-04-22,71.62484741210938
2019-03-21,69.86581420898438
2019-01-16,68.55384063720703
2019-08-28,70.2837142944336
2018-11-13,70.07962799072266
2018-10-12,70.39060974121094
2019-06-25,71.21668243408203
2020-03-10,71.61512756347656
2020-05-28,70.65300750732422
2019-10-07,70.61415100097656
2020-03-13,70.85710144042969
2019-10-10,71.64429473876953
2020-03-16,71.82894134521484
2020-06-03,72.31486511230469
2018-11-28,71.3138656616211
2018-09-25,71.62484741210938
2018-07-23,71.44020080566406
2018-08-24,71.43048858642578
2019-07-10,70.92513275146484
2019-05-07,69.89496612548828
2019-04-05,70.83766174316406
2019-03-04,72.60641479492188
2019-01-31,74.71531677246094
2019-09-12,75.04573822021484
2019-12-31,76.25082397460938
2020-03-19,76.19252014160156
2020-01-03,75.79405975341797
2020-06-09,76.61040496826172
2019-02-15,77.64055633544922
2019-01-14,77.44619750976562
2018-07-06,77.3004150390625
2018-08-07,76.65900421142578
2018-10-10,77.59196472167969
2018-12-13,78.1070556640625
2019-08-26,78.22367858886719
2019-07-25,78.36945343017578
2019-05-22,78.33056640625
2019-03-19,78.07788848876953
2020-01-06,77.64055633544922
2020-03-25,78.25282287597656
2020-06-12,78.43846130371094
2019-10-22,78.47754669189453
2020-01-09,77.7936019897461
2020-06-15,78.16488647460938
2019-10-25,77.0705795288086
2020-03-31,76.44526672363281
2020-06-18,76.12284088134766
2019-04-03,77.22691345214844
2018-08-22,77.2562255859375
2018-10-25,77.24645233154297
2019-01-29,77.76428985595703
2018-12-28,78.43846130371094
2018-11-26,77.70565795898438
2019-08-09,77.41255950927734
2019-07-08,76.03490447998047
2019-06-06,77.09012603759766
2019-09-10,77.0705795288086
2020-01-15,76.79700469970703
2020-04-03,76.88494873046875
2019-10-31,76.42572784423828
2020-04-06,75.3607177734375
2020-06-24,76.3084716796875
2018-11-09,77.21714782714844
2019-07-23,76.76769256591797
