Dates,SPGI
2018-06-20,206.14999389648438
2018-06-21,205.22000122070312
2018-06-25,206.07000732421875
2018-06-22,201.86000061035156
2018-06-26,202.9199981689453
2018-06-27,201.7100067138672
2018-06-28,201.33999633789062
2018-06-29,203.6699981689453
2018-07-02,202.0399932861328
2018-07-03,202.63999938964844
2018-07-05,203.17999267578125
2018-07-16,204.19000244140625
2018-09-18,206.42999267578125
2019-01-24,208.66000366210938
2019-09-05,208.99000549316406
2018-11-21,209.47999572753906
2020-01-13,209.63999938964844
2020-04-01,210.61000061035156
2020-06-19,209.52999877929688
2019-10-29,213.19000244140625
2020-01-16,211.1300048828125
2020-06-22,209.50999450683594
2018-10-03,212.3000030517578
2018-07-31,212.8699951171875
2019-03-12,212.4199981689453
2019-02-08,211.3800048828125
2019-01-07,202.49000549316406
2018-12-06,200.2899932861328
2019-08-19,199.52999877929688
2019-07-18,197.6300048828125
2019-05-15,196.02999877929688
2019-09-20,196.2100067138672
2019-11-01,197.69000244140625
2020-04-07,199.05999755859375
2020-06-25,200.80999755859375
2020-06-16,200.8699951171875
2019-11-04,199.75
2020-01-22,200.38999938964844
2019-11-07,201.75999450683594
2020-04-13,200.3699951171875
2019-07-01,202.22999572753906
2019-05-30,202.02999877929688
2018-08-15,203.17999267578125
2018-10-18,203.86000061035156
2019-03-27,202.83999633789062
2019-01-22,202.58999633789062
2018-12-21,202.4600067138672
2019-09-03,203.3000030517578
2018-11-19,202.85000610351562
2019-08-02,202.25
2020-01-28,205.42999267578125
2020-04-16,205.11000061035156
2019-11-13,206.3300018310547
2020-01-31,204.6699981689453
2018-12-04,205.05999755859375
2018-11-02,206.30999755859375
2019-07-16,206.36000061035156
2018-08-30,207.7100067138672
2018-10-01,208.8300018310547
2019-06-14,209.8800048828125
2019-05-13,211.86000061035156
2019-04-11,211.08999633789062
2019-02-06,209.77999877929688
2019-09-18,212.00999450683594
2020-02-03,211.6199951171875
2020-04-22,210.38999938964844
2019-11-19,209.0800018310547
2020-02-06,206.3800048828125
2019-11-22,204.74000549316406
2019-03-25,203.8699951171875
2019-02-21,195.33999633789062
2018-12-19,196.30999755859375
2018-07-12,196.3300018310547
2018-09-14,195.69000244140625
2018-08-13,192.2899932861328
2018-10-16,191.74000549316406
2019-07-31,187.91000366210938
2019-05-28,187.50999450683594
2019-04-26,182.1699981689453
2020-04-28,178.86000061035156
2019-11-25,183.0800018310547
2020-02-12,183.5500030517578
2020-05-01,184.9600067138672
2020-05-04,188.13999938964844
2019-06-12,186.5399932861328
2019-04-09,187.1300048828125
2019-03-08,187.5500030517578
2019-02-04,181.3000030517578
2018-07-27,176.9199981689453
2018-08-28,170.75
2019-01-03,166.11000061035156
2019-08-15,170.2899932861328
2018-10-31,172.60000610351562
2019-09-16,178.4499969482422
2020-02-18,181.19000244140625
2020-05-07,181.50999450683594
2018-08-17,181.85000610351562
2019-12-04,182.47999572753906
2020-02-21,184.8699951171875
2018-12-17,185.17999267578125
2019-08-30,184.2100067138672
2018-11-15,182.00999450683594
2019-07-29,179.3000030517578
2019-06-27,177.32000732421875
2019-04-24,176.6999969482422
2018-07-10,179.75999450683594
2018-09-12,176.88999938964844
2019-02-19,173.1199951171875
2019-01-18,176.6199951171875
2020-02-24,174.75
2020-05-13,175.17999267578125
2019-12-10,174.8300018310547
2020-02-27,176.67999267578125
2019-12-13,180.25
2020-05-19,179.6999969482422
2019-03-06,183.3000030517578
2018-11-30,177.3800048828125
2019-08-13,170.85000610351562
2019-07-12,168.19000244140625
2019-06-10,166.0500030517578
2019-05-09,166.22999572753906
2018-07-25,168.52000427246094
2018-09-27,169.0500030517578
2018-10-29,166.27999877929688
2019-10-16,165.13999938964844
2019-12-16,166.1699981689453
2020-03-04,164.9199981689453
2020-05-22,164.49000549316406
2019-10-01,161.60000610351562
2019-12-19,158.47999572753906
2018-09-10,156.67999267578125
2019-05-24,161.97000122070312
2018-08-09,166.4199981689453
2019-04-22,168.41000366210938
2019-03-21,167.0
2019-01-16,163.99000549316406
2019-08-28,166.63999938964844
2018-11-13,171.91000366210938
2018-10-12,173.0500030517578
2019-06-25,173.27999877929688
2020-03-10,172.89999389648438
2020-05-28,175.1699981689453
2019-10-07,174.00999450683594
2020-03-13,176.1199951171875
2019-10-10,182.0
2020-03-16,183.35000610351562
2020-06-03,185.61000061035156
2018-11-28,186.25999450683594
2018-09-25,186.75999450683594
2018-07-23,187.22000122070312
2018-08-24,188.52000427246094
2019-07-10,185.0800018310547
2019-05-07,185.75999450683594
2019-04-05,185.58999633789062
2019-03-04,187.52000427246094
2019-01-31,191.16000366210938
2019-09-12,192.11000061035156
2019-12-31,193.89999389648438
2020-03-19,192.85000610351562
2020-01-03,187.30999755859375
2020-06-09,189.2100067138672
2019-02-15,192.83999633789062
2019-01-14,194.67999267578125
2018-07-06,195.3300018310547
2018-08-07,194.80999755859375
2018-10-10,196.61000061035156
2018-12-13,197.35000610351562
2019-08-26,197.1199951171875
2019-07-25,197.0
2019-05-22,198.89999389648438
2019-03-19,201.5399932861328
2020-01-06,201.02000427246094
2020-03-25,200.24000549316406
2020-06-12,200.2100067138672
2019-10-22,201.3800048828125
2020-01-09,198.3800048828125
2020-06-15,197.88999938964844
2019-10-25,196.11000061035156
2020-03-31,194.9499969482422
2020-06-18,194.99000549316406
2019-04-03,196.6300048828125
2018-08-22,197.17999267578125
2018-10-25,196.61000061035156
2019-01-29,198.97999572753906
2018-12-28,200.38999938964844
2018-11-26,203.44000244140625
2019-08-09,206.32000732421875
2019-07-08,204.74000549316406
2019-06-06,204.52000427246094
2019-09-10,205.22000122070312
2020-01-15,203.86000061035156
2020-04-03,204.6300048828125
2019-10-31,204.24000549316406
2020-04-06,205.5
2020-06-24,208.0800018310547
2018-11-09,211.3300018310547
2019-07-23,210.16000366210938
2019-06-21,213.0
2019-05-20,212.4600067138672
2019-04-18,213.07000732421875
2018-09-06,212.6999969482422
2018-10-08,212.00999450683594
2019-02-13,212.42999267578125
2018-12-11,212.64999389648438
2019-09-25,213.22000122070312
2020-01-21,214.57000732421875
2020-04-09,216.72000122070312
2019-11-06,214.3000030517578
2020-01-24,214.0800018310547
2020-01-27,216.05999755859375
2020-04-15,215.89999389648438
2018-12-26,216.17999267578125
2019-08-07,216.67999267578125
2019-06-04,217.5399932861328
2018-09-21,219.47000122070312
2018-07-19,218.69000244140625
2018-08-20,219.3000030517578
2018-10-23,212.74000549316406
2019-05-03,215.4199981689453
2019-04-01,213.58999633789062
2019-02-28,212.58999633789062
2019-11-12,213.35000610351562
2020-01-30,210.5
2019-11-15,209.41000366210938
2020-04-21,205.92999267578125
2019-04-16,209.27000427246094
2019-03-15,209.85000610351562
2019-02-11,208.72000122070312
2019-01-10,212.50999450683594
2019-08-22,210.60000610351562
2018-11-07,213.74000549316406
2018-08-03,216.7100067138672
2018-09-04,212.57000732421875
2019-06-19,211.88999938964844
2019-09-23,214.11000061035156
2019-11-18,214.19000244140625
2020-02-05,216.2100067138672
2020-04-24,213.2899932861328
2019-03-29,211.35000610351562
2019-11-21,210.49000549316406
2020-04-27,216.1699981689453
2020-02-11,220.3699951171875
2020-04-30,222.0399932861328
2019-05-01,225.0500030517578
2019-02-26,221.3699951171875
2019-01-25,222.1199951171875
2018-12-24,222.8800048828125
2019-09-06,222.22000122070312
2018-07-17,223.9499969482422
2018-09-19,225.0
2019-08-05,226.3699951171875
2019-10-08,230.3800048828125
2019-12-11,228.5800018310547
2019-11-27,228.47999572753906
2020-02-14,227.88999938964844
2020-05-06,225.3800048828125
2019-01-08,225.67999267578125
2018-12-07,227.07000732421875
2019-08-20,229.77000427246094
2018-11-05,231.97000122070312
2019-07-19,234.77999877929688
2018-10-04,234.74000549316406
2019-06-17,231.02000427246094
2019-05-16,229.7899932861328
2018-08-01,233.2100067138672
2019-03-13,234.5
2019-12-03,238.00999450683594
2020-02-20,239.75999450683594
2019-12-06,239.05999755859375
2020-05-12,239.7100067138672
2019-12-09,239.86000061035156
2020-02-26,239.61000061035156
2020-05-15,239.7100067138672
2019-03-28,240.52999877929688
2018-09-17,238.86000061035156
2018-08-16,240.75999450683594
2018-10-19,242.52000427246094
2019-04-29,242.97999572753906
2019-01-23,241.14999389648438
2019-09-04,242.0500030517578
2018-11-20,252.2100067138672
2019-07-02,252.67999267578125
2019-05-31,242.24000549316406
2019-12-12,242.52999877929688
2020-05-18,241.85000610351562
2019-09-27,251.14999389648438
2020-03-03,253.16000366210938
2020-05-21,251.60000610351562
2019-05-14,252.49000549316406
2018-08-31,247.88999938964844
2018-07-30,248.8800048828125
2018-10-02,254.0
2019-04-12,258.3599853515625
2019-03-11,259.0
2019-02-07,262.260009765625
2019-07-17,260.8699951171875
2019-09-19,255.44000244140625
2019-10-21,255.36000061035156
2019-12-18,255.8000030517578
2020-03-06,254.33999633789062
2019-10-03,259.4800109863281
2020-03-09,259.5799865722656
2020-05-27,258.1300048828125
2019-12-24,256.9100036621094
2020-03-12,260.6700134277344
2018-12-20,264.9599914550781
2019-08-01,259.5799865722656
2018-08-14,250.85000610351562
2018-07-13,249.2100067138672
2018-10-17,251.14999389648438
2019-05-29,249.05999755859375
2019-03-26,247.61000061035156
2019-02-22,249.75999450683594
2019-10-04,250.75
2019-11-05,254.97999572753906
2019-12-27,252.08999633789062
2020-06-02,251.86000061035156
2019-12-30,250.66000366210938
2020-03-18,250.42999267578125
2020-06-05,253.05999755859375
2019-07-15,243.0399932861328
2018-12-03,244.27999877929688
2019-06-13,242.05999755859375
2019-01-04,235.75
2018-08-29,233.49000549316406
2019-02-05,240.5800018310547
2018-11-01,243.39999389648438
2019-08-16,239.63999938964844
2019-04-10,244.0
2019-09-17,247.77000427246094
2019-10-15,252.64999389648438
2020-01-02,251.1199951171875
2020-06-08,252.52000427246094
2019-10-18,248.3800048828125
2020-03-24,252.36000061035156
2020-06-11,249.0800018310547
2020-01-08,249.25
2019-04-25,245.9600067138672
2019-07-30,241.35000610351562
2019-02-20,244.02000427246094
2018-07-11,247.7899932861328
2018-09-13,246.89999389648438
2018-10-15,252.10000610351562
2019-06-28,251.0
2018-12-18,254.55999755859375
2018-11-16,257.8699951171875
2019-10-02,255.3300018310547
2020-03-27,249.0800018310547
2020-01-10,250.42999267578125
2019-10-24,252.22000122070312
2020-03-30,253.32000732421875
2020-06-17,252.3699951171875
2020-01-14,254.4199981689453
2020-04-02,254.57000732421875
2019-01-02,257.2300109863281
2019-08-14,259.8299865722656
2018-10-30,262.1099853515625
2019-06-11,265.5199890136719
2019-05-10,266.69000244140625
2019-04-08,263.8399963378906
2018-08-27,263.8999938964844
2018-07-26,264.75
2018-09-28,265.05999755859375
2019-03-07,262.5400085449219
2019-10-30,264.0799865722656
2020-01-17,261.3599853515625
2020-06-23,259.45001220703125
2020-04-08,263.3500061035156
2020-06-26,268.739990234375
2019-03-22,272.010009765625
2019-01-17,271.9200134277344
2019-08-29,270.80999755859375
2018-11-14,271.2099914550781
2019-06-26,270.20001220703125
2018-09-11,268.19000244140625
2018-07-09,271.25
2018-08-10,271.55999755859375
2019-04-23,268.8999938964844
2019-09-30,268.7799987792969
2020-01-23,270.5
2019-11-08,270.8999938964844
2020-04-14,271.04998779296875
2019-11-11,272.42999267578125
2020-01-29,272.3900146484375
2020-04-17,271.010009765625
2018-07-24,270.8500061035156
2018-09-26,273.7200012207031
2019-05-08,274.0299987792969
2019-03-05,274.7699890136719
2019-02-01,280.9700012207031
2018-12-31,281.1300048828125
2018-11-29,285.67999267578125
2019-08-12,288.0899963378906
2019-07-11,288.44000244140625
2019-09-13,289.8999938964844
2019-11-14,290.0
2020-04-20,294.0199890136719
2020-02-04,295.4100036621094
2020-04-23,294.010009765625
2018-12-14,296.8800048828125
2019-08-27,294.3900146484375
2018-08-08,293.32000732421875
2018-10-11,290.010009765625
2018-11-12,293.3999938964844
2019-07-26,297.010009765625
2019-06-24,295.2900085449219
2019-05-23,292.6700134277344
2019-03-20,294.2799987792969
2019-01-15,297.80999755859375
2019-11-20,291.6600036621094
2020-02-07,292.2699890136719
2020-02-10,294.739990234375
2020-04-29,293.739990234375
2019-11-26,292.5799865722656
2020-02-13,294.67999267578125
2019-01-30,297.6000061035156
2018-08-23,300.54998779296875
2018-09-24,304.2799987792969
2018-11-27,307.17999267578125
2018-10-26,300.5199890136719
2019-07-09,291.6499938964844
2019-06-07,283.32000732421875
2019-05-06,280.95001220703125
2019-04-04,281.3500061035156
2019-09-11,267.1499938964844
2019-11-29,257.0
2020-05-05,269.2200012207031
