Dates,ZTS
2018-06-20,87.0
2018-06-21,87.0199966430664
2018-06-25,85.81999969482422
2018-06-22,84.69999694824219
2018-06-26,84.01000213623047
2018-06-27,83.36000061035156
2018-06-28,84.83000183105469
2018-06-29,85.19000244140625
2018-07-02,85.6500015258789
2018-07-03,86.06999969482422
2018-07-05,86.1500015258789
2018-07-16,86.86000061035156
2018-09-18,87.48999786376953
2019-01-24,86.22000122070312
2019-09-05,84.5
2018-11-21,85.47000122070312
2020-01-13,86.13999938964844
2020-04-01,84.58000183105469
2020-06-19,85.7699966430664
2019-10-29,85.94999694824219
2020-01-16,85.41999816894531
2020-06-22,85.29000091552734
2018-10-03,83.95999908447266
2018-07-31,83.5
2019-03-12,85.63999938964844
2019-02-08,85.54000091552734
2019-01-07,85.19999694824219
2018-12-06,84.48999786376953
2019-08-19,86.4800033569336
2019-07-18,86.0199966430664
2019-05-15,91.43000030517578
2019-09-20,91.62999725341797
2019-11-01,92.58000183105469
2020-04-07,92.48999786376953
2020-06-25,93.2300033569336
2020-06-16,92.4000015258789
2019-11-04,91.69999694824219
2020-01-22,91.26000213623047
2019-11-07,91.37000274658203
2020-04-13,90.8499984741211
2019-07-01,91.54000091552734
2019-05-30,91.47000122070312
2018-08-15,92.16000366210938
2018-10-18,92.08999633789062
2019-03-27,89.66999816894531
2019-01-22,89.66999816894531
2018-12-21,89.5999984741211
2019-09-03,89.37999725341797
2018-11-19,89.55000305175781
2019-08-02,89.83000183105469
2020-01-28,89.80999755859375
2020-04-16,90.5999984741211
2019-11-13,89.97000122070312
2020-01-31,89.05999755859375
2018-12-04,89.73999786376953
2018-11-02,89.43000030517578
2019-07-16,88.87000274658203
2018-08-30,88.23999786376953
2018-10-01,88.79000091552734
2019-06-14,89.69999694824219
2019-05-13,89.01000213623047
2019-04-11,88.30000305175781
2019-02-06,89.18000030517578
2019-09-18,89.08000183105469
2020-02-03,90.05999755859375
2020-04-22,89.83000183105469
2019-11-19,89.6500015258789
2020-02-06,90.26000213623047
2019-11-22,90.36000061035156
2019-03-25,91.19999694824219
2019-02-21,91.55999755859375
2018-12-19,91.66000366210938
2018-07-12,91.83000183105469
2018-09-14,93.52999877929688
2018-08-13,91.06999969482422
2018-10-16,91.94999694824219
2019-07-31,91.47000122070312
2019-05-28,92.55000305175781
2019-04-26,89.62999725341797
