Dates,ZTS
2018-06-20,87.56999969482422
2018-06-21,87.80000305175781
2018-06-25,87.55999755859375
2018-06-22,86.3499984741211
2018-06-26,85.19000244140625
2018-06-27,85.25
2018-06-28,85.27999877929688
2018-06-29,86.41000366210938
2018-07-02,85.66999816894531
2018-07-03,86.95999908447266
2018-07-05,86.79000091552734
2018-07-16,87.0999984741211
2018-09-18,87.70999908447266
2019-01-24,87.33999633789062
2019-09-05,86.16000366210938
2018-11-21,85.70999908447266
2020-01-13,86.29000091552734
2020-04-01,86.30999755859375
2020-06-19,86.06999969482422
2019-10-29,86.08000183105469
2020-01-16,85.62000274658203
2020-06-22,85.91000366210938
2018-10-03,85.16000366210938
2018-07-31,84.98999786376953
2019-03-12,85.77999877929688
2019-02-08,86.1500015258789
2019-01-07,85.6500015258789
2018-12-06,85.4000015258789
2019-08-19,86.75
2019-07-18,87.16999816894531
2019-05-15,91.80000305175781
2019-09-20,91.98999786376953
2019-11-01,92.8499984741211
2020-04-07,93.02999877929688
2020-06-25,93.56999969482422
2020-06-16,93.66999816894531
2019-11-04,92.70999908447266
2020-01-22,92.44999694824219
2019-11-07,91.9000015258789
2020-04-13,91.27999877929688
2019-07-01,92.08999633789062
2019-05-30,91.79000091552734
2018-08-15,92.58999633789062
2018-10-18,92.97000122070312
2019-03-27,90.41000366210938
2019-01-22,90.19999694824219
2018-12-21,90.19999694824219
2019-09-03,90.02999877929688
2018-11-19,89.58000183105469
2019-08-02,90.0999984741211
2020-01-28,90.51000213623047
2020-04-16,90.7699966430664
2019-11-13,91.20999908447266
2020-01-31,89.7699966430664
2018-12-04,89.97000122070312
2018-11-02,89.66000366210938
2019-07-16,90.05999755859375
2018-08-30,88.87999725341797
2018-10-01,89.0199966430664
2019-06-14,89.88999938964844
2019-05-13,89.72000122070312
2019-04-11,89.27999877929688
2019-02-06,89.48999786376953
2019-09-18,89.69000244140625
2020-02-03,90.5
2020-04-22,90.93000030517578
2019-11-19,89.97000122070312
2020-02-06,90.87000274658203
2019-11-22,91.33000183105469
2019-03-25,91.5
2019-02-21,91.79000091552734
2018-12-19,92.06999969482422
2018-07-12,92.08999633789062
2018-09-14,94.30999755859375
2018-08-13,93.5
2018-10-16,92.94000244140625
2019-07-31,92.5
2019-05-28,93.02999877929688
2019-04-26,92.81999969482422
2020-04-28,90.16000366210938
2019-11-25,89.2699966430664
2020-02-12,90.9800033569336
2020-05-01,91.95999908447266
2020-05-04,92.9800033569336
2019-06-12,92.94000244140625
2019-04-09,92.68000030517578
2019-03-08,92.93000030517578
2019-02-04,92.37999725341797
2018-07-27,92.41000366210938
2018-08-28,91.12000274658203
2019-01-03,90.05999755859375
2019-08-15,91.2699966430664
2018-10-31,91.05000305175781
2019-09-16,91.48999786376953
2020-02-18,96.56999969482422
2020-05-07,95.30000305175781
2018-08-17,93.2699966430664
2019-12-04,93.0
2020-02-21,95.45999908447266
2018-12-17,95.9000015258789
2019-08-30,95.51000213623047
2018-11-15,95.56999969482422
2019-07-29,95.58999633789062
2019-06-27,94.98999786376953
2019-04-24,92.19000244140625
2018-07-10,92.66000366210938
2018-09-12,92.69999694824219
2019-02-19,90.08999633789062
2019-01-18,89.33999633789062
2020-02-24,90.23999786376953
2020-05-13,90.2699966430664
2019-12-10,90.29000091552734
2020-02-27,92.97000122070312
2019-12-13,93.3499984741211
2020-05-19,94.16999816894531
2019-03-06,94.66999816894531
2018-11-30,94.48999786376953
2019-08-13,90.5
2019-07-12,90.58000183105469
2019-06-10,89.37000274658203
2019-05-09,90.55000305175781
2018-07-25,92.05000305175781
2018-09-27,92.0
2018-10-29,90.08999633789062
2019-10-16,87.61000061035156
2019-12-16,86.0
2020-03-04,86.37000274658203
2020-05-22,83.70999908447266
2019-10-01,83.80999755859375
2019-12-19,80.91000366210938
2018-09-10,82.94000244140625
2019-05-24,84.33000183105469
2018-08-09,85.58999633789062
2019-04-22,85.58999633789062
2019-03-21,85.08000183105469
2019-01-16,84.23999786376953
2019-08-28,84.87000274658203
2018-11-13,86.56999969482422
2018-10-12,86.55000305175781
2019-06-25,87.25
2020-03-10,86.22000122070312
2020-05-28,86.08999633789062
2019-10-07,85.69999694824219
2020-03-13,85.62999725341797
2019-10-10,84.9800033569336
2020-03-16,84.56999969482422
2020-06-03,85.1500015258789
2018-11-28,84.62999725341797
2018-09-25,84.7699966430664
2018-07-23,83.93000030517578
2018-08-24,85.16999816894531
2019-07-10,83.95999908447266
2019-05-07,84.5999984741211
