Dates,ZTS
2018-11-28,2782900.0
2018-09-25,2073800.0
2018-07-23,2883600.0
2018-08-24,4021400.0
2019-07-10,2471800.0
2019-05-07,1842100.0
2019-04-05,2097300.0
2019-03-04,2620000.0
2019-01-31,2111900.0
2019-09-12,1977000.0
2019-12-31,3263200.0
2020-03-19,1968900.0
2020-01-03,1594400.0
2020-06-09,2082700.0
2019-02-15,3361100.0
2019-01-14,2626400.0
2018-07-06,3698700.0
2018-08-07,5438200.0
2018-10-10,3308200.0
2018-12-13,2251400.0
2019-08-26,2165700.0
2019-07-25,1903700.0
2019-05-22,1851900.0
2019-03-19,1295500.0
2020-01-06,1829400.0
2020-03-25,1535100.0
2020-06-12,2253400.0
2019-10-22,2069300.0
2020-01-09,2749600.0
2020-06-15,2541000.0
2019-10-25,2113000.0
2020-03-31,4092500.0
2020-06-18,2412800.0
2019-04-03,2902100.0
2018-08-22,2433700.0
2018-10-25,2665100.0
2019-01-29,1751500.0
2018-12-28,2904400.0
2018-11-26,2144100.0
2019-08-09,1903400.0
2019-07-08,1592000.0
2019-06-06,1658900.0
2019-09-10,1489200.0
2020-01-15,1402400.0
2020-04-03,1795400.0
2019-10-31,1487300.0
2020-04-06,2278700.0
2020-06-24,2323000.0
2018-11-09,2659700.0
2019-07-23,1737900.0
2019-06-21,1769100.0
2019-05-20,2475500.0
2019-04-18,1865700.0
2018-09-06,1909500.0
2018-10-08,1657100.0
2019-02-13,1566700.0
2018-12-11,1062700.0
2019-09-25,1829000.0
2020-01-21,1680400.0
2020-04-09,2014200.0
2019-11-06,2142500.0
2020-01-24,3420400.0
2020-01-27,2058500.0
2020-04-15,2716900.0
2018-12-26,2196400.0
2019-08-07,1494200.0
2019-06-04,2035400.0
2018-09-21,3445100.0
2018-07-19,2356400.0
2018-08-20,2095100.0
2018-10-23,2003600.0
2019-05-03,1965200.0
2019-04-01,1301000.0
2019-02-28,1673400.0
2019-11-12,1367600.0
2020-01-30,1517100.0
2019-11-15,1885800.0
2020-04-21,1754400.0
2019-04-16,1711700.0
2019-03-15,1459500.0
2019-02-11,1929800.0
2019-01-10,2042100.0
2019-08-22,1665000.0
2018-11-07,1166700.0
2018-08-03,1059200.0
2018-09-04,1726200.0
2019-06-19,1266700.0
2019-09-23,4303700.0
2019-11-18,1883100.0
2020-02-05,1281800.0
2020-04-24,1642100.0
2019-03-29,3397100.0
2019-11-21,3712100.0
2020-04-27,3224100.0
2020-02-11,3123400.0
2020-04-30,1964800.0
2019-05-01,2730000.0
2019-02-26,1706300.0
2019-01-25,1907300.0
2018-12-24,1790000.0
2019-09-06,1790100.0
2018-07-17,1726700.0
2018-09-19,2572900.0
2019-08-05,2026700.0
