Dates,PEN
2018-06-20,152.60000610351562
2018-06-21,149.3000030517578
2018-06-25,147.25
2018-06-22,144.5
2018-06-26,145.25
2018-06-27,141.89999389648438
2018-06-28,134.75
2018-06-29,137.14999389648438
2018-07-02,136.8000030517578
2018-07-03,136.8000030517578
2018-07-05,139.4499969482422
2018-07-16,141.4499969482422
2018-09-18,139.60000610351562
2019-01-24,139.6999969482422
2019-09-05,138.39999389648438
2018-11-21,138.5
2020-01-13,134.4499969482422
2020-04-01,133.9499969482422
2020-06-19,135.5
2019-10-29,138.0
2020-01-16,138.60000610351562
2020-06-22,137.0
2018-10-03,136.14999389648438
2018-07-31,137.35000610351562
2019-03-12,138.3000030517578
2019-02-08,142.3000030517578
2019-01-07,138.25
2018-12-06,135.39999389648438
2019-08-19,138.35000610351562
2019-07-18,141.64999389648438
2019-05-15,142.35000610351562
2019-09-20,142.25
2019-11-01,145.14999389648438
2020-04-07,145.35000610351562
2020-06-25,120.19999694824219
2020-06-16,122.0999984741211
2019-11-04,123.75
2020-01-22,121.05000305175781
2019-11-07,120.25
2020-04-13,118.5999984741211
2019-07-01,123.57499694824219
2019-05-30,125.30000305175781
2018-08-15,122.44999694824219
2018-10-18,124.5999984741211
2019-03-27,126.1500015258789
2019-01-22,128.39999389648438
2018-12-21,127.0999984741211
2019-09-03,128.89999389648438
2018-11-19,129.25
2019-08-02,131.1999969482422
2020-01-28,132.89999389648438
2020-04-16,134.85000610351562
2019-11-13,136.8000030517578
2020-01-31,133.10000610351562
2018-12-04,138.9499969482422
2018-11-02,141.85000610351562
2019-07-16,141.89999389648438
2018-08-30,141.3000030517578
2018-10-01,148.0500030517578
2019-06-14,153.60000610351562
2019-05-13,154.3000030517578
2019-04-11,151.5500030517578
2019-02-06,151.5500030517578
2019-09-18,148.3000030517578
2020-02-03,149.9499969482422
2020-04-22,148.75
2019-11-19,148.5749969482422
2020-02-06,151.4250030517578
2019-11-22,153.2050018310547
2019-03-25,147.5
2019-02-21,148.39999389648438
2018-12-19,146.77000427246094
2018-07-12,141.5500030517578
2018-09-14,140.47000122070312
2018-08-13,136.3800048828125
2018-10-16,130.89999389648438
2019-07-31,131.07000732421875
2019-05-28,132.39999389648438
2019-04-26,130.27000427246094
2020-04-28,129.1999969482422
2019-11-25,134.11500549316406
2020-02-12,133.88999938964844
2020-05-01,136.4199981689453
2020-05-04,140.2100067138672
2019-06-12,139.72000122070312
2019-04-09,136.00999450683594
2019-03-08,134.3000030517578
2019-02-04,133.38999938964844
2018-07-27,137.27999877929688
2018-08-28,132.63999938964844
2019-01-03,135.0500030517578
2019-08-15,135.51499938964844
2018-10-31,135.4199981689453
2019-09-16,134.8000030517578
2020-02-18,137.00999450683594
2020-05-07,137.55999755859375
2018-08-17,135.7449951171875
2019-12-04,138.5
2020-02-21,147.1199951171875
2018-12-17,153.19000244140625
2019-08-30,147.11000061035156
2018-11-15,136.74000549316406
2019-07-29,133.60000610351562
2019-06-27,129.3300018310547
2019-04-24,129.0399932861328
2018-07-10,131.88999938964844
2018-09-12,121.83999633789062
2019-02-19,120.12000274658203
2019-01-18,121.05999755859375
2020-02-24,124.2699966430664
2020-05-13,125.4000015258789
2019-12-10,127.5
2020-02-27,128.2100067138672
2019-12-13,132.27999877929688
2020-05-19,136.8699951171875
2019-03-06,139.25
2018-11-30,138.69500732421875
2019-08-13,131.39999389648438
2019-07-12,129.8000030517578
2019-06-10,128.6999969482422
2019-05-09,125.2699966430664
2018-07-25,126.79000091552734
2018-09-27,125.08999633789062
2018-10-29,123.6500015258789
2019-10-16,118.25
2019-12-16,118.47000122070312
2020-03-04,117.27999877929688
2020-05-22,115.01000213623047
2019-10-01,113.5
2019-12-19,110.83999633789062
2018-09-10,114.36000061035156
2019-05-24,120.44000244140625
2018-08-09,123.62000274658203
2019-04-22,120.83000183105469
2019-03-21,119.63999938964844
2019-01-16,115.55000305175781
2019-08-28,116.5999984741211
2018-11-13,119.51000213623047
2018-10-12,120.65499877929688
2019-06-25,122.12000274658203
2020-03-10,121.83999633789062
2020-05-28,126.25
2019-10-07,123.01000213623047
2020-03-13,127.19999694824219
2019-10-10,133.25
2020-03-16,135.0
2020-06-03,137.52000427246094
2018-11-28,139.5399932861328
2018-09-25,137.1300048828125
2018-07-23,136.77999877929688
2018-08-24,138.89999389648438
2019-07-10,137.02999877929688
2019-05-07,135.3300018310547
2019-04-05,138.25999450683594
2019-03-04,141.07000732421875
2019-01-31,143.49000549316406
2019-09-12,143.52999877929688
2019-12-31,147.5399932861328
2020-03-19,146.1699981689453
2020-01-03,147.49000549316406
2020-06-09,144.74000549316406
2019-02-15,146.72000122070312
2019-01-14,150.14999389648438
2018-07-06,152.0500030517578
2018-08-07,152.7209930419922
2018-10-10,154.0800018310547
2018-12-13,149.58999633789062
2019-08-26,148.77999877929688
2019-07-25,145.33999633789062
2019-05-22,145.5500030517578
2019-03-19,145.94000244140625
2020-01-06,145.39500427246094
2020-03-25,124.81500244140625
2020-06-12,131.05999755859375
2019-10-22,134.29299926757812
2020-01-09,138.5
2020-06-15,137.6300048828125
2019-10-25,138.85000610351562
2020-03-31,138.07000732421875
2020-06-18,134.13999938964844
2019-04-03,137.77000427246094
2018-08-22,139.82000732421875
2018-10-25,144.77999877929688
2019-01-29,146.6199951171875
2018-12-28,150.3000030517578
2018-11-26,149.5500030517578
2019-08-09,150.52999877929688
2019-07-08,154.27000427246094
2019-06-06,156.97000122070312
2019-09-10,157.8300018310547
2020-01-15,154.22000122070312
2020-04-03,154.77000427246094
2019-10-31,148.2899932861328
2020-04-06,144.44000244140625
2020-06-24,146.1699981689453
2018-11-09,140.90499877929688
2019-07-23,141.99000549316406
2019-06-21,140.48500061035156
2019-05-20,139.05999755859375
2019-04-18,139.44500732421875
2018-09-06,139.52000427246094
2018-10-08,140.2100067138672
2019-02-13,139.26499938964844
2018-12-11,140.86000061035156
2019-09-25,137.4199981689453
2020-01-21,136.8300018310547
2020-04-09,132.9510040283203
2019-11-06,122.4000015258789
2020-01-24,124.25800323486328
2020-01-27,126.76000213623047
2020-04-15,128.92999267578125
2018-12-26,130.22999572753906
2019-08-07,131.27000427246094
2019-06-04,136.0399932861328
2018-09-21,133.89999389648438
2018-07-19,134.33999633789062
2018-08-20,126.75
2018-10-23,127.23999786376953
2019-05-03,130.58999633789062
2019-04-01,127.44999694824219
2019-02-28,126.73999786376953
2019-11-12,131.0
2020-01-30,131.5
2019-11-15,127.4800033569336
