Dates,PEN
2018-06-20,417300.0
2018-06-21,342500.0
2018-06-25,2245000.0
2018-06-22,276700.0
2018-06-26,567900.0
2018-06-27,381100.0
2018-06-28,787500.0
2018-06-29,525100.0
2018-07-02,602100.0
2018-07-03,234300.0
2018-07-05,673600.0
2018-07-16,315100.0
2018-09-18,325600.0
2019-01-24,291300.0
2019-09-05,209600.0
2018-11-21,334300.0
2020-01-13,357500.0
2020-04-01,312300.0
2020-06-19,309200.0
2019-10-29,223800.0
2020-01-16,234100.0
2020-06-22,366000.0
2018-10-03,335600.0
2018-07-31,400200.0
2019-03-12,348400.0
2019-02-08,285600.0
2019-01-07,321900.0
2018-12-06,432300.0
2019-08-19,251400.0
2019-07-18,361400.0
2019-05-15,195800.0
2019-09-20,263300.0
2019-11-01,534000.0
2020-04-07,345200.0
2020-06-25,1909000.0
2020-06-16,739700.0
2019-11-04,450800.0
2020-01-22,264300.0
2019-11-07,236200.0
2020-04-13,339000.0
2019-07-01,423500.0
2019-05-30,336700.0
2018-08-15,258400.0
2018-10-18,199000.0
2019-03-27,159300.0
2019-01-22,180500.0
2018-12-21,171300.0
2019-09-03,189400.0
2018-11-19,242000.0
2019-08-02,434600.0
2020-01-28,218400.0
2020-04-16,279600.0
2019-11-13,251000.0
2020-01-31,344800.0
2018-12-04,305300.0
2018-11-02,252400.0
2019-07-16,157200.0
2018-08-30,454400.0
2018-10-01,470500.0
2019-06-14,314200.0
2019-05-13,325300.0
2019-04-11,726500.0
2019-02-06,259700.0
2019-09-18,205300.0
2020-02-03,177700.0
2020-04-22,239800.0
2019-11-19,171100.0
2020-02-06,135800.0
2019-11-22,123300.0
2019-03-25,306400.0
2019-02-21,190500.0
2018-12-19,363400.0
2018-07-12,184800.0
2018-09-14,362000.0
2018-08-13,517500.0
2018-10-16,257800.0
2019-07-31,356600.0
2019-05-28,216400.0
2019-04-26,373700.0
2020-04-28,427200.0
2019-11-25,339300.0
2020-02-12,357600.0
2020-05-01,241800.0
2020-05-04,284200.0
2019-06-12,142600.0
2019-04-09,203900.0
2019-03-08,240100.0
2019-02-04,288000.0
2018-07-27,316700.0
2018-08-28,317500.0
2019-01-03,345800.0
2019-08-15,300800.0
2018-10-31,638500.0
2019-09-16,411800.0
2020-02-18,577600.0
2020-05-07,445600.0
2018-08-17,661800.0
2019-12-04,1341600.0
2020-02-21,744900.0
2018-12-17,741900.0
2019-08-30,441800.0
2018-11-15,400300.0
