Dates,RTX
2019-04-01,888300.0
2019-02-28,1345900.0
2019-11-12,1121600.0
2020-01-30,820200.0
2019-11-15,805700.0
2020-04-21,1118500.0
2019-04-16,938200.0
2019-03-15,663700.0
2019-02-11,1688900.0
2019-01-10,898200.0
2019-08-22,644300.0
2018-11-07,703300.0
2018-08-03,1230400.0
2018-09-04,1272800.0
2019-06-19,1115700.0
2019-09-23,1542100.0
2019-11-18,1788400.0
2020-02-05,902900.0
2020-04-24,982500.0
2019-03-29,1080600.0
2019-11-21,1456800.0
2020-04-27,1254500.0
2020-02-11,1261100.0
2020-04-30,1109600.0
2019-05-01,1025100.0
2019-02-26,1442300.0
2019-01-25,1444600.0
2018-12-24,951600.0
2019-09-06,806100.0
2018-07-17,955600.0
2018-09-19,1521400.0
2019-08-05,1535400.0
2019-10-08,1217700.0
2019-12-11,1844600.0
2019-11-27,764000.0
2020-02-14,960100.0
2020-05-06,768700.0
2019-01-08,731500.0
2018-12-07,1604900.0
2019-08-20,1111500.0
2018-11-05,819600.0
2019-07-19,571600.0
2018-10-04,878900.0
2019-06-17,818900.0
2019-05-16,714700.0
2018-08-01,766600.0
2019-03-13,1258100.0
2019-12-03,1004000.0
2020-02-20,1055300.0
2019-12-06,620000.0
2020-05-12,773100.0
2019-12-09,853500.0
2020-02-26,1121600.0
2020-05-15,1121000.0
2019-03-28,828400.0
2018-09-17,1135700.0
2018-08-16,1784000.0
2018-10-19,1640900.0
2019-04-29,1366600.0
2019-01-23,2339000.0
2019-09-04,1460400.0
2018-11-20,3130300.0
2019-07-02,1814900.0
2019-05-31,1709400.0
2019-12-12,1287600.0
2020-05-18,941000.0
2019-09-27,1641700.0
2020-03-03,1275800.0
2020-05-21,1160900.0
2019-05-14,1246100.0
2018-08-31,1405800.0
2018-07-30,823100.0
2018-10-02,1304200.0
2019-04-12,963200.0
2019-03-11,1001300.0
2019-02-07,575500.0
2019-07-17,1026800.0
2019-09-19,1198700.0
2019-10-21,829500.0
2019-12-18,940100.0
2020-03-06,1680200.0
2019-10-03,680300.0
2020-03-09,892900.0
2020-05-27,1030100.0
2019-12-24,1003300.0
2020-03-12,868700.0
2018-12-20,979400.0
2019-08-01,1177000.0
2018-08-14,1849400.0
2018-07-13,1190800.0
2018-10-17,874500.0
2019-05-29,1216300.0
2019-03-26,959000.0
2019-02-22,1157200.0
2019-10-04,1172700.0
2019-11-05,773500.0
2019-12-27,1719400.0
2020-06-02,724000.0
2019-12-30,767400.0
2020-03-18,949600.0
2020-06-05,1593800.0
2019-07-15,1206300.0
2018-12-03,1432300.0
2019-06-13,950800.0
2019-01-04,1486100.0
2018-08-29,1094000.0
2019-02-05,873400.0
2018-11-01,897300.0
2019-08-16,972100.0
2019-04-10,768500.0
2019-09-17,765600.0
2019-10-15,854900.0
2020-01-02,540600.0
2020-06-08,738800.0
2019-10-18,749400.0
2020-03-24,1133600.0
2020-06-11,1122600.0
2020-01-08,1097200.0
2019-04-25,4428000.0
2019-07-30,1544600.0
2019-02-20,1881000.0
2018-07-11,1199300.0
2018-09-13,1337400.0
2018-10-15,1695000.0
2019-06-28,1195700.0
2018-12-18,2273200.0
2018-11-16,3010600.0
2019-10-02,1293300.0
2020-03-27,1324200.0
2020-01-10,1124000.0
2019-10-24,1018500.0
2020-03-30,1219900.0
2020-06-17,825200.0
2020-01-14,939800.0
2020-04-02,1080500.0
2019-01-02,995500.0
2019-08-14,1581500.0
2018-10-30,1533600.0
2019-06-11,1706100.0
2019-05-10,2487300.0
2019-04-08,1241100.0
2018-08-27,1318900.0
2018-07-26,1490500.0
2018-09-28,1875300.0
2019-03-07,833100.0
2019-10-30,537100.0
2020-01-17,1093200.0
2020-06-23,949200.0
2020-04-08,937000.0
2020-06-26,767200.0
2019-03-22,1021300.0
2019-01-17,1784300.0
2019-08-29,1256600.0
2018-11-14,958900.0
2019-06-26,1094600.0
2018-09-11,1484100.0
2018-07-09,1919300.0
2018-08-10,1452500.0
2019-04-23,1759400.0
2019-09-30,1864200.0
2020-01-23,2824100.0
2019-11-08,1132800.0
