Dates,RTX
2018-06-20,157.6300048828125
2018-06-21,156.57000732421875
2018-06-25,159.19000244140625
2018-06-22,154.75999450683594
2018-06-26,151.5
2018-06-27,147.5
2018-06-28,147.58999633789062
2018-06-29,169.9600067138672
2018-07-02,169.61000061035156
2018-07-03,167.72999572753906
2018-07-05,169.49000549316406
2018-07-16,173.4499969482422
2018-09-18,174.16000366210938
2019-01-24,175.11000061035156
2019-09-05,175.00999450683594
2018-11-21,178.27000427246094
2020-01-13,180.5
2020-04-01,181.22000122070312
2020-06-19,182.58999633789062
2019-10-29,181.1300048828125
2020-01-16,180.1199951171875
2020-06-22,177.39999389648438
2018-10-03,176.5399932861328
2018-07-31,174.8800048828125
2019-03-12,176.80999755859375
2019-02-08,175.8699951171875
2019-01-07,172.10000610351562
2018-12-06,174.4199981689453
2019-08-19,175.0500030517578
2019-07-18,177.8699951171875
2019-05-15,177.88999938964844
2019-09-20,174.5399932861328
2019-11-01,174.91000366210938
2020-04-07,177.50999450683594
2020-06-25,175.3000030517578
2020-06-16,175.0500030517578
2019-11-04,174.82000732421875
2020-01-22,175.0500030517578
2019-11-07,175.92999267578125
2020-04-13,173.0
2019-07-01,174.9600067138672
2019-05-30,176.0800018310547
2018-08-15,175.7100067138672
2018-10-18,176.86000061035156
2019-03-27,177.72000122070312
2019-01-22,176.02000427246094
2018-12-21,176.83999633789062
2019-09-03,179.32000732421875
2018-11-19,180.8699951171875
2019-08-02,184.86000061035156
2020-01-28,186.02999877929688
2020-04-16,184.39999389648438
2019-11-13,183.30999755859375
2020-01-31,183.2100067138672
2018-12-04,180.0500030517578
2018-11-02,179.47000122070312
2019-07-16,179.27999877929688
2018-08-30,178.61000061035156
2018-10-01,178.33999633789062
2019-06-14,179.86000061035156
2019-05-13,179.00999450683594
2019-04-11,175.8000030517578
2019-02-06,177.1199951171875
2019-09-18,176.60000610351562
2020-02-03,180.52000427246094
2020-04-22,180.0800018310547
2019-11-19,182.1699981689453
2020-02-06,182.64999389648438
2019-11-22,186.64999389648438
2019-03-25,189.74000549316406
2019-02-21,192.74000549316406
2018-12-19,191.57000732421875
2018-07-12,191.92999267578125
2018-09-14,192.2100067138672
2018-08-13,188.6199951171875
2018-10-16,188.0500030517578
2019-07-31,185.33999633789062
2019-05-28,185.66000366210938
2019-04-26,176.42999267578125
2020-04-28,175.66000366210938
2019-11-25,181.32000732421875
2020-02-12,177.64999389648438
2020-05-01,185.4499969482422
2020-05-04,185.47999572753906
2019-06-12,178.89999389648438
2019-04-09,175.69000244140625
2019-03-08,177.39999389648438
2019-02-04,174.1699981689453
2018-07-27,163.08999633789062
2018-08-28,165.61000061035156
2019-01-03,169.47999572753906
2019-08-15,170.33999633789062
2018-10-31,171.49000549316406
2019-09-16,169.4600067138672
2020-02-18,175.19000244140625
2020-05-07,173.2899932861328
2018-08-17,174.58999633789062
2019-12-04,175.22999572753906
2020-02-21,183.8800048828125
2018-12-17,180.25999450683594
2019-08-30,180.5500030517578
2018-11-15,172.85000610351562
2019-07-29,170.30999755859375
2019-06-27,164.5800018310547
2019-04-24,166.6699981689453
2018-07-10,165.11000061035156
2018-09-12,161.07000732421875
2019-02-19,159.75999450683594
2019-01-18,160.25
2020-02-24,160.38999938964844
2020-05-13,167.39999389648438
2019-12-10,175.4499969482422
2020-02-27,178.3800048828125
2019-12-13,179.4499969482422
2020-05-19,180.7899932861328
2019-03-06,184.64999389648438
2018-11-30,177.92999267578125
2019-08-13,179.61000061035156
2019-07-12,172.2100067138672
2019-06-10,173.77999877929688
2019-05-09,173.22999572753906
2018-07-25,175.4499969482422
2018-09-27,173.4199981689453
2018-10-29,170.05999755859375
2019-10-16,166.1699981689453
2019-12-16,163.42999267578125
2020-03-04,158.66000366210938
2020-05-22,161.3000030517578
2019-10-01,156.5
2019-12-19,151.91000366210938
2018-09-10,161.83999633789062
2019-05-24,162.3699951171875
2018-08-09,161.4199981689453
2019-04-22,165.7100067138672
2019-03-21,164.0800018310547
2019-01-16,163.72999572753906
2019-08-28,172.6999969482422
2018-11-13,175.85000610351562
2018-10-12,178.19000244140625
2019-06-25,182.3000030517578
2020-03-10,186.02999877929688
2020-05-28,188.16000366210938
2019-10-07,183.91000366210938
2020-03-13,186.67999267578125
2019-10-10,186.14999389648438
2020-03-16,190.52000427246094
2020-06-03,194.6999969482422
2018-11-28,193.8800048828125
2018-09-25,189.88999938964844
2018-07-23,186.5800018310547
2018-08-24,189.5
2019-07-10,188.08999633789062
2019-05-07,186.3800048828125
2019-04-05,187.0500030517578
2019-03-04,190.91000366210938
2019-01-31,191.52000427246094
2019-09-12,187.97999572753906
2019-12-31,187.02000427246094
2020-03-19,182.38999938964844
2020-01-03,180.17999267578125
2020-06-09,181.33999633789062
2019-02-15,181.52999877929688
2019-01-14,184.00999450683594
2018-07-06,185.25
2018-08-07,185.72000122070312
2018-10-10,188.07000732421875
2018-12-13,186.86000061035156
2019-08-26,187.83999633789062
2019-07-25,183.05999755859375
2019-05-22,185.75999450683594
2019-03-19,186.3300018310547
2020-01-06,188.9199981689453
2020-03-25,189.80999755859375
2020-06-12,188.75
2019-10-22,192.16000366210938
2020-01-09,190.0399932861328
2020-06-15,187.8000030517578
2019-10-25,181.11000061035156
2020-03-31,178.61000061035156
2020-06-18,177.25999450683594
2019-04-03,180.52000427246094
2018-08-22,182.57000732421875
2018-10-25,185.66000366210938
2019-01-29,186.11000061035156
2018-12-28,188.08999633789062
2018-11-26,187.47999572753906
2019-08-09,181.75999450683594
2019-07-08,179.97999572753906
2019-06-06,182.55999755859375
2019-09-10,181.52999877929688
2020-01-15,183.85000610351562
2020-04-03,189.91000366210938
2019-10-31,185.82000732421875
2020-04-06,182.4199981689453
2020-06-24,183.9499969482422
2018-11-09,186.0500030517578
2019-07-23,187.11000061035156
2019-06-21,187.88999938964844
2019-05-20,184.14999389648438
2019-04-18,188.88999938964844
2018-09-06,188.92999267578125
2018-10-08,188.30999755859375
2019-02-13,190.3699951171875
2018-12-11,185.1199951171875
2019-09-25,182.77999877929688
2020-01-21,182.49000549316406
2020-04-09,179.74000549316406
2019-11-06,166.97000122070312
2020-01-24,168.16000366210938
2020-01-27,168.52000427246094
2020-04-15,175.3699951171875
2018-12-26,172.5800018310547
2019-08-07,174.61000061035156
2019-06-04,172.85000610351562
2018-09-21,172.52000427246094
2018-07-19,168.97999572753906
2018-08-20,172.60000610351562
2018-10-23,169.5399932861328
2019-05-03,173.8699951171875
2019-04-01,174.75999450683594
2019-02-28,170.27999877929688
2019-11-12,169.00999450683594
2020-01-30,169.91000366210938
2019-11-15,168.85000610351562
2020-04-21,164.61000061035156
2019-04-16,166.72000122070312
2019-03-15,166.8800048828125
2019-02-11,170.22999572753906
2019-01-10,168.72999572753906
2019-08-22,165.72999572753906
2018-11-07,169.1199951171875
2018-08-03,172.3699951171875
2018-09-04,173.00999450683594
2019-06-19,171.77000427246094
2019-09-23,172.75999450683594
2019-11-18,166.5500030517578
2020-02-05,170.25999450683594
2020-04-24,166.17999267578125
2019-03-29,166.63999938964844
2019-11-21,171.27000427246094
2020-04-27,173.27000427246094
2020-02-11,167.75
2020-04-30,173.50999450683594
2019-05-01,172.83999633789062
2019-02-26,172.0
2019-01-25,170.6300048828125
2018-12-24,168.88999938964844
2019-09-06,170.22000122070312
2018-07-17,173.77999877929688
2018-09-19,177.94000244140625
2019-08-05,181.75
2019-10-08,182.1699981689453
2019-12-11,183.97000122070312
2019-11-27,181.02000427246094
2020-02-14,180.14999389648438
2020-05-06,177.66000366210938
2019-01-08,178.5800018310547
2018-12-07,183.3800048828125
2019-08-20,181.83999633789062
2018-11-05,179.52999877929688
2019-07-19,183.25999450683594
2018-10-04,178.33999633789062
2019-06-17,176.75
