Dates,ALXN
2018-06-20,122.38999938964844
2018-06-21,124.1500015258789
2018-06-25,125.70999908447266
2018-06-22,126.88999938964844
2018-06-26,125.05000305175781
2018-06-27,122.66999816894531
2018-06-28,121.80000305175781
2018-06-29,122.4800033569336
2018-07-02,124.16999816894531
2018-07-03,126.45999908447266
2018-07-05,126.83000183105469
2018-07-16,129.10000610351562
2018-09-18,132.92999267578125
2019-01-24,131.63999938964844
2019-09-05,131.11000061035156
2018-11-21,131.77000427246094
2020-01-13,134.47999572753906
2020-04-01,136.27000427246094
2020-06-19,133.94000244140625
2019-10-29,135.8300018310547
2020-01-16,135.1699981689453
2020-06-22,134.92999267578125
2018-10-03,135.16000366210938
2018-07-31,135.67999267578125
2019-03-12,135.42999267578125
2019-02-08,137.86000061035156
2019-01-07,136.61000061035156
2018-12-06,131.44000244140625
2019-08-19,132.22000122070312
2019-07-18,132.3300018310547
2019-05-15,130.97000122070312
2019-09-20,126.98999786376953
2019-11-01,123.18000030517578
2020-04-07,122.23999786376953
2020-06-25,122.2300033569336
2020-06-16,121.0999984741211
2019-11-04,119.54000091552734
2020-01-22,118.95999908447266
2019-11-07,118.86000061035156
2020-04-13,118.9000015258789
2019-07-01,115.97000122070312
2019-05-30,117.06999969482422
2018-08-15,118.47000122070312
2018-10-18,116.01000213623047
2019-03-27,116.5199966430664
2019-01-22,117.30999755859375
2018-12-21,117.01000213623047
2019-09-03,118.27999877929688
2018-11-19,120.31999969482422
2019-08-02,120.4800033569336
2020-01-28,122.7300033569336
2020-04-16,122.73999786376953
2019-11-13,121.33000183105469
2020-01-31,119.36000061035156
2018-12-04,119.91999816894531
2018-11-02,116.8499984741211
2019-07-16,118.0
2018-08-30,117.5999984741211
2018-10-01,117.5999984741211
2019-06-14,118.5999984741211
2019-05-13,119.12999725341797
2019-04-11,118.3499984741211
2019-02-06,118.19000244140625
2019-09-18,120.79000091552734
2020-02-03,122.69000244140625
2020-04-22,125.08999633789062
2019-11-19,130.02999877929688
2020-02-06,128.6699981689453
2019-11-22,132.47000122070312
2019-03-25,135.3000030517578
2019-02-21,138.16000366210938
2018-12-19,139.13999938964844
2018-07-12,137.0
2018-09-14,136.1699981689453
2018-08-13,136.55999755859375
2018-10-16,133.61000061035156
2019-07-31,131.02999877929688
2019-05-28,129.66000366210938
2019-04-26,129.55999755859375
2020-04-28,124.01000213623047
2019-11-25,122.56999969482422
2020-02-12,121.0199966430664
2020-05-01,122.62999725341797
2020-05-04,127.31999969482422
2019-06-12,129.08999633789062
2019-04-09,126.73999786376953
2019-03-08,126.79000091552734
2019-02-04,121.95999908447266
2018-07-27,125.76000213623047
2018-08-28,114.05000305175781
2019-01-03,114.05999755859375
2019-08-15,117.66999816894531
2018-10-31,112.43000030517578
2019-09-16,114.87000274658203
2020-02-18,111.83000183105469
2020-05-07,120.36000061035156
2018-08-17,123.62999725341797
2019-12-04,123.26000213623047
2020-02-21,124.69000244140625
2018-12-17,127.08000183105469
2019-08-30,126.52999877929688
2018-11-15,123.5199966430664
2019-07-29,120.16000366210938
2019-06-27,119.63999938964844
2019-04-24,115.7300033569336
2018-07-10,119.29000091552734
2018-09-12,118.86000061035156
2019-02-19,114.05999755859375
2019-01-18,117.47000122070312
2020-02-24,117.5
2020-05-13,119.9000015258789
2019-12-10,118.25
2020-02-27,120.55000305175781
2019-12-13,122.4000015258789
2020-05-19,123.66999816894531
2019-03-06,123.19999694824219
2018-11-30,125.66000366210938
2019-08-13,120.62999725341797
2019-07-12,119.83000183105469
2019-06-10,115.6500015258789
2019-05-09,115.95999908447266
2018-07-25,117.23999786376953
2018-09-27,117.2699966430664
2018-10-29,111.58999633789062
2019-10-16,109.36000061035156
2019-12-16,110.12999725341797
2020-03-04,106.38999938964844
2020-05-22,102.06999969482422
2019-10-01,101.19000244140625
2019-12-19,93.2300033569336
2018-09-10,94.94999694824219
2019-05-24,95.83000183105469
2018-08-09,98.5199966430664
2019-04-22,98.05999755859375
2019-03-21,95.83999633789062
2019-01-16,100.1500015258789
2019-08-28,101.87999725341797
2018-11-13,105.6500015258789
2018-10-12,108.6500015258789
2019-06-25,108.98999786376953
2020-03-10,109.1500015258789
2020-05-28,110.68000030517578
2019-10-07,110.0199966430664
2020-03-13,108.16999816894531
2019-10-10,111.88999938964844
2020-03-16,111.62000274658203
2020-06-03,115.69999694824219
2018-11-28,115.27999877929688
2018-09-25,115.13999938964844
2018-07-23,117.25
2018-08-24,118.9800033569336
2019-07-10,119.87000274658203
2019-05-07,119.31999969482422
2019-04-05,119.62000274658203
2019-03-04,121.41000366210938
2019-01-31,124.44000244140625
2019-09-12,128.6699981689453
2019-12-31,123.38999938964844
2020-03-19,122.72000122070312
2020-01-03,119.56999969482422
2020-06-09,118.02999877929688
2019-02-15,120.76000213623047
2019-01-14,121.69999694824219
2018-07-06,125.0
2018-08-07,124.7300033569336
2018-10-10,125.44000244140625
2018-12-13,128.47999572753906
2019-08-26,128.50999450683594
2019-07-25,129.6300048828125
2019-05-22,127.93000030517578
2019-03-19,130.5
2020-01-06,131.85000610351562
2020-03-25,132.49000549316406
2020-06-12,135.5800018310547
2019-10-22,132.88999938964844
2020-01-09,138.0
2020-06-15,136.14999389648438
2019-10-25,134.57000732421875
2020-03-31,131.17999267578125
2020-06-18,127.26000213623047
2019-04-03,128.97000122070312
2018-08-22,132.5500030517578
2018-10-25,135.22000122070312
2019-01-29,135.8699951171875
2018-12-28,135.30999755859375
2018-11-26,136.0399932861328
2019-08-09,133.57000732421875
2019-07-08,133.1999969482422
2019-06-06,130.47000122070312
2019-09-10,133.86000061035156
2020-01-15,130.2899932861328
2020-04-03,133.14999389648438
2019-10-31,136.7100067138672
2020-04-06,134.64999389648438
2020-06-24,134.5
2018-11-09,136.5800018310547
2019-07-23,135.5800018310547
2019-06-21,139.66000366210938
2019-05-20,140.07000732421875
2019-04-18,139.97000122070312
2018-09-06,141.2100067138672
2018-10-08,139.1699981689453
2019-02-13,138.02000427246094
2018-12-11,141.3800048828125
2019-09-25,138.39999389648438
2020-01-21,136.8699951171875
2020-04-09,138.14999389648438
2019-11-06,137.32000732421875
2020-01-24,126.66000366210938
2020-01-27,126.4800033569336
2020-04-15,128.67999267578125
2018-12-26,132.0
2019-08-07,131.0
2019-06-04,136.0
2018-09-21,134.52000427246094
2018-07-19,135.19000244140625
2018-08-20,135.86000061035156
2018-10-23,133.7100067138672
2019-05-03,134.0
2019-04-01,134.22999572753906
2019-02-28,135.42999267578125
2019-11-12,134.4199981689453
2020-01-30,132.4499969482422
2019-11-15,131.4199981689453
2020-04-21,128.67999267578125
2019-04-16,126.97000122070312
2019-03-15,126.86000061035156
2019-02-11,128.77000427246094
2019-01-10,130.60000610351562
2019-08-22,129.6999969482422
2018-11-07,128.0
2018-08-03,128.49000549316406
2018-09-04,125.86000061035156
2019-06-19,126.2699966430664
2019-09-23,127.0
2019-11-18,124.16999816894531
2020-02-05,122.20999908447266
2020-04-24,118.55999755859375
2019-03-29,113.97000122070312
2019-11-21,115.20999908447266
2020-04-27,118.20999908447266
2020-02-11,119.19000244140625
2020-04-30,119.41000366210938
2019-05-01,118.61000061035156
2019-02-26,117.44999694824219
2019-01-25,117.11000061035156
2018-12-24,120.93000030517578
2019-09-06,117.33999633789062
2018-07-17,118.29000091552734
2018-09-19,122.8499984741211
2019-08-05,122.22000122070312
2019-10-08,124.77999877929688
2019-12-11,129.11000061035156
2019-11-27,132.4499969482422
2020-02-14,128.50999450683594
2020-05-06,125.38999938964844
2019-01-08,125.63999938964844
2018-12-07,126.63999938964844
2019-08-20,132.77999877929688
2018-11-05,131.3300018310547
2019-07-19,134.25
2018-10-04,132.7100067138672
2019-06-17,129.47000122070312
2019-05-16,124.5
2018-08-01,125.62000274658203
2019-03-13,124.19999694824219
2019-12-03,121.52999877929688
2020-02-20,120.72000122070312
2019-12-06,123.58999633789062
2020-05-12,122.79000091552734
2019-12-09,123.01000213623047
2020-02-26,124.12000274658203
2020-05-15,121.48999786376953
2019-03-28,122.41999816894531
2018-09-17,125.0
2018-08-16,120.4800033569336
2018-10-19,118.97000122070312
2019-04-29,114.6500015258789
2019-01-23,111.69000244140625
2019-09-04,114.80999755859375
2018-11-20,113.5
2019-07-02,113.95999908447266
2019-05-31,110.44999694824219
2019-12-12,108.94999694824219
2020-05-18,107.91999816894531
2019-09-27,109.5199966430664
2020-03-03,111.16000366210938
2020-05-21,109.06999969482422
2019-05-14,108.94999694824219
2018-08-31,110.04000091552734
2018-07-30,107.83999633789062
2018-10-02,110.2699966430664
2019-04-12,113.05999755859375
2019-03-11,112.55999755859375
2019-02-07,112.5
2019-07-17,115.16000366210938
2019-09-19,123.12000274658203
2019-10-21,112.0
2019-12-18,112.77999877929688
2020-03-06,109.52999877929688
2019-10-03,112.98999786376953
2020-03-09,103.0
2020-05-27,100.26000213623047
2019-12-24,95.94999694824219
2020-03-12,98.68000030517578
2018-12-20,100.0999984741211
2019-08-01,103.94999694824219
2018-08-14,106.0199966430664
2018-07-13,109.87000274658203
2018-10-17,110.13999938964844
2019-05-29,109.33000183105469
2019-03-26,106.66000366210938
2019-02-22,108.86000061035156
2019-10-04,106.9000015258789
2019-11-05,103.6500015258789
2019-12-27,105.1500015258789
2020-06-02,106.38999938964844
2019-12-30,105.44000244140625
2020-03-18,100.26000213623047
2020-06-05,101.5999984741211
2019-07-15,98.76000213623047
2018-12-03,98.2699966430664
2019-06-13,98.58000183105469
