Dates,ALXN
2018-06-20,124.5199966430664
2018-06-21,125.80999755859375
2018-06-25,127.56999969482422
2018-06-22,124.83000183105469
2018-06-26,122.43000030517578
2018-06-27,121.83999633789062
2018-06-28,121.66000366210938
2018-06-29,124.1500015258789
2018-07-02,125.0
2018-07-03,125.76000213623047
2018-07-05,128.0800018310547
2018-07-16,132.1999969482422
2018-09-18,131.5800018310547
2019-01-24,131.91000366210938
2019-09-05,131.1199951171875
2018-11-21,134.2899932861328
2020-01-13,135.8699951171875
2020-04-01,134.5800018310547
2020-06-19,136.39999389648438
2019-10-29,135.64999389648438
2020-01-16,135.08999633789062
2020-06-22,135.16000366210938
2018-10-03,134.5800018310547
2018-07-31,135.3000030517578
2019-03-12,137.17999267578125
2019-02-08,136.50999450683594
2019-01-07,131.8300018310547
2018-12-06,131.50999450683594
2019-08-19,132.9600067138672
2019-07-18,132.99000549316406
2019-05-15,126.01000213623047
2019-09-20,123.66999816894531
2019-11-01,123.36000061035156
2020-04-07,122.4000015258789
2020-06-25,120.33999633789062
2020-06-16,120.13999938964844
2019-11-04,118.87999725341797
2020-01-22,118.37000274658203
2019-11-07,119.68000030517578
2020-04-13,115.31999969482422
2019-07-01,117.27999877929688
2019-05-30,116.0
2018-08-15,116.16999816894531
2018-10-18,116.98999786376953
2019-03-27,117.69999694824219
2019-01-22,116.80000305175781
2018-12-21,117.5
2019-09-03,119.97000122070312
2018-11-19,120.30000305175781
2019-08-02,122.80999755859375
2020-01-28,122.80000305175781
2020-04-16,122.23999786376953
2019-11-13,119.19999694824219
2020-01-31,120.33000183105469
2018-12-04,117.41000366210938
2018-11-02,117.2699966430664
2019-07-16,117.80999755859375
2018-08-30,117.5199966430664
2018-10-01,118.20999908447266
2019-06-14,119.05000305175781
2019-05-13,118.19999694824219
2019-04-11,117.80999755859375
2019-02-06,120.81999969482422
2019-09-18,121.97000122070312
2020-02-03,124.61000061035156
2020-04-22,121.98999786376953
2019-11-19,128.50999450683594
2020-02-06,128.99000549316406
2019-11-22,135.61000061035156
2019-03-25,138.27000427246094
2019-02-21,139.00999450683594
2018-12-19,137.1199951171875
2018-07-12,135.8800048828125
2018-09-14,136.7100067138672
2018-08-13,133.61000061035156
2018-10-16,130.82000732421875
2019-07-31,129.4600067138672
2019-05-28,130.5800018310547
2019-04-26,123.98999786376953
2020-04-28,119.30999755859375
2019-11-25,121.94000244140625
