Dates,USB
2018-06-20,52.029998779296875
2018-06-21,51.119998931884766
2018-06-25,51.36000061035156
2018-06-22,50.630001068115234
2018-06-26,50.529998779296875
2018-06-27,50.02000045776367
2018-06-28,49.63999938964844
2018-06-29,50.15999984741211
2018-07-02,49.619998931884766
2018-07-03,50.439998626708984
2018-07-05,50.27000045776367
2018-07-16,49.83000183105469
2018-09-18,50.380001068115234
2019-01-24,51.47999954223633
2019-09-05,51.130001068115234
2018-11-21,51.720001220703125
2020-01-13,51.04999923706055
2020-04-01,51.04999923706055
2020-06-19,51.400001525878906
2019-10-29,51.0
2020-01-16,50.65999984741211
2020-06-22,51.22999954223633
2018-10-03,51.099998474121094
2018-07-31,51.7599983215332
2019-03-12,51.540000915527344
2019-02-08,51.900001525878906
2019-01-07,52.36000061035156
2018-12-06,52.619998931884766
2019-08-19,53.029998779296875
2019-07-18,53.310001373291016
2019-05-15,52.22999954223633
2019-09-20,52.459999084472656
2019-11-01,52.81999969482422
2020-04-07,53.029998779296875
2020-06-25,53.290000915527344
2020-06-16,53.529998779296875
2019-11-04,52.93000030517578
2020-01-22,52.900001525878906
2019-11-07,52.43000030517578
2020-04-13,52.72999954223633
2019-07-01,52.810001373291016
2019-05-30,53.11000061035156
2018-08-15,53.2599983215332
2018-10-18,53.90999984741211
2019-03-27,54.08000183105469
2019-01-22,54.04999923706055
2018-12-21,53.88999938964844
2019-09-03,54.130001068115234
2018-11-19,54.5
2019-08-02,54.220001220703125
2020-01-28,54.220001220703125
2020-04-16,53.869998931884766
2019-11-13,54.209999084472656
2020-01-31,54.189998626708984
2018-12-04,54.349998474121094
2018-11-02,54.61000061035156
2019-07-16,54.290000915527344
2018-08-30,54.04999923706055
2018-10-01,54.209999084472656
2019-06-14,53.90999984741211
2019-05-13,54.02000045776367
2019-04-11,54.310001373291016
2019-02-06,54.16999816894531
2019-09-18,54.279998779296875
2020-02-03,55.209999084472656
2020-04-22,55.41999816894531
2019-11-19,55.0
2020-02-06,54.77000045776367
2019-11-22,54.52000045776367
2019-03-25,53.43000030517578
2019-02-21,52.72999954223633
2018-12-19,52.95000076293945
2018-07-12,52.810001373291016
2018-09-14,53.060001373291016
2018-08-13,53.36000061035156
2018-10-16,53.880001068115234
2019-07-31,53.45000076293945
2019-05-28,53.709999084472656
2019-04-26,54.15999984741211
2020-04-28,53.31999969482422
2019-11-25,52.36000061035156
2020-02-12,50.790000915527344
2020-05-01,50.79999923706055
2020-05-04,50.810001373291016
2019-06-12,53.34000015258789
2019-04-09,51.93000030517578
2019-03-08,52.61000061035156
2019-02-04,50.72999954223633
2018-07-27,51.189998626708984
2018-08-28,50.70000076293945
2019-01-03,50.75
2019-08-15,51.52000045776367
2018-10-31,51.95000076293945
2019-09-16,52.65999984741211
2020-02-18,52.38999938964844
2020-05-07,52.43000030517578
2018-08-17,52.060001373291016
2019-12-04,52.220001220703125
2020-02-21,52.77000045776367
2018-12-17,52.310001373291016
2019-08-30,52.810001373291016
2018-11-15,53.150001525878906
2019-07-29,52.970001220703125
2019-06-27,53.9900016784668
2019-04-24,53.290000915527344
2018-07-10,54.400001525878906
2018-09-12,54.970001220703125
2019-02-19,54.939998626708984
2019-01-18,54.220001220703125
2020-02-24,53.29999923706055
2020-05-13,54.0
2019-12-10,53.790000915527344
2020-02-27,54.02000045776367
2019-12-13,54.0
2020-05-19,54.04999923706055
2019-03-06,54.880001068115234
2018-11-30,54.02000045776367
2019-08-13,51.709999084472656
2019-07-12,52.27000045776367
2019-06-10,51.70000076293945
2019-05-09,51.029998779296875
2018-07-25,50.619998931884766
2018-09-27,50.22999954223633
2018-10-29,48.689998626708984
2019-10-16,48.5099983215332
2019-12-16,48.22999954223633
2020-03-04,47.16999816894531
2020-05-22,45.900001525878906
2019-10-01,45.470001220703125
2019-12-19,44.0
2018-09-10,43.91999816894531
2019-05-24,44.84000015258789
2018-08-09,45.47999954223633
2019-04-22,45.34000015258789
2019-03-21,45.220001220703125
2019-01-16,46.20000076293945
2019-08-28,46.439998626708984
2018-11-13,46.65999984741211
2018-10-12,47.0099983215332
2019-06-25,47.02000045776367
2020-03-10,47.310001373291016
2020-05-28,47.099998474121094
2019-10-07,47.150001525878906
2020-03-13,47.61000061035156
2019-10-10,48.2599983215332
2020-03-16,48.970001220703125
2020-06-03,50.11000061035156
2018-11-28,49.95000076293945
2018-09-25,50.2599983215332
2018-07-23,50.34000015258789
2018-08-24,51.349998474121094
2019-07-10,50.90999984741211
2019-05-07,51.18000030517578
2019-04-05,51.0
2019-03-04,50.709999084472656
2019-01-31,51.2599983215332
2019-09-12,51.209999084472656
2019-12-31,51.61000061035156
2020-03-19,51.38999938964844
2020-01-03,51.54999923706055
2020-06-09,50.810001373291016
2019-02-15,50.81999969482422
2019-01-14,51.0099983215332
2018-07-06,51.220001220703125
2018-08-07,50.5099983215332
2018-10-10,50.95000076293945
2018-12-13,51.04999923706055
2019-08-26,51.310001373291016
2019-07-25,51.529998779296875
2019-05-22,51.209999084472656
2019-03-19,51.56999969482422
2020-01-06,51.40999984741211
2020-03-25,51.31999969482422
2020-06-12,51.61000061035156
2019-10-22,52.119998931884766
