Dates,USB
2018-06-20,7444900.0
2018-06-21,6484000.0
2018-06-25,7145200.0
2018-06-22,6741200.0
2018-06-26,6671600.0
2018-06-27,6961200.0
2018-06-28,5795400.0
2018-06-29,9521800.0
2018-07-02,5063800.0
2018-07-03,4506600.0
2018-07-05,5334300.0
2018-07-16,4085100.0
2018-09-18,6686500.0
2019-01-24,6618900.0
2019-09-05,6216200.0
2018-11-21,6453800.0
2020-01-13,6975600.0
2020-04-01,6932600.0
2020-06-19,9600900.0
2019-10-29,11592600.0
2020-01-16,12128400.0
2020-06-22,9167100.0
2018-10-03,7739700.0
2018-07-31,5939900.0
2019-03-12,7672600.0
2019-02-08,9397000.0
2019-01-07,7241600.0
2018-12-06,7139600.0
2019-08-19,9379300.0
2019-07-18,5685600.0
2019-05-15,4438100.0
2019-09-20,5313500.0
2019-11-01,5387700.0
2020-04-07,4620100.0
2020-06-25,4539700.0
2020-06-16,3829000.0
2019-11-04,5492000.0
2020-01-22,5338400.0
2019-11-07,4297300.0
2020-04-13,6182000.0
2019-07-01,4969900.0
2019-05-30,4457100.0
2018-08-15,5189900.0
2018-10-18,5228600.0
2019-03-27,3238300.0
2019-01-22,4214600.0
2018-12-21,4568300.0
2019-09-03,6070300.0
2018-11-19,4276700.0
2019-08-02,4476500.0
2020-01-28,6298700.0
2020-04-16,5159400.0
2019-11-13,4367600.0
2020-01-31,5325300.0
2018-12-04,3696400.0
2018-11-02,4938100.0
2019-07-16,2995700.0
2018-08-30,3383700.0
2018-10-01,5354900.0
2019-06-14,6687600.0
2019-05-13,5271400.0
2019-04-11,4507400.0
2019-02-06,4314500.0
2019-09-18,6814300.0
2020-02-03,5321200.0
2020-04-22,12672900.0
2019-11-19,5254100.0
2020-02-06,5569200.0
2019-11-22,5414700.0
2019-03-25,5812100.0
2019-02-21,8150300.0
2018-12-19,4724200.0
2018-07-12,5825400.0
2018-09-14,7735300.0
2018-08-13,5731500.0
2018-10-16,5202600.0
2019-07-31,5797800.0
2019-05-28,5517300.0
2019-04-26,9193300.0
2020-04-28,13404800.0
2019-11-25,12666900.0
2020-02-12,6879900.0
2020-05-01,9207100.0
2020-05-04,11626400.0
2019-06-12,11322800.0
2019-04-09,7664000.0
2019-03-08,8914600.0
2019-02-04,9206400.0
2018-07-27,9430100.0
2018-08-28,7672900.0
2019-01-03,10408800.0
2019-08-15,9949100.0
2018-10-31,10213900.0
2019-09-16,13027000.0
2020-02-18,9812100.0
2020-05-07,8273600.0
2018-08-17,5448300.0
2019-12-04,4635600.0
2020-02-21,6715900.0
2018-12-17,5463800.0
2019-08-30,5530100.0
2018-11-15,7060100.0
2019-07-29,8138100.0
2019-06-27,13371700.0
2019-04-24,9758900.0
2018-07-10,9335200.0
2018-09-12,8109600.0
2019-02-19,9495600.0
2019-01-18,5830500.0
2020-02-24,2243300.0
2020-05-13,6429300.0
2019-12-10,7409500.0
2020-02-27,7105400.0
2019-12-13,5369300.0
2020-05-19,10299300.0
2019-03-06,6851100.0
2018-11-30,9814800.0
2019-08-13,13575600.0
2019-07-12,9561900.0
2019-06-10,11217900.0
2019-05-09,7983200.0
2018-07-25,8372000.0
2018-09-27,11919500.0
2018-10-29,11037700.0
2019-10-16,10081800.0
2019-12-16,10182000.0
2020-03-04,13879300.0
2020-05-22,13596600.0
2019-10-01,22650900.0
2019-12-19,6830500.0
2018-09-10,10866400.0
2019-05-24,9209900.0
2018-08-09,8372200.0
2019-04-22,7388200.0
2019-03-21,8155500.0
2019-01-16,8141100.0
2019-08-28,7725300.0
2018-11-13,5927000.0
