Dates,USB
2018-06-20,51.2400016784668
2018-06-21,50.58000183105469
2018-06-25,50.709999084472656
2018-06-22,50.029998779296875
2018-06-26,49.900001525878906
2018-06-27,49.79999923706055
2018-06-28,49.2400016784668
2018-06-29,49.9900016784668
2018-07-02,49.59000015258789
2018-07-03,49.779998779296875
2018-07-05,49.810001373291016
2018-07-16,49.77000045776367
2018-09-18,50.29999923706055
2019-01-24,51.02000045776367
2019-09-05,50.81999969482422
2018-11-21,51.13999938964844
2020-01-13,50.61000061035156
2020-04-01,51.02000045776367
2020-06-19,51.18000030517578
2019-10-29,50.470001220703125
2020-01-16,50.65999984741211
2020-06-22,50.84000015258789
2018-10-03,51.029998779296875
2018-07-31,51.52000045776367
2019-03-12,51.349998474121094
2019-02-08,51.869998931884766
2019-01-07,52.279998779296875
2018-12-06,52.619998931884766
2019-08-19,52.88999938964844
2019-07-18,52.380001068115234
2019-05-15,52.13999938964844
2019-09-20,52.38999938964844
2019-11-01,52.79999923706055
2020-04-07,52.9900016784668
2020-06-25,53.08000183105469
2020-06-16,53.369998931884766
2019-11-04,52.75
2020-01-22,52.369998931884766
2019-11-07,52.43000030517578
2020-04-13,52.36000061035156
2019-07-01,52.79999923706055
2019-05-30,53.04999923706055
2018-08-15,53.2400016784668
2018-10-18,53.849998474121094
2019-03-27,53.810001373291016
2019-01-22,53.619998931884766
2018-12-21,53.7400016784668
2019-09-03,54.119998931884766
2018-11-19,54.13999938964844
2019-08-02,54.09000015258789
2020-01-28,53.91999816894531
2020-04-16,53.790000915527344
2019-11-13,53.84000015258789
2020-01-31,54.15999984741211
2018-12-04,54.08000183105469
2018-11-02,53.880001068115234
2019-07-16,54.09000015258789
2018-08-30,53.939998626708984
2018-10-01,53.4900016784668
2019-06-14,53.72999954223633
2019-05-13,53.970001220703125
2019-04-11,53.970001220703125
2019-02-06,53.970001220703125
2019-09-18,54.22999954223633
2020-02-03,55.099998474121094
2020-04-22,54.900001525878906
2019-11-19,54.34000015258789
2020-02-06,54.18000030517578
2019-11-22,53.52000045776367
2019-03-25,52.83000183105469
2019-02-21,52.47999954223633
2018-12-19,52.630001068115234
2018-07-12,52.439998626708984
2018-09-14,52.790000915527344
2018-08-13,53.36000061035156
2018-10-16,53.290000915527344
2019-07-31,53.380001068115234
2019-05-28,53.41999816894531
2019-04-26,53.310001373291016
2020-04-28,51.650001525878906
2019-11-25,50.0099983215332
2020-02-12,50.5099983215332
2020-05-01,50.22999954223633
2020-05-04,50.52000045776367
2019-06-12,52.02000045776367
2019-04-09,51.810001373291016
2019-03-08,51.290000915527344
2019-02-04,50.59000015258789
2018-07-27,50.18000030517578
2018-08-28,50.5099983215332
2019-01-03,50.290000915527344
2019-08-15,51.13999938964844
2018-10-31,51.540000915527344
2019-09-16,52.209999084472656
2020-02-18,52.0099983215332
2020-05-07,51.4900016784668
2018-08-17,51.84000015258789
2019-12-04,51.95000076293945
2020-02-21,51.79999923706055
2018-12-17,52.27000045776367
2019-08-30,52.75
2018-11-15,52.79999923706055
2019-07-29,52.95000076293945
2019-06-27,53.2599983215332
2019-04-24,53.09000015258789
2018-07-10,54.34000015258789
2018-09-12,54.630001068115234
2019-02-19,53.86000061035156
2019-01-18,53.650001525878906
2020-02-24,53.119998931884766
2020-05-13,53.970001220703125
2019-12-10,53.470001220703125
2020-02-27,53.22999954223633
2019-12-13,53.790000915527344
2020-05-19,54.040000915527344
2019-03-06,53.900001525878906
2018-11-30,52.40999984741211
2019-08-13,51.18000030517578
2019-07-12,51.38999938964844
2019-06-10,50.0099983215332
2019-05-09,49.959999084472656
2018-07-25,49.880001068115234
2018-09-27,48.970001220703125
2018-10-29,48.459999084472656
2019-10-16,47.65999984741211
2019-12-16,46.959999084472656
2020-03-04,45.900001525878906
2020-05-22,45.43000030517578
2019-10-01,44.310001373291016
2019-12-19,43.650001525878906
2018-09-10,43.13999938964844
2019-05-24,44.119998931884766
2018-08-09,45.02000045776367
2019-04-22,45.060001373291016
2019-03-21,45.04999923706055
2019-01-16,45.63999938964844
2019-08-28,46.150001525878906
2018-11-13,46.459999084472656
2018-10-12,46.2400016784668
2019-06-25,46.689998626708984
2020-03-10,46.86000061035156
2020-05-28,46.7599983215332
2019-10-07,46.880001068115234
2020-03-13,47.279998779296875
2019-10-10,48.15999984741211
2020-03-16,48.970001220703125
2020-06-03,49.59000015258789
2018-11-28,49.880001068115234
2018-09-25,49.9900016784668
2018-07-23,50.290000915527344
2018-08-24,51.06999969482422
2019-07-10,50.81999969482422
2019-05-07,50.86000061035156
2019-04-05,50.810001373291016
2019-03-04,50.5
2019-01-31,51.0099983215332
2019-09-12,50.9900016784668
2019-12-31,51.04999923706055
2020-03-19,51.220001220703125
2020-01-03,50.540000915527344
2020-06-09,49.939998626708984
2019-02-15,50.38999938964844
2019-01-14,50.93000030517578
2018-07-06,50.880001068115234
2018-08-07,50.119998931884766
2018-10-10,50.7599983215332
2018-12-13,50.849998474121094
2019-08-26,51.04999923706055
2019-07-25,50.91999816894531
2019-05-22,50.95000076293945
2019-03-19,51.52000045776367
2020-01-06,51.13999938964844
2020-03-25,51.16999816894531
2020-06-12,51.439998626708984
2019-10-22,51.47999954223633
2020-01-09,51.099998474121094
2020-06-15,51.08000183105469
2019-10-25,50.97999954223633
2020-03-31,50.369998931884766
2020-06-18,50.25
2019-04-03,51.0
2018-08-22,50.939998626708984
2018-10-25,50.939998626708984
2019-01-29,51.4900016784668
2018-12-28,51.630001068115234
2018-11-26,52.18000030517578
2019-08-09,51.81999969482422
