Dates,INTC
2018-06-20,21403000.0
2018-06-21,44435600.0
2018-06-25,34682100.0
2018-06-22,45356500.0
2018-06-26,37543000.0
2018-06-27,33338800.0
2018-06-28,29055700.0
2018-06-29,28906500.0
2018-07-02,23755500.0
2018-07-03,16327900.0
2018-07-05,26163500.0
2018-07-16,19968000.0
2018-09-18,21361600.0
2019-01-24,17362900.0
2019-09-05,18665600.0
2018-11-21,20292700.0
2020-01-13,13749300.0
2020-04-01,15951500.0
2020-06-19,15754500.0
2019-10-29,14649000.0
2020-01-16,15954600.0
2020-06-22,17380500.0
2018-10-03,15945500.0
2018-07-31,17788700.0
2019-03-12,19854800.0
2019-02-08,28282500.0
2019-01-07,67816700.0
2018-12-06,35696600.0
2019-08-19,36581200.0
2019-07-18,28060700.0
2019-05-15,26452500.0
2019-09-20,22008200.0
2019-11-01,26669000.0
2020-04-07,28322700.0
2020-06-25,21990600.0
2020-06-16,23795600.0
2019-11-04,28712400.0
2020-01-22,17070600.0
2019-11-07,23061600.0
2020-04-13,26739900.0
2019-07-01,24358000.0
2019-05-30,26382000.0
2018-08-15,24334000.0
2018-10-18,19254300.0
2019-03-27,23182500.0
2019-01-22,31343200.0
2018-12-21,18214700.0
2019-09-03,17170300.0
2018-11-19,13472400.0
2019-08-02,13479100.0
2020-01-28,16418800.0
2020-04-16,16484000.0
2019-11-13,15682900.0
2020-01-31,20857200.0
2018-12-04,19318100.0
2018-11-02,25958300.0
2019-07-16,21522400.0
2018-08-30,32455300.0
2018-10-01,29778700.0
2019-06-14,18657100.0
2019-05-13,22998700.0
2019-04-11,17603200.0
2019-02-06,20528100.0
2019-09-18,15918900.0
2020-02-03,21999300.0
2020-04-22,52650600.0
2019-11-19,17847000.0
2020-02-06,23389900.0
2019-11-22,23957700.0
2019-03-25,15415500.0
2019-02-21,46223500.0
2018-12-19,23796200.0
2018-07-12,42121100.0
2018-09-14,39211900.0
2018-08-13,30108300.0
2018-10-16,28901400.0
2019-07-31,19376800.0
2019-05-28,23285700.0
2019-04-26,43109500.0
2020-04-28,43648800.0
2019-11-25,32087400.0
2020-02-12,21633000.0
2020-05-01,21472000.0
2020-05-04,23124400.0
2019-06-12,26638800.0
2019-04-09,28368500.0
2019-03-08,34508800.0
2019-02-04,38590300.0
2018-07-27,33631800.0
2018-08-28,48255300.0
2019-01-03,67280400.0
2019-08-15,35732200.0
2018-10-31,43975200.0
2019-09-16,33369100.0
2020-02-18,28335300.0
2020-05-07,30759800.0
2018-08-17,23751200.0
2019-12-04,23839600.0
2020-02-21,29913200.0
2018-12-17,26581700.0
2019-08-30,21761400.0
2018-11-15,24412800.0
2019-07-29,29315900.0
2019-06-27,25632700.0
2019-04-24,29581000.0
2018-07-10,31670600.0
2018-09-12,26859000.0
2019-02-19,29200800.0
2019-01-18,19011400.0
2020-02-24,8906900.0
2020-05-13,20723000.0
2019-12-10,27621000.0
2020-02-27,28003200.0
2019-12-13,23592500.0
2020-05-19,43313700.0
2019-03-06,30870400.0
2018-11-30,35397700.0
2019-08-13,31661700.0
2019-07-12,34016400.0
2019-06-10,23289000.0
2019-05-09,23851000.0
2018-07-25,31305000.0
2018-09-27,19526000.0
2018-10-29,26372100.0
2019-10-16,26598700.0
2019-12-16,29014300.0
2020-03-04,39717600.0
2020-05-22,37750900.0
2019-10-01,52768300.0
2019-12-19,19241600.0
2018-09-10,28677600.0
2019-05-24,29970700.0
2018-08-09,24758700.0
2019-04-22,20490400.0
2019-03-21,18774600.0
2019-01-16,32267300.0
2019-08-28,35447300.0
2018-11-13,22736800.0
2018-10-12,22749200.0
2019-06-25,22554500.0
2020-03-10,27202600.0
2020-05-28,21751300.0
2019-10-07,19193900.0
2020-03-13,22480800.0
2019-10-10,19057700.0
2020-03-16,17448700.0
2020-06-03,29874600.0
2018-11-28,25940700.0
2018-09-25,18960700.0
2018-07-23,50578300.0
