Dates,FTNT
2018-06-20,65.08000183105469
2018-06-21,64.73999786376953
2018-06-25,63.93000030517578
2018-06-22,62.119998931884766
2018-06-26,62.869998931884766
2018-06-27,61.79999923706055
2018-06-28,62.45000076293945
2018-06-29,62.43000030517578
2018-07-02,63.93000030517578
2018-07-03,63.59000015258789
2018-07-05,64.33000183105469
2018-07-16,64.97000122070312
2018-09-18,64.7699966430664
2019-01-24,65.41000366210938
2019-09-05,65.66000366210938
2018-11-21,67.2300033569336
2020-01-13,66.55999755859375
2020-04-01,66.2300033569336
2020-06-19,66.94000244140625
2019-10-29,66.80999755859375
2020-01-16,67.44999694824219
2020-06-22,67.9800033569336
2018-10-03,68.22000122070312
2018-07-31,66.75
2019-03-12,68.43000030517578
2019-02-08,68.56999969482422
2019-01-07,65.80999755859375
2018-12-06,62.779998779296875
2019-08-19,62.90999984741211
2019-07-18,64.5999984741211
2019-05-15,73.76000213623047
2019-09-20,73.62999725341797
2019-11-01,73.62999725341797
2020-04-07,73.05999755859375
2020-06-25,73.05000305175781
2020-06-16,74.55000305175781
2019-11-04,75.29000091552734
2020-01-22,74.77999877929688
2019-11-07,76.3499984741211
2020-04-13,76.22000122070312
2019-07-01,76.58999633789062
2019-05-30,76.5
2018-08-15,76.68000030517578
2018-10-18,76.61000061035156
2019-03-27,77.72000122070312
2019-01-22,78.75
2018-12-21,80.38999938964844
2019-09-03,80.30999755859375
2018-11-19,80.91999816894531
2019-08-02,82.51000213623047
2020-01-28,83.05000305175781
2020-04-16,83.76000213623047
2019-11-13,86.08000183105469
2020-01-31,83.5199966430664
2018-12-04,85.0
2018-11-02,85.5199966430664
2019-07-16,87.8499984741211
2018-08-30,87.2300033569336
2018-10-01,88.7300033569336
2019-06-14,89.93000030517578
2019-05-13,90.3499984741211
2019-04-11,88.16999816894531
2019-02-06,88.43000030517578
2019-09-18,85.83000183105469
2020-02-03,85.70999908447266
2020-04-22,85.4800033569336
2019-11-19,87.25
2020-02-06,89.51000213623047
2019-11-22,89.55000305175781
2019-03-25,91.76000213623047
2019-02-21,92.2699966430664
2018-12-19,92.29000091552734
2018-07-12,91.18000030517578
2018-09-14,91.5
2018-08-13,89.29000091552734
2018-10-16,86.0999984741211
2019-07-31,83.69999694824219
2019-05-28,82.55999755859375
2019-04-26,79.56999969482422
2020-04-28,77.12000274658203
2019-11-25,79.94999694824219
2020-02-12,80.1500015258789
2020-05-01,82.70999908447266
2020-05-04,81.66000366210938
2019-06-12,81.70999908447266
2019-04-09,81.19999694824219
2019-03-08,82.94000244140625
2019-02-04,83.4000015258789
2018-07-27,79.0999984741211
2018-08-28,81.0999984741211
2019-01-03,78.19000244140625
2019-08-15,77.54000091552734
2018-10-31,78.94999694824219
2019-09-16,82.18000030517578
2020-02-18,83.69000244140625
2020-05-07,72.55999755859375
2018-08-17,74.87000274658203
2019-12-04,74.75
2020-02-21,77.86000061035156
2018-12-17,77.91000366210938
2019-08-30,74.7300033569336
2018-11-15,73.73999786376953
2019-07-29,73.4800033569336
2019-06-27,73.33999633789062
2019-04-24,72.75
2018-07-10,73.44999694824219
2018-09-12,67.77999877929688
2019-02-19,67.04000091552734
2019-01-18,68.54000091552734
2020-02-24,67.95999908447266
2020-05-13,70.83999633789062
2019-12-10,70.69999694824219
2020-02-27,73.5199966430664
2019-12-13,73.9000015258789
2020-05-19,73.83999633789062
2019-03-06,75.11000061035156
2018-11-30,73.37999725341797
2019-08-13,75.44000244140625
2019-07-12,71.61000061035156
2019-06-10,74.69999694824219
2019-05-09,74.44000244140625
2018-07-25,75.19000244140625
2018-09-27,74.51000213623047
2018-10-29,72.91000366210938
2019-10-16,68.23999786376953
2019-12-16,70.06999969482422
2020-03-04,70.0199966430664
2020-05-22,69.87000274658203
2019-10-01,65.83999633789062
2019-12-19,65.51000213623047
2018-09-10,68.56999969482422
2019-05-24,70.38999938964844
2018-08-09,70.33999633789062
2019-04-22,70.43000030517578
2019-03-21,69.68000030517578
2019-01-16,67.56999969482422
2019-08-28,66.91000366210938
2018-11-13,70.08999633789062
2018-10-12,71.55000305175781
2019-06-25,73.08000183105469
