Dates,FTNT
2018-06-20,1231500.0
2018-06-21,1038300.0
2018-06-25,2304200.0
2018-06-22,2315200.0
2018-06-26,1426400.0
2018-06-27,1423300.0
2018-06-28,963700.0
2018-06-29,1869300.0
2018-07-02,939200.0
2018-07-03,599700.0
2018-07-05,1770900.0
2018-07-16,718800.0
2018-09-18,1082100.0
2019-01-24,1000200.0
2019-09-05,740000.0
2018-11-21,797900.0
2020-01-13,976100.0
2020-04-01,543900.0
2020-06-19,1203600.0
2019-10-29,1409200.0
2020-01-16,1604400.0
2020-06-22,1015100.0
2018-10-03,1165700.0
2018-07-31,1444700.0
2019-03-12,1142400.0
2019-02-08,1218100.0
2019-01-07,1268600.0
2018-12-06,2396000.0
2019-08-19,1947200.0
2019-07-18,2956600.0
2019-05-15,4124000.0
2019-09-20,2627400.0
2019-11-01,1456100.0
2020-04-07,931800.0
2020-06-25,1319500.0
2020-06-16,1722600.0
2019-11-04,1252900.0
2020-01-22,1818700.0
2019-11-07,912200.0
2020-04-13,1522200.0
2019-07-01,1144700.0
2019-05-30,948100.0
2018-08-15,1252200.0
2018-10-18,1236100.0
2019-03-27,828200.0
2019-01-22,1170600.0
2018-12-21,889900.0
2019-09-03,951300.0
2018-11-19,916800.0
2019-08-02,1225300.0
2020-01-28,1124600.0
2020-04-16,1732200.0
2019-11-13,1966500.0
2020-01-31,2092400.0
2018-12-04,1763500.0
2018-11-02,1071900.0
2019-07-16,1554400.0
2018-08-30,2143100.0
2018-10-01,1646500.0
2019-06-14,1755000.0
2019-05-13,1529500.0
2019-04-11,1418900.0
2019-02-06,1829600.0
2019-09-18,2604000.0
2020-02-03,2715500.0
2020-04-22,3201400.0
2019-11-19,2098000.0
2020-02-06,2332900.0
2019-11-22,1872500.0
2019-03-25,2313900.0
2019-02-21,2269000.0
2018-12-19,1859800.0
2018-07-12,2070900.0
2018-09-14,1637700.0
2018-08-13,1733200.0
2018-10-16,3949800.0
2019-07-31,3797300.0
2019-05-28,3196200.0
2019-04-26,33370600.0
2020-04-28,4072700.0
2019-11-25,3729100.0
2020-02-12,2581000.0
2020-05-01,2237700.0
2020-05-04,2707800.0
2019-06-12,2829100.0
2019-04-09,2278700.0
2019-03-08,2115100.0
2019-02-04,2095300.0
2018-07-27,1787400.0
2018-08-28,1806900.0
2019-01-03,1813900.0
2019-08-15,2093100.0
2018-10-31,1983500.0
2019-09-16,2119100.0
2020-02-18,2360600.0
2020-05-07,5926500.0
2018-08-17,2900000.0
2019-12-04,1929000.0
2020-02-21,2935200.0
2018-12-17,2292100.0
2019-08-30,2234900.0
2018-11-15,1715300.0
2019-07-29,1355400.0
2019-06-27,1875000.0
2019-04-24,1735100.0
2018-07-10,2219800.0
2018-09-12,2884100.0
2019-02-19,3384800.0
2019-01-18,3579300.0
2020-02-24,852700.0
2020-05-13,1816100.0
2019-12-10,1857300.0
2020-02-27,1622500.0
2019-12-13,1483300.0
2020-05-19,3121600.0
2019-03-06,2262300.0
2018-11-30,2287400.0
2019-08-13,2273700.0
2019-07-12,1843200.0
2019-06-10,1441200.0
2019-05-09,3499400.0
2018-07-25,1439700.0
2018-09-27,1141000.0
2018-10-29,2238400.0
2019-10-16,2946600.0
2019-12-16,3158300.0
2020-03-04,2422600.0
2020-05-22,3487000.0
2019-10-01,4143200.0
2019-12-19,1094300.0
2018-09-10,2792800.0
2019-05-24,1606000.0
2018-08-09,1081600.0
2019-04-22,1109100.0
2019-03-21,1550000.0
2019-01-16,2058500.0
2019-08-28,4211900.0
2018-11-13,4210300.0
2018-10-12,2409100.0
2019-06-25,1737700.0
2020-03-10,1516300.0
2020-05-28,1299500.0
