Dates,FAST
2018-06-20,2996600.0
2018-06-21,6272200.0
2018-06-25,5126800.0
2018-06-22,4853600.0
2018-06-26,4527400.0
2018-06-27,5444000.0
2018-06-28,5619600.0
2018-06-29,8230800.0
2018-07-02,7319400.0
2018-07-03,5358400.0
2018-07-05,7382000.0
2018-07-16,7980000.0
2018-09-18,8211600.0
2019-01-24,9365000.0
2019-09-05,52609600.0
2018-11-21,12440600.0
2020-01-13,10371200.0
2020-04-01,5593400.0
2020-06-19,4330400.0
2019-10-29,5913600.0
2020-01-16,7177200.0
2020-06-22,5419200.0
2018-10-03,5185400.0
2018-07-31,5720200.0
2019-03-12,4938400.0
2019-02-08,4837200.0
2019-01-07,3491600.0
2018-12-06,4493000.0
2019-08-19,4220600.0
2019-07-18,6311600.0
2019-05-15,4233800.0
2019-09-20,2474800.0
2019-11-01,4282000.0
2020-04-07,2917000.0
2020-06-25,2772800.0
2020-06-16,2711200.0
2019-11-04,2872600.0
2020-01-22,3166400.0
2019-11-07,3761800.0
2020-04-13,3496600.0
2019-07-01,4659600.0
2019-05-30,3028600.0
2018-08-15,4552000.0
2018-10-18,3165000.0
2019-03-27,2465200.0
2019-01-22,3333200.0
2018-12-21,6248400.0
2019-09-03,5325200.0
2018-11-19,4795400.0
2019-08-02,3060800.0
2020-01-28,3937600.0
2020-04-16,4271000.0
2019-11-13,5471400.0
2020-01-31,3148800.0
2018-12-04,3784800.0
2018-11-02,7654600.0
2019-07-16,4090600.0
2018-08-30,4497200.0
2018-10-01,2950400.0
2019-06-14,2299000.0
2019-05-13,6640000.0
2019-04-11,4381600.0
2019-02-06,3930800.0
2019-09-18,3304400.0
2020-02-03,2859600.0
2020-04-22,4796000.0
2019-11-19,4390000.0
2020-02-06,2751800.0
2019-11-22,2655400.0
2019-03-25,3128200.0
2019-02-21,4888600.0
2018-12-19,3894200.0
2018-07-12,4297400.0
2018-09-14,4740200.0
2018-08-13,7519400.0
2018-10-16,6437600.0
2019-07-31,8939600.0
2019-05-28,10888600.0
2019-04-26,26604800.0
2020-04-28,13326400.0
2019-11-25,9933800.0
2020-02-12,6520200.0
2020-05-01,10875400.0
2020-05-04,4207600.0
2019-06-12,7510000.0
2019-04-09,5273400.0
2019-03-08,6560000.0
2019-02-04,6543400.0
2018-07-27,7020600.0
2018-08-28,5496200.0
2019-01-03,7023200.0
2019-08-15,5965200.0
2018-10-31,6438200.0
2019-09-16,6374400.0
2020-02-18,5265000.0
2020-05-07,6437200.0
2018-08-17,5790400.0
2019-12-04,4371400.0
2020-02-21,4848400.0
2018-12-17,5797800.0
2019-08-30,8197800.0
2018-11-15,8003800.0
2019-07-29,5575400.0
2019-06-27,11260000.0
2019-04-24,8468000.0
2018-07-10,11048200.0
2018-09-12,12693200.0
2019-02-19,8597400.0
2019-01-18,6422200.0
2020-02-24,2493800.0
2020-05-13,6175000.0
2019-12-10,6925600.0
2020-02-27,9435000.0
2019-12-13,4921400.0
2020-05-19,6165600.0
2019-03-06,6301400.0
2018-11-30,7686800.0
2019-08-13,5607200.0
2019-07-12,6511600.0
2019-06-10,6938000.0
2019-05-09,3678800.0
2018-07-25,4340200.0
2018-09-27,4136200.0
2018-10-29,4063000.0
2019-10-16,6330400.0
2019-12-16,6237200.0
2020-03-04,6959400.0
2020-05-22,6695800.0
2019-10-01,9245800.0
2019-12-19,2819800.0
2018-09-10,5609200.0
2019-05-24,3692400.0
2018-08-09,3540000.0
2019-04-22,3876200.0
2019-03-21,5882800.0
2019-01-16,6927800.0
2019-08-28,4496600.0
2018-11-13,7195200.0
2018-10-12,5212400.0
2019-06-25,5636800.0
2020-03-10,3933400.0
2020-05-28,3282600.0
2019-10-07,4996000.0
2020-03-13,4492600.0
2019-10-10,7589400.0
2020-03-16,12722800.0
2020-06-03,10167200.0
2018-11-28,9460600.0
2018-09-25,5928000.0
2018-07-23,6484600.0
2018-08-24,5129200.0
2019-07-10,7609600.0
2019-05-07,4761600.0
2019-04-05,4529600.0
2019-03-04,17554400.0
2019-01-31,5729800.0
2019-09-12,3769600.0
2019-12-31,3747600.0
2020-03-19,4252000.0
2020-01-03,6001800.0
2020-06-09,5340600.0
2019-02-15,4820800.0
2019-01-14,6430000.0
2018-07-06,4109400.0
2018-08-07,4093000.0
2018-10-10,3577600.0
2018-12-13,5358200.0
2019-08-26,4776200.0
2019-07-25,3786200.0
2019-05-22,2578800.0
2019-03-19,2266800.0
