Dates,FAST
2018-06-20,26.030000686645508
2018-06-21,25.34000015258789
2018-06-25,25.200000762939453
2018-06-22,24.7450008392334
2018-06-26,24.639999389648438
2018-06-27,24.344999313354492
2018-06-28,24.155000686645508
2018-06-29,24.049999237060547
2018-07-02,23.780000686645508
2018-07-03,23.725000381469727
2018-07-05,23.684999465942383
2018-07-16,23.920000076293945
2018-09-18,24.045000076293945
2019-01-24,24.56999969482422
2019-09-05,25.40999984741211
2018-11-21,27.184999465942383
2020-01-13,27.415000915527344
2020-04-01,27.360000610351562
2020-06-19,27.53499984741211
2019-10-29,27.774999618530273
2020-01-16,27.94499969482422
2020-06-22,28.1200008392334
2018-10-03,28.69499969482422
2018-07-31,28.229999542236328
2019-03-12,28.25
2019-02-08,28.31999969482422
2019-01-07,28.104999542236328
2018-12-06,27.924999237060547
2019-08-19,28.065000534057617
2019-07-18,27.614999771118164
2019-05-15,27.575000762939453
2019-09-20,27.674999237060547
2019-11-01,27.864999771118164
2020-04-07,28.270000457763672
2020-06-25,28.395000457763672
2020-06-16,28.725000381469727
2019-11-04,28.469999313354492
2020-01-22,28.649999618530273
2019-11-07,28.649999618530273
2020-04-13,28.780000686645508
2019-07-01,29.235000610351562
2019-05-30,29.6299991607666
2018-08-15,29.344999313354492
2018-10-18,30.03499984741211
2019-03-27,30.229999542236328
2019-01-22,30.079999923706055
2018-12-21,29.520000457763672
2019-09-03,29.420000076293945
2018-11-19,29.2549991607666
2019-08-02,29.270000457763672
2020-01-28,28.934999465942383
2020-04-16,29.03499984741211
2019-11-13,29.024999618530273
2020-01-31,29.325000762939453
2018-12-04,29.229999542236328
2018-11-02,28.385000228881836
2019-07-16,28.604999542236328
2018-08-30,29.024999618530273
2018-10-01,29.075000762939453
2019-06-14,29.375
2019-05-13,28.71500015258789
2019-04-11,28.610000610351562
2019-02-06,28.44499969482422
2019-09-18,28.979999542236328
2020-02-03,29.079999923706055
2020-04-22,29.364999771118164
2019-11-19,28.489999771118164
2020-02-06,28.68000030517578
2019-11-22,28.834999084472656
2019-03-25,28.844999313354492
2019-02-21,28.84000015258789
2018-12-19,28.790000915527344
2018-07-12,28.809999465942383
2018-09-14,28.959999084472656
2018-08-13,28.09000015258789
2018-10-16,27.954999923706055
2019-07-31,27.825000762939453
2019-05-28,27.81999969482422
2019-04-26,25.739999771118164
2020-04-28,25.364999771118164
2019-11-25,25.44499969482422
2020-02-12,25.969999313354492
2020-05-01,25.454999923706055
2020-05-04,26.059999465942383
2019-06-12,25.96500015258789
2019-04-09,25.834999084472656
2019-03-08,25.559999465942383
2019-02-04,24.809999465942383
2018-07-27,24.290000915527344
2018-08-28,24.454999923706055
2019-01-03,24.0049991607666
2019-08-15,24.325000762939453
2018-10-31,24.69499969482422
2019-09-16,25.594999313354492
2020-02-18,25.34000015258789
2020-05-07,26.045000076293945
2018-08-17,26.149999618530273
2019-12-04,26.200000762939453
2020-02-21,26.84000015258789
2018-12-17,27.225000381469727
2019-08-30,27.045000076293945
2018-11-15,26.9950008392334
2019-07-29,27.110000610351562
2019-06-27,27.479999542236328
2019-04-24,27.2549991607666
2018-07-10,28.364999771118164
2018-09-12,28.65999984741211
2019-02-19,27.510000228881836
2019-01-18,27.604999542236328
2020-02-24,27.700000762939453
2020-05-13,28.104999542236328
2019-12-10,28.469999313354492
2020-02-27,28.264999389648438
2019-12-13,29.325000762939453
2020-05-19,29.31999969482422
2019-03-06,29.309999465942383
2018-11-30,28.545000076293945
2019-08-13,27.725000381469727
2019-07-12,27.559999465942383
2019-06-10,26.790000915527344
2019-05-09,27.209999084472656
2018-07-25,27.360000610351562
2018-09-27,27.145000457763672
2018-10-29,26.895000457763672
2019-10-16,26.274999618530273
2019-12-16,25.90999984741211
2020-03-04,25.540000915527344
2020-05-22,24.989999771118164
2019-10-01,25.100000381469727
2019-12-19,24.655000686645508
2018-09-10,24.604999542236328
2019-05-24,25.1299991607666
2018-08-09,25.854999542236328
2019-04-22,25.834999084472656
2019-03-21,25.415000915527344
2019-01-16,24.844999313354492
2019-08-28,25.344999313354492
2018-11-13,25.600000381469727
2018-10-12,26.045000076293945
2019-06-25,26.6299991607666
2020-03-10,26.65999984741211
2020-05-28,27.094999313354492
2019-10-07,27.024999618530273
2020-03-13,27.0
2019-10-10,27.010000228881836
2020-03-16,27.440000534057617
2020-06-03,28.809999465942383
2018-11-28,29.34000015258789
2018-09-25,29.18000030517578
2018-07-23,29.18000030517578
2018-08-24,29.549999237060547
2019-07-10,29.19499969482422
2019-05-07,29.700000762939453
2019-04-05,29.65999984741211
2019-03-04,29.899999618530273
2019-01-31,30.024999618530273
2019-09-12,30.184999465942383
2019-12-31,30.014999389648438
2020-03-19,30.604999542236328
2020-01-03,30.139999389648438
2020-06-09,29.905000686645508
2019-02-15,30.475000381469727
2019-01-14,30.770000457763672
2018-07-06,31.30500030517578
2018-08-07,31.010000228881836
2018-10-10,31.235000610351562
2018-12-13,31.15999984741211
2019-08-26,30.854999542236328
2019-07-25,31.0
2019-05-22,31.229999542236328
2019-03-19,31.334999084472656
2020-01-06,31.364999771118164
2020-03-25,31.09000015258789
2020-06-12,31.424999237060547
2019-10-22,30.895000457763672
2020-01-09,30.875
2020-06-15,30.969999313354492
2019-10-25,30.915000915527344
2020-03-31,30.5
2020-06-18,30.290000915527344
2019-04-03,30.700000762939453
2018-08-22,30.780000686645508
2018-10-25,31.084999084472656
2019-01-29,30.94499969482422
