Dates,FAST
2018-06-20,26.155000686645508
2018-06-21,26.344999313354492
2018-06-25,25.545000076293945
2018-06-22,25.135000228881836
2018-06-26,25.03499984741211
2018-06-27,24.520000457763672
2018-06-28,24.415000915527344
2018-06-29,24.459999084472656
2018-07-02,23.799999237060547
2018-07-03,24.05500030517578
2018-07-05,24.010000228881836
2018-07-16,24.024999618530273
2018-09-18,24.139999389648438
2019-01-24,24.809999465942383
2019-09-05,26.170000076293945
2018-11-21,27.309999465942383
2020-01-13,27.760000228881836
2020-04-01,27.639999389648438
2020-06-19,27.684999465942383
2019-10-29,28.145000457763672
2020-01-16,28.100000381469727
2020-06-22,28.350000381469727
2018-10-03,28.735000610351562
2018-07-31,28.549999237060547
2019-03-12,28.299999237060547
2019-02-08,28.864999771118164
2019-01-07,28.375
2018-12-06,28.280000686645508
2019-08-19,28.184999465942383
2019-07-18,28.440000534057617
2019-05-15,27.674999237060547
2019-09-20,27.674999237060547
2019-11-01,27.975000381469727
2020-04-07,28.43000030517578
2020-06-25,28.6299991607666
2020-06-16,28.979999542236328
2019-11-04,28.674999237060547
2020-01-22,28.954999923706055
2019-11-07,28.7450008392334
2020-04-13,28.989999771118164
2019-07-01,29.354999542236328
2019-05-30,29.6299991607666
2018-08-15,29.704999923706055
2018-10-18,30.155000686645508
2019-03-27,30.3799991607666
2019-01-22,30.354999542236328
2018-12-21,30.209999084472656
2019-09-03,29.889999389648438
2018-11-19,29.575000762939453
2019-08-02,29.385000228881836
2020-01-28,29.31999969482422
2020-04-16,29.03499984741211
2019-11-13,29.024999618530273
2020-01-31,29.459999084472656
2018-12-04,29.540000915527344
2018-11-02,29.454999923706055
2019-07-16,28.704999923706055
2018-08-30,29.125
2018-10-01,29.514999389648438
2019-06-14,29.59000015258789
2019-05-13,29.53499984741211
2019-04-11,28.8700008392334
2019-02-06,28.844999313354492
2019-09-18,29.0
2020-02-03,29.219999313354492
2020-04-22,29.524999618530273
2019-11-19,29.260000228881836
2020-02-06,28.8799991607666
2019-11-22,29.1299991607666
2019-03-25,28.985000610351562
2019-02-21,29.0049991607666
2018-12-19,29.21500015258789
2018-07-12,28.924999237060547
2018-09-14,29.0
2018-08-13,28.93000030517578
2018-10-16,28.43000030517578
2019-07-31,28.125
2019-05-28,28.389999389648438
2019-04-26,26.350000381469727
2020-04-28,25.80500030517578
2019-11-25,26.03499984741211
2020-02-12,25.969999313354492
2020-05-01,25.80500030517578
2020-05-04,26.479999542236328
2019-06-12,26.274999618530273
2019-04-09,26.280000686645508
2019-03-08,26.1200008392334
2019-02-04,25.25
2018-07-27,25.139999389648438
2018-08-28,24.59000015258789
2019-01-03,24.239999771118164
2019-08-15,24.985000610351562
2018-10-31,24.799999237060547
2019-09-16,25.905000686645508
2020-02-18,25.815000534057617
2020-05-07,26.079999923706055
2018-08-17,26.375
2019-12-04,26.25
