Dates,NTRS
2018-06-20,108.58999633789062
2018-06-21,108.16000366210938
2018-06-25,109.08000183105469
2018-06-22,106.9800033569336
2018-06-26,105.29000091552734
2018-06-27,105.94000244140625
2018-06-28,104.77999877929688
2018-06-29,105.13999938964844
2018-07-02,104.0999984741211
2018-07-03,104.5999984741211
2018-07-05,103.5199966430664
2018-07-16,103.48999786376953
2018-09-18,105.80000305175781
2019-01-24,106.19999694824219
2019-09-05,104.98999786376953
2018-11-21,104.58999633789062
2020-01-13,104.83999633789062
2020-04-01,105.80000305175781
2020-06-19,106.06999969482422
2019-10-29,110.98999786376953
2020-01-16,110.69000244140625
2020-06-22,108.36000061035156
2018-10-03,111.1500015258789
2018-07-31,112.69999694824219
2019-03-12,111.94000244140625
2019-02-08,112.47000122070312
2019-01-07,115.61000061035156
2018-12-06,112.06999969482422
2019-08-19,111.0999984741211
2019-07-18,110.95999908447266
2019-05-15,109.36000061035156
2019-09-20,109.87000274658203
2019-11-01,110.61000061035156
2020-04-07,112.7300033569336
2020-06-25,111.79000091552734
2020-06-16,112.04000091552734
2019-11-04,110.0
2020-01-22,108.9800033569336
2019-11-07,109.12000274658203
2020-04-13,108.70999908447266
2019-07-01,108.33999633789062
2019-05-30,108.37999725341797
2018-08-15,108.72000122070312
2018-10-18,109.4800033569336
2019-03-27,108.91999816894531
2019-01-22,108.77999877929688
2018-12-21,108.0
2019-09-03,109.72000122070312
2018-11-19,109.66000366210938
2019-08-02,109.29000091552734
2020-01-28,108.2699966430664
2020-04-16,107.66999816894531
2019-11-13,108.70999908447266
2020-01-31,109.25
2018-12-04,107.83000183105469
2018-11-02,106.41000366210938
2019-07-16,107.5
2018-08-30,107.12000274658203
2018-10-01,106.94999694824219
2019-06-14,106.11000061035156
2019-05-13,104.3499984741211
2019-04-11,104.33999633789062
2019-02-06,104.41999816894531
2019-09-18,105.61000061035156
2020-02-03,107.44999694824219
2020-04-22,107.37000274658203
2019-11-19,106.25
2020-02-06,106.0199966430664
2019-11-22,105.12999725341797
2019-03-25,103.95999908447266
2019-02-21,102.93000030517578
2018-12-19,104.41999816894531
2018-07-12,103.87999725341797
2018-09-14,105.44000244140625
2018-08-13,106.58000183105469
2018-10-16,107.23999786376953
2019-07-31,107.01000213623047
2019-05-28,106.4000015258789
2019-04-26,105.83999633789062
2020-04-28,102.30999755859375
2019-11-25,102.72000122070312
2020-02-12,99.6500015258789
2020-05-01,99.69999694824219
2020-05-04,95.36000061035156
2019-06-12,95.9800033569336
2019-04-09,94.08999633789062
2019-03-08,93.5999984741211
2019-02-04,91.76000213623047
2018-07-27,91.0199966430664
2018-08-28,90.6500015258789
2019-01-03,89.58999633789062
2019-08-15,91.19000244140625
2018-10-31,92.54000091552734
2019-09-16,95.06999969482422
2020-02-18,95.05999755859375
2020-05-07,96.58000183105469
2018-08-17,95.97000122070312
2019-12-04,96.19000244140625
2020-02-21,98.48999786376953
2018-12-17,99.33999633789062
2019-08-30,98.91000366210938
2018-11-15,98.37999725341797
2019-07-29,97.93000030517578
2019-06-27,98.5
2019-04-24,97.45999908447266
2018-07-10,97.86000061035156
2018-09-12,98.27999877929688
2019-02-19,96.93000030517578
2019-01-18,97.27999877929688
2020-02-24,97.2699966430664
2020-05-13,98.98999786376953
2019-12-10,98.62000274658203
2020-02-27,99.4000015258789
2019-12-13,99.06999969482422
2020-05-19,99.61000061035156
2019-03-06,101.5
2018-11-30,98.9800033569336
2019-08-13,93.6500015258789
2019-07-12,92.27999877929688
2019-06-10,88.8499984741211
2019-05-09,90.12999725341797
2018-07-25,88.68000030517578
2018-09-27,88.63999938964844
2018-10-29,87.25
2019-10-16,87.58000183105469
2019-12-16,86.83000183105469
2020-03-04,85.5999984741211
2020-05-22,82.19999694824219
2019-10-01,81.23999786376953
2019-12-19,79.37999725341797
2018-09-10,81.23999786376953
2019-05-24,82.75
2018-08-09,83.98999786376953
2019-04-22,84.37999725341797
2019-03-21,84.56999969482422
2019-01-16,83.87000274658203
2019-08-28,84.8499984741211
2018-11-13,85.69999694824219
2018-10-12,85.61000061035156
2019-06-25,85.5199966430664
2020-03-10,85.81999969482422
2020-05-28,85.69999694824219
2019-10-07,86.79000091552734
2020-03-13,87.02999877929688
2019-10-10,89.02999877929688
2020-03-16,89.5
2020-06-03,91.20999908447266
2018-11-28,90.91999816894531
2018-09-25,93.51000213623047
2018-07-23,89.77999877929688
2018-08-24,91.81999969482422
2019-07-10,90.98999786376953
2019-05-07,91.3499984741211
2019-04-05,90.05999755859375
2019-03-04,89.37000274658203
2019-01-31,89.23999786376953
2019-09-12,89.13999938964844
2019-12-31,89.87000274658203
2020-03-19,90.45999908447266
2020-01-03,90.45999908447266
2020-06-09,89.76000213623047
2019-02-15,90.19999694824219
2019-01-14,92.30000305175781
2018-07-06,92.87999725341797
2018-08-07,91.7300033569336
2018-10-10,93.37999725341797
2018-12-13,93.5199966430664
