Dates,DOV
2018-06-20,1647900.0
2018-06-21,1522400.0
2018-06-25,2001900.0
2018-06-22,1537600.0
2018-06-26,1367400.0
2018-06-27,1417400.0
2018-06-28,1474100.0
2018-06-29,1342100.0
2018-07-02,1096500.0
2018-07-03,946200.0
2018-07-05,1214600.0
2018-07-16,912800.0
2018-09-18,988500.0
2019-01-24,818700.0
2019-09-05,799000.0
2018-11-21,1139500.0
2020-01-13,998600.0
2020-04-01,1459100.0
2020-06-19,1085900.0
2019-10-29,2426500.0
2020-01-16,4095600.0
2020-06-22,4170500.0
2018-10-03,3211800.0
2018-07-31,2222200.0
2019-03-12,1798100.0
2019-02-08,2332800.0
2019-01-07,1760000.0
2018-12-06,1725600.0
2019-08-19,2858900.0
2019-07-18,1112700.0
2019-05-15,1230400.0
2019-09-20,862900.0
2019-11-01,928100.0
2020-04-07,1259600.0
2020-06-25,1011800.0
2020-06-16,1203800.0
2019-11-04,837800.0
2020-01-22,1091200.0
2019-11-07,932600.0
2020-04-13,1537300.0
2019-07-01,1402300.0
2019-05-30,1286400.0
2018-08-15,1802200.0
2018-10-18,1883400.0
2019-03-27,1922400.0
2019-01-22,976800.0
2018-12-21,636000.0
2019-09-03,965600.0
2018-11-19,1130000.0
2019-08-02,1527600.0
2020-01-28,1894300.0
2020-04-16,1394100.0
2019-11-13,1660800.0
2020-01-31,1132100.0
2018-12-04,1719500.0
2018-11-02,1763500.0
2019-07-16,1290600.0
2018-08-30,2259000.0
2018-10-01,2029000.0
2019-06-14,2016400.0
2019-05-13,1314300.0
2019-04-11,920600.0
2019-02-06,1600400.0
2019-09-18,1455900.0
2020-02-03,1575600.0
2020-04-22,2867100.0
2019-11-19,1273200.0
2020-02-06,1757100.0
2019-11-22,1788700.0
2019-03-25,2057900.0
2019-02-21,1517500.0
2018-12-19,1805300.0
2018-07-12,1240500.0
2018-09-14,1194000.0
2018-08-13,1083600.0
2018-10-16,1291100.0
2019-07-31,869000.0
2019-05-28,1475500.0
2019-04-26,2214100.0
2020-04-28,2474300.0
2019-11-25,1998600.0
2020-02-12,1209200.0
2020-05-01,1769700.0
2020-05-04,1928000.0
2019-06-12,3268300.0
2019-04-09,2154300.0
2019-03-08,1601600.0
2019-02-04,1670500.0
2018-07-27,1402400.0
2018-08-28,1190900.0
2019-01-03,2155800.0
2019-08-15,1889500.0
