Dates,ZION
2018-06-20,56.72999954223633
2018-06-21,56.650001525878906
2018-06-25,57.25
2018-06-22,55.459999084472656
2018-06-26,54.849998474121094
2018-06-27,54.36000061035156
2018-06-28,53.66999816894531
2018-06-29,54.220001220703125
2018-07-02,53.09000015258789
2018-07-03,53.470001220703125
2018-07-05,52.939998626708984
2018-07-16,52.880001068115234
2018-09-18,54.02000045776367
2019-01-24,54.52000045776367
2019-09-05,53.790000915527344
2018-11-21,54.9900016784668
2020-01-13,52.470001220703125
2020-04-01,52.560001373291016
2020-06-19,53.290000915527344
2019-10-29,54.34000015258789
2020-01-16,54.470001220703125
2020-06-22,53.400001525878906
2018-10-03,54.22999954223633
2018-07-31,53.279998779296875
2019-03-12,52.529998779296875
2019-02-08,52.459999084472656
2019-01-07,52.45000076293945
2018-12-06,52.47999954223633
2019-08-19,52.599998474121094
2019-07-18,53.5099983215332
2019-05-15,53.86000061035156
2019-09-20,53.84000015258789
2019-11-01,53.58000183105469
2020-04-07,54.08000183105469
2020-06-25,53.86000061035156
2020-06-16,53.790000915527344
2019-11-04,53.34000015258789
2020-01-22,53.27000045776367
2019-11-07,53.68000030517578
2020-04-13,53.22999954223633
2019-07-01,54.040000915527344
2019-05-30,53.97999954223633
2018-08-15,54.189998626708984
2018-10-18,54.7599983215332
2019-03-27,54.209999084472656
2019-01-22,54.029998779296875
2018-12-21,53.93000030517578
2019-09-03,54.13999938964844
2018-11-19,53.97999954223633
2019-08-02,53.959999084472656
2020-01-28,53.709999084472656
2020-04-16,53.349998474121094
2019-11-13,54.0
2020-01-31,54.369998931884766
2018-12-04,53.939998626708984
2018-11-02,53.36000061035156
2019-07-16,53.29999923706055
2018-08-30,53.52000045776367
2018-10-01,53.13999938964844
2019-06-14,52.58000183105469
2019-05-13,52.5
2019-04-11,52.279998779296875
2019-02-06,51.7599983215332
2019-09-18,52.349998474121094
2020-02-03,52.81999969482422
2020-04-22,52.70000076293945
2019-11-19,52.5099983215332
2020-02-06,52.2599983215332
2019-11-22,52.060001373291016
2019-03-25,50.9900016784668
2019-02-21,50.34000015258789
2018-12-19,50.529998779296875
2018-07-12,49.959999084472656
2018-09-14,51.04999923706055
2018-08-13,51.9900016784668
2018-10-16,51.869998931884766
2019-07-31,52.2400016784668
2019-05-28,52.0099983215332
2019-04-26,52.2599983215332
2020-04-28,50.81999969482422
2019-11-25,50.22999954223633
2020-02-12,48.7400016784668
2020-05-01,48.279998779296875
2020-05-04,48.880001068115234
2019-06-12,48.65999984741211
2019-04-09,47.93000030517578
2019-03-08,47.2400016784668
2019-02-04,47.72999954223633
2018-07-27,47.33000183105469
2018-08-28,47.540000915527344
2019-01-03,47.310001373291016
2019-08-15,47.959999084472656
2018-10-31,47.439998626708984
2019-09-16,48.2400016784668
2020-02-18,47.900001525878906
2020-05-07,48.849998474121094
2018-08-17,48.95000076293945
2019-12-04,49.43000030517578
2020-02-21,49.79999923706055
2018-12-17,50.849998474121094
2019-08-30,50.939998626708984
2018-11-15,50.43000030517578
2019-07-29,50.11000061035156
2019-06-27,49.5
2019-04-24,48.40999984741211
2018-07-10,48.959999084472656
2018-09-12,49.189998626708984
2019-02-19,48.470001220703125
2019-01-18,48.13999938964844
2020-02-24,47.5
2020-05-13,48.4900016784668
2019-12-10,48.43000030517578
2020-02-27,48.47999954223633
2019-12-13,48.5099983215332
2020-05-19,48.939998626708984
2019-03-06,49.470001220703125
2018-11-30,48.369998931884766
2019-08-13,45.939998626708984
2019-07-12,46.43000030517578
2019-06-10,45.06999969482422
2019-05-09,45.0
2018-07-25,44.220001220703125
2018-09-27,43.9900016784668
2018-10-29,42.7400016784668
2019-10-16,42.220001220703125
2019-12-16,41.900001525878906
2020-03-04,41.5099983215332
2020-05-22,40.5
2019-10-01,40.310001373291016
2019-12-19,39.20000076293945
2018-09-10,40.52000045776367
2019-05-24,40.459999084472656
2018-08-09,41.029998779296875
2019-04-22,40.959999084472656
2019-03-21,41.61000061035156
2019-01-16,42.13999938964844
2019-08-28,42.810001373291016
2018-11-13,43.38999938964844
2018-10-12,43.33000183105469
2019-06-25,43.95000076293945
2020-03-10,43.95000076293945
2020-05-28,44.13999938964844
2019-10-07,44.560001373291016
2020-03-13,44.83000183105469
2019-10-10,45.91999816894531
2020-03-16,46.630001068115234
2020-06-03,47.209999084472656
2018-11-28,46.959999084472656
2018-09-25,48.4900016784668
2018-07-23,48.7400016784668
2018-08-24,49.20000076293945
2019-07-10,48.95000076293945
2019-05-07,49.189998626708984
2019-04-05,48.630001068115234
2019-03-04,48.0
2019-01-31,48.380001068115234
2019-09-12,49.060001373291016
2019-12-31,49.189998626708984
2020-03-19,49.08000183105469
2020-01-03,50.22999954223633
2020-06-09,49.27000045776367
2019-02-15,49.650001525878906
2019-01-14,50.220001220703125
2018-07-06,50.0
2018-08-07,49.290000915527344
2018-10-10,50.150001525878906
2018-12-13,50.86000061035156
2019-08-26,51.33000183105469
2019-07-25,51.16999816894531
2019-05-22,51.209999084472656
2019-03-19,51.720001220703125
2020-01-06,51.11000061035156
2020-03-25,51.22999954223633
2020-06-12,51.38999938964844
2019-10-22,51.810001373291016
2020-01-09,51.70000076293945
2020-06-15,51.2400016784668
2019-10-25,50.790000915527344
2020-03-31,49.560001373291016
2020-06-18,48.84000015258789
2019-04-03,49.25
2018-08-22,49.20000076293945
2018-10-25,49.2599983215332
2019-01-29,49.380001068115234
2018-12-28,49.66999816894531
2018-11-26,50.15999984741211
2019-08-09,50.540000915527344
2019-07-08,49.0099983215332
2019-06-06,46.90999984741211
2019-09-10,45.599998474121094
2020-01-15,44.16999816894531
2020-04-03,44.97999954223633
2019-10-31,45.060001373291016
2020-04-06,45.400001525878906
2020-06-24,45.86000061035156
2018-11-09,46.84000015258789
2019-07-23,47.27000045776367
2019-06-21,47.93000030517578
2019-05-20,47.779998779296875
2019-04-18,47.900001525878906
2018-09-06,48.040000915527344
2018-10-08,47.56999969482422
2019-02-13,47.20000076293945
2018-12-11,47.91999816894531
2019-09-25,48.900001525878906
2020-01-21,48.43000030517578
2020-04-09,48.349998474121094
2019-11-06,48.54999923706055
2020-01-24,48.33000183105469
2020-01-27,47.34000015258789
2020-04-15,49.08000183105469
2018-12-26,48.790000915527344
2019-08-07,48.720001220703125
2019-06-04,48.810001373291016
2018-09-21,49.84000015258789
2018-07-19,49.52000045776367
2018-08-20,49.86000061035156
2018-10-23,49.63999938964844
2019-05-03,50.20000076293945
2019-04-01,49.97999954223633
2019-02-28,49.18000030517578
2019-11-12,48.7599983215332
2020-01-30,48.45000076293945
2019-11-15,48.66999816894531
2020-04-21,47.790000915527344
2019-04-16,47.029998779296875
2019-03-15,45.810001373291016
2019-02-11,46.029998779296875
2019-01-10,45.880001068115234
2019-08-22,45.540000915527344
2018-11-07,45.91999816894531
2018-08-03,45.66999816894531
2018-09-04,45.400001525878906
2019-06-19,45.45000076293945
2019-09-23,45.52000045776367
2019-11-18,44.72999954223633
2020-02-05,44.91999816894531
2020-04-24,43.4900016784668
2019-03-29,43.720001220703125
2019-11-21,45.0
2020-04-27,44.5099983215332
2020-02-11,44.41999816894531
2020-04-30,44.16999816894531
2019-05-01,44.540000915527344
2019-02-26,44.70000076293945
2019-01-25,44.56999969482422
2018-12-24,44.869998931884766
2019-09-06,45.0
2018-07-17,45.09000015258789
2018-09-19,45.22999954223633
2019-08-05,45.75
2019-10-08,44.849998474121094
2019-12-11,44.970001220703125
2019-11-27,44.97999954223633
2020-02-14,44.2400016784668
2020-05-06,44.77000045776367
2019-01-08,45.09000015258789
2018-12-07,46.029998779296875
2019-08-20,46.810001373291016
2018-11-05,46.27000045776367
2019-07-19,45.439998626708984
2018-10-04,46.369998931884766
2019-06-17,45.95000076293945
2019-05-16,45.97999954223633
2018-08-01,45.97999954223633
2019-03-13,45.97999954223633
2019-12-03,46.540000915527344
2020-02-20,46.279998779296875
2019-12-06,45.63999938964844
2020-05-12,45.439998626708984
2019-12-09,45.68000030517578
2020-02-26,46.290000915527344
2020-05-15,46.27000045776367
2019-03-28,43.09000015258789
2018-09-17,43.560001373291016
2018-08-16,44.63999938964844
2018-10-19,45.220001220703125
2019-04-29,45.54999923706055
2019-01-23,45.4900016784668
2019-09-04,45.5099983215332
2018-11-20,45.18000030517578
2019-07-02,43.22999954223633
2019-05-31,41.93000030517578
2019-12-12,42.11000061035156
2020-05-18,41.88999938964844
2019-09-27,42.34000015258789
2020-03-03,42.18000030517578
2020-05-21,41.5099983215332
2019-05-14,42.0099983215332
2018-08-31,40.31999969482422
2018-07-30,40.04999923706055
2018-10-02,40.33000183105469
2019-04-12,41.06999969482422
2019-03-11,40.720001220703125
2019-02-07,41.13999938964844
2019-07-17,41.439998626708984
2019-09-19,41.40999984741211
2019-10-21,40.400001525878906
2019-12-18,40.90999984741211
2020-03-06,40.13999938964844
2019-10-03,41.130001068115234
2020-03-09,41.45000076293945
2020-05-27,40.779998779296875
2019-12-24,40.25
2020-03-12,41.72999954223633
2018-12-20,41.310001373291016
2019-08-01,42.56999969482422
2018-08-14,43.689998626708984
2018-07-13,44.2400016784668
2018-10-17,44.709999084472656
2019-05-29,45.41999816894531
2019-03-26,45.2400016784668
2019-02-22,44.900001525878906
2019-10-04,45.29999923706055
2019-11-05,45.2599983215332
2019-12-27,44.959999084472656
2020-06-02,44.529998779296875
2019-12-30,44.58000183105469
2020-03-18,44.439998626708984
2020-06-05,44.380001068115234
2019-07-15,44.900001525878906
2018-12-03,44.779998779296875
2019-06-13,45.02000045776367
2019-01-04,42.869998931884766
2018-08-29,42.689998626708984
2019-02-05,43.2599983215332
2018-11-01,43.7599983215332
2019-08-16,42.68000030517578
2019-04-10,42.650001525878906
2019-09-17,43.529998779296875
2019-10-15,44.599998474121094
2020-01-02,44.20000076293945
2020-06-08,45.27000045776367
2019-10-18,45.09000015258789
2020-03-24,44.959999084472656
2020-06-11,44.86000061035156
2020-01-08,45.689998626708984
2019-04-25,48.900001525878906
2019-07-30,48.380001068115234
2019-02-20,48.040000915527344
2018-07-11,48.369998931884766
2018-09-13,48.97999954223633
2018-10-15,49.5099983215332
2019-06-28,49.599998474121094
