Dates,PAYX
2018-06-20,2311700.0
2018-06-21,1784600.0
2018-06-25,2270800.0
2018-06-22,2224900.0
2018-06-26,2559700.0
2018-06-27,4439200.0
2018-06-28,4872600.0
2018-06-29,4189700.0
2018-07-02,3214100.0
2018-07-03,1620500.0
2018-07-05,2502200.0
2018-07-16,2722200.0
2018-09-18,2448500.0
2019-01-24,1276800.0
2019-09-05,1571100.0
2018-11-21,1850000.0
2020-01-13,2170200.0
2020-04-01,2509100.0
2020-06-19,1759000.0
2019-10-29,1617000.0
2020-01-16,1391300.0
2020-06-22,1437700.0
2018-10-03,2173100.0
2018-07-31,1886200.0
2019-03-12,2329800.0
2019-02-08,1875900.0
2019-01-07,2097500.0
2018-12-06,1993700.0
2019-08-19,3456100.0
2019-07-18,1717500.0
2019-05-15,1561100.0
2019-09-20,1204400.0
2019-11-01,1348000.0
2020-04-07,1667500.0
2020-06-25,1241200.0
2020-06-16,1027100.0
2019-11-04,1118900.0
2020-01-22,1530500.0
2019-11-07,1958100.0
2020-04-13,1601800.0
2019-07-01,1191000.0
2019-05-30,2977600.0
2018-08-15,1527300.0
2018-10-18,1984500.0
2019-03-27,1071100.0
2019-01-22,1401700.0
2018-12-21,1121300.0
2019-09-03,1300600.0
2018-11-19,1075600.0
2019-08-02,1103500.0
2020-01-28,1098000.0
2020-04-16,1548300.0
2019-11-13,1531200.0
2020-01-31,2105100.0
2018-12-04,1807100.0
2018-11-02,1522300.0
2019-07-16,1294100.0
2018-08-30,1027000.0
2018-10-01,1362400.0
2019-06-14,1440300.0
2019-05-13,1111500.0
2019-04-11,1221700.0
2019-02-06,1237800.0
2019-09-18,1296600.0
2020-02-03,953200.0
2020-04-22,4077100.0
2019-11-19,1548200.0
2020-02-06,5429700.0
2019-11-22,1977700.0
2019-03-25,1465300.0
2019-02-21,2089600.0
2018-12-19,2273500.0
2018-07-12,5882000.0
2018-09-14,3067200.0
2018-08-13,2455900.0
2018-10-16,1978000.0
2019-07-31,2030500.0
2019-05-28,1522200.0
2019-04-26,2680900.0
2020-04-28,4025500.0
2019-11-25,2926400.0
2020-02-12,2240100.0
2020-05-01,2996500.0
2020-05-04,3770300.0
2019-06-12,2850600.0
2019-04-09,2365000.0
2019-03-08,1988800.0
2019-02-04,3260200.0
2018-07-27,3454200.0
2018-08-28,3217900.0
2019-01-03,2862500.0
2019-08-15,2096100.0
2018-10-31,2598000.0
2019-09-16,3504200.0
2020-02-18,2138100.0
2020-05-07,2659900.0
2018-08-17,2471400.0
2019-12-04,1828200.0
2020-02-21,1792800.0
2018-12-17,1854500.0
2019-08-30,1370200.0
2018-11-15,1689000.0
2019-07-29,1729400.0
2019-06-27,2812300.0
2019-04-24,2798400.0
2018-07-10,2016300.0
2018-09-12,2236300.0
2019-02-19,1893000.0
2019-01-18,2046500.0
2020-02-24,892000.0
2020-05-13,2630700.0
2019-12-10,1590600.0
2020-02-27,2343400.0
2019-12-13,2250500.0
2020-05-19,3417500.0
2019-03-06,2103600.0
2018-11-30,2588000.0
2019-08-13,2514900.0
2019-07-12,2168700.0
2019-06-10,2114600.0
2019-05-09,1852200.0
2018-07-25,1619500.0
2018-09-27,2225800.0
2018-10-29,1981600.0
2019-10-16,3204900.0
2019-12-16,3114000.0
2020-03-04,3787700.0
2020-05-22,4426500.0
2019-10-01,4957800.0
2019-12-19,1626100.0
2018-09-10,2474300.0
2019-05-24,1743600.0
2018-08-09,1731300.0
2019-04-22,1599800.0
2019-03-21,2589400.0
2019-01-16,2231000.0
2019-08-28,2137200.0
2018-11-13,1708100.0
2018-10-12,1746800.0
2019-06-25,1665000.0
2020-03-10,1567700.0
2020-05-28,1606900.0
2019-10-07,1245900.0
2020-03-13,1759400.0
2019-10-10,2000900.0
2020-03-16,1614200.0
2020-06-03,2190100.0
2018-11-28,1539100.0
