Dates,PAYX
2018-06-20,70.05999755859375
2018-06-21,70.16000366210938
2018-06-25,70.37999725341797
2018-06-22,70.11000061035156
2018-06-26,70.01000213623047
2018-06-27,69.26000213623047
2018-06-28,68.4000015258789
2018-06-29,69.1500015258789
2018-07-02,68.6500015258789
2018-07-03,68.83999633789062
2018-07-05,69.13999938964844
2018-07-16,69.83999633789062
2018-09-18,70.33000183105469
2019-01-24,70.0999984741211
2019-09-05,69.79000091552734
2018-11-21,70.41999816894531
2020-01-13,70.62000274658203
2020-04-01,70.98999786376953
2020-06-19,70.56999969482422
2019-10-29,70.45999908447266
2020-01-16,70.6500015258789
2020-06-22,70.91999816894531
2018-10-03,70.9800033569336
2018-07-31,71.25
2019-03-12,72.06999969482422
2019-02-08,72.51000213623047
2019-01-07,71.8499984741211
2018-12-06,71.01000213623047
2019-08-19,69.08000183105469
2019-07-18,69.12999725341797
2019-05-15,69.47000122070312
2019-09-20,69.73999786376953
2019-11-01,70.41999816894531
2020-04-07,71.2699966430664
2020-06-25,71.2300033569336
2020-06-16,71.66999816894531
2019-11-04,71.44000244140625
2020-01-22,71.69999694824219
2019-11-07,71.23999786376953
2020-04-13,71.2300033569336
2019-07-01,71.9800033569336
2019-05-30,72.41999816894531
2018-08-15,72.69000244140625
2018-10-18,72.98999786376953
2019-03-27,72.69999694824219
2019-01-22,72.91999816894531
2018-12-21,73.04000091552734
2019-09-03,73.4000015258789
2018-11-19,72.83000183105469
2019-08-02,72.97000122070312
2020-01-28,73.12999725341797
2020-04-16,73.36000061035156
2019-11-13,73.22000122070312
2020-01-31,73.9000015258789
2018-12-04,74.73999786376953
2018-11-02,74.66999816894531
2019-07-16,74.91999816894531
2018-08-30,74.61000061035156
2018-10-01,74.51000213623047
2019-06-14,74.80999755859375
2019-05-13,74.83000183105469
2019-04-11,74.54000091552734
2019-02-06,74.8499984741211
2019-09-18,74.77999877929688
2020-02-03,74.80000305175781
2020-04-22,75.56999969482422
2019-11-19,74.9800033569336
2020-02-06,75.7300033569336
2019-11-22,74.2300033569336
2019-03-25,74.3499984741211
2019-02-21,73.80999755859375
2018-12-19,74.44999694824219
2018-07-12,76.0199966430664
2018-09-14,75.0199966430664
2018-08-13,73.0
2018-10-16,73.29000091552734
2019-07-31,72.95999908447266
2019-05-28,73.48999786376953
2019-04-26,72.48999786376953
2020-04-28,69.9000015258789
2019-11-25,69.1500015258789
2020-02-12,68.66999816894531
2020-05-01,69.12999725341797
2020-05-04,69.9000015258789
2019-06-12,69.62999725341797
2019-04-09,69.08999633789062
2019-03-08,68.44000244140625
2019-02-04,67.36000061035156
2018-07-27,66.33000183105469
2018-08-28,65.26000213623047
2019-01-03,64.73999786376953
2019-08-15,65.22000122070312
2018-10-31,64.70999908447266
2019-09-16,66.30000305175781
2020-02-18,65.69000244140625
2020-05-07,65.63999938964844
2018-08-17,66.56999969482422
2019-12-04,67.2300033569336
2020-02-21,68.52999877929688
2018-12-17,69.2699966430664
2019-08-30,69.19000244140625
2018-11-15,69.04000091552734
2019-07-29,69.41000366210938
2019-06-27,68.87000274658203
2019-04-24,68.0999984741211
2018-07-10,69.02999877929688
2018-09-12,69.08000183105469
2019-02-19,68.25
2019-01-18,67.94999694824219
2020-02-24,67.91000366210938
2020-05-13,68.45999908447266
2019-12-10,69.18000030517578
2020-02-27,70.86000061035156
2019-12-13,70.61000061035156
2020-05-19,70.98999786376953
2019-03-06,71.75
2018-11-30,71.2699966430664
2019-08-13,69.30000305175781
2019-07-12,69.33000183105469
2019-06-10,68.44000244140625
2019-05-09,69.94000244140625
2018-07-25,69.41000366210938
2018-09-27,68.51000213623047
2018-10-29,67.12000274658203
2019-10-16,66.58000183105469
2019-12-16,65.7699966430664
2020-03-04,66.63999938964844
2020-05-22,65.70999908447266
2019-10-01,66.86000061035156
2019-12-19,63.70000076293945
2018-09-10,64.37000274658203
2019-05-24,65.22000122070312
2018-08-09,65.83000183105469
2019-04-22,65.41000366210938
