Dates,PAYX
2018-06-20,65.59225463867188
2018-06-21,65.3952407836914
2018-06-25,65.87367248535156
2018-06-22,65.36711120605469
2018-06-26,64.72918701171875
2018-06-27,62.74979019165039
2018-06-28,63.753570556640625
2018-06-29,64.11943054199219
2018-07-02,63.82861328125
2018-07-03,63.5847053527832
2018-07-05,64.80423736572266
2018-07-16,65.47029113769531
2018-09-18,65.64854431152344
2019-01-24,65.37648010253906
2019-09-05,65.23577117919922
2018-11-21,66.01439666748047
2020-01-13,66.17386627197266
2020-04-01,65.64854431152344
2020-06-19,66.09882354736328
2019-10-29,65.573486328125
2020-01-16,66.12696838378906
2020-06-22,66.1832504272461
2018-10-03,66.47406768798828
2018-07-31,66.81178283691406
2019-03-12,67.54350280761719
2019-02-08,67.252685546875
2019-01-07,66.53973388671875
2018-12-06,64.89805603027344
2019-08-19,65.27635955810547
2019-07-18,64.9453353881836
2019-05-15,65.55062866210938
2019-09-20,65.9572982788086
2019-11-01,66.5815200805664
2020-04-07,67.32865905761719
2020-06-25,67.24354553222656
2020-06-16,67.38540649414062
2019-11-04,67.16787719726562
2020-01-22,67.30028533935547
2019-11-07,67.08275604248047
2020-04-13,67.28136444091797
2019-07-01,67.99068450927734
2019-05-30,68.3973617553711
2018-08-15,68.4162826538086
2018-10-18,68.57705688476562
2019-03-27,68.6527099609375
2019-01-22,68.79458618164062
2018-12-21,69.0310287475586
2019-09-03,68.69054412841797
2018-11-19,68.46357727050781
2019-08-02,68.94591522216797
2020-01-28,68.91754150390625
2020-04-16,69.27691650390625
2019-11-13,69.11614227294922
2020-01-31,69.81600952148438
2018-12-04,70.56315612792969
2018-11-02,70.0240707397461
2019-07-16,70.18486022949219
2018-08-30,70.50641632080078
2018-10-01,70.09973907470703
2019-06-14,70.5915298461914
2019-05-13,70.34563446044922
2019-04-11,70.20376586914062
2019-02-06,70.58206176757812
2019-09-18,69.97679138183594
2020-02-03,70.70503234863281
2020-04-22,71.16844177246094
2019-11-19,70.49696350097656
2020-02-06,69.721435546875
2019-11-22,69.59848022460938
2019-03-25,69.46607971191406
2019-02-21,69.65522003173828
