Dates,TEL
2018-06-20,1082300.0
2018-06-21,1878300.0
2018-06-25,1718300.0
2018-06-22,1874600.0
2018-06-26,1286100.0
2018-06-27,1617300.0
2018-06-28,3179700.0
2018-06-29,3498600.0
2018-07-02,1671100.0
2018-07-03,815400.0
2018-07-05,1521900.0
2018-07-16,986000.0
2018-09-18,1140300.0
2019-01-24,1044000.0
2019-09-05,988400.0
2018-11-21,1630200.0
2020-01-13,1004700.0
2020-04-01,572800.0
2020-06-19,1897700.0
2019-10-29,1410500.0
2020-01-16,757400.0
2020-06-22,846000.0
2018-10-03,1369500.0
2018-07-31,2820000.0
2019-03-12,4383900.0
2019-02-08,2992000.0
2019-01-07,1907100.0
2018-12-06,1999000.0
2019-08-19,3044500.0
2019-07-18,1959500.0
2019-05-15,1548700.0
2019-09-20,1243300.0
2019-11-01,1023700.0
2020-04-07,1568000.0
2020-06-25,974400.0
2020-06-16,1391400.0
2019-11-04,1648600.0
2020-01-22,1425300.0
2019-11-07,1159800.0
2020-04-13,1277100.0
2019-07-01,1064300.0
2019-05-30,2747800.0
2018-08-15,2366200.0
2018-10-18,1226400.0
2019-03-27,2700400.0
2019-01-22,1682300.0
2018-12-21,1328700.0
2019-09-03,1219100.0
2018-11-19,1742200.0
2019-08-02,1779400.0
2020-01-28,3169600.0
2020-04-16,2221000.0
2019-11-13,1771900.0
2020-01-31,2271800.0
2018-12-04,1927900.0
2018-11-02,2063600.0
2019-07-16,1276300.0
2018-08-30,1314600.0
2018-10-01,1153100.0
2019-06-14,1608200.0
2019-05-13,1460300.0
2019-04-11,2282700.0
2019-02-06,2313800.0
2019-09-18,2172100.0
2020-02-03,1710300.0
2020-04-22,3198300.0
2019-11-19,1818200.0
2020-02-06,2148400.0
2019-11-22,1508100.0
2019-03-25,1993100.0
2019-02-21,2119300.0
2018-12-19,2774500.0
2018-07-12,2545600.0
2018-09-14,1702400.0
2018-08-13,1565500.0
2018-10-16,1915600.0
2019-07-31,2040700.0
2019-05-28,3562200.0
2019-04-26,5172900.0
2020-04-28,2532700.0
2019-11-25,1879300.0
2020-02-12,1986100.0
2020-05-01,1505400.0
2020-05-04,1476100.0
2019-06-12,2069800.0
2019-04-09,1988500.0
2019-03-08,1100500.0
2019-02-04,3045600.0
2018-07-27,2325100.0
2018-08-28,1961700.0
2019-01-03,2750700.0
2019-08-15,2496400.0
2018-10-31,4322200.0
2019-09-16,5473100.0
2020-02-18,5263600.0
2020-05-07,2714800.0
2018-08-17,2232200.0
2019-12-04,2093800.0
2020-02-21,2693300.0
2018-12-17,1343600.0
2019-08-30,2170200.0
2018-11-15,2500500.0
2019-07-29,2665300.0
2019-06-27,3191800.0
2019-04-24,3921300.0
2018-07-10,3995100.0
2018-09-12,2314000.0
2019-02-19,2093100.0
2019-01-18,1941300.0
2020-02-24,724700.0
2020-05-13,1460500.0
2019-12-10,2277700.0
2020-02-27,2386600.0
2019-12-13,1361600.0
2020-05-19,2259600.0
2019-03-06,2242900.0
2018-11-30,3166500.0
2019-08-13,3321800.0
2019-07-12,2990200.0
2019-06-10,1852500.0
2019-05-09,2044000.0
2018-07-25,1770000.0
2018-09-27,1467800.0
2018-10-29,2283200.0
2019-10-16,2270200.0
2019-12-16,2788300.0
2020-03-04,3288600.0
2020-05-22,2811300.0
2019-10-01,5081300.0
2019-12-19,1451100.0
2018-09-10,1732500.0
2019-05-24,1952500.0
2018-08-09,1651900.0
2019-04-22,1683600.0
2019-03-21,1536600.0
2019-01-16,3610900.0
2019-08-28,1919500.0
2018-11-13,2723900.0
2018-10-12,2801000.0
2019-06-25,1766800.0
2020-03-10,1270300.0
2020-05-28,1458100.0
2019-10-07,1235100.0
2020-03-13,1274900.0
2019-10-10,2071000.0
2020-03-16,1928400.0
2020-06-03,1737300.0
2018-11-28,2931400.0
2018-09-25,6593300.0
2018-07-23,2725300.0
2018-08-24,2001500.0
2019-07-10,1193500.0
2019-05-07,1848000.0
2019-04-05,1235900.0
2019-03-04,1320200.0
2019-01-31,1307600.0
2019-09-12,1191700.0
2019-12-31,1315300.0
2020-03-19,1917600.0
2020-01-03,1980800.0
2020-06-09,1824600.0
2019-02-15,1568800.0
2019-01-14,2091900.0
2018-07-06,1913200.0
2018-08-07,1324400.0
2018-10-10,1199900.0
2018-12-13,1418500.0
2019-08-26,1462000.0
2019-07-25,1204300.0
2019-05-22,960200.0
2019-03-19,1592600.0
2020-01-06,948100.0
2020-03-25,1089700.0
2020-06-12,1329000.0
2019-10-22,1478800.0
2020-01-09,1826900.0
2020-06-15,1565000.0
2019-10-25,1262500.0
2020-03-31,1710000.0
2020-06-18,1223100.0
2019-04-03,1028900.0
2018-08-22,1426000.0
2018-10-25,1400500.0
2019-01-29,1523100.0
2018-12-28,2405700.0
2018-11-26,1858100.0
2019-08-09,1246200.0
2019-07-08,2471200.0
