Dates,ZBH
2020-01-30,810400.0
2019-11-15,983300.0
2020-04-21,1081800.0
2019-04-16,751300.0
2019-03-15,765700.0
2019-02-11,1066700.0
2019-01-10,1337300.0
2019-08-22,1250400.0
2018-11-07,1228400.0
2018-08-03,1104900.0
2018-09-04,1215100.0
2019-06-19,586400.0
2019-09-23,842000.0
2019-11-18,1250600.0
2020-02-05,628900.0
2020-04-24,1381000.0
2019-03-29,985500.0
2019-11-21,1091200.0
2020-04-27,1242800.0
2020-02-11,1201900.0
2020-04-30,758900.0
2019-05-01,711500.0
2019-02-26,754800.0
2019-01-25,785100.0
2018-12-24,819000.0
2019-09-06,1326500.0
2018-07-17,933100.0
2018-09-19,916600.0
2019-08-05,1135400.0
2019-10-08,1479100.0
2019-12-11,2131600.0
2019-11-27,843900.0
2020-02-14,884300.0
2020-05-06,1609700.0
2019-01-08,1139900.0
2018-12-07,2577800.0
2019-08-20,1213800.0
2018-11-05,1147600.0
2019-07-19,766100.0
2018-10-04,910300.0
2019-06-17,1596500.0
2019-05-16,913100.0
2018-08-01,632600.0
2019-03-13,885000.0
2019-12-03,644100.0
2020-02-20,1188100.0
2019-12-06,1099400.0
2020-05-12,1120500.0
2019-12-09,760200.0
2020-02-26,1199000.0
2020-05-15,529200.0
2019-03-28,739000.0
2018-09-17,1012900.0
2018-08-16,1692300.0
2018-10-19,5793700.0
2019-04-29,1921700.0
2019-01-23,1697200.0
2019-09-04,1448200.0
2018-11-20,2176100.0
2019-07-02,1554900.0
2019-05-31,1924300.0
2019-12-12,1023300.0
2020-05-18,1308800.0
2019-09-27,1251800.0
2020-03-03,929600.0
2020-05-21,1212400.0
2019-05-14,1143000.0
2018-08-31,1287100.0
2018-07-30,924900.0
2018-10-02,846600.0
2019-04-12,560600.0
2019-03-11,1224500.0
2019-02-07,1112600.0
2019-07-17,673300.0
2019-09-19,1278700.0
2019-10-21,891500.0
2019-12-18,797900.0
2020-03-06,642700.0
2019-10-03,979200.0
2020-03-09,1019400.0
2020-05-27,863700.0
2019-12-24,943800.0
2020-03-12,809200.0
2018-12-20,857100.0
2019-08-01,1121100.0
2018-08-14,1209200.0
2018-07-13,1033500.0
2018-10-17,1171400.0
2019-05-29,1127000.0
2019-03-26,736600.0
2019-02-22,1073200.0
