Dates,BMY
2018-06-20,6142000.0
2018-06-21,5844200.0
2018-06-25,10218500.0
2018-06-22,7436700.0
2018-06-26,8749700.0
2018-06-27,9406600.0
2018-06-28,10414600.0
2018-06-29,7726700.0
2018-07-02,5499300.0
2018-07-03,3933200.0
2018-07-05,5349900.0
2018-07-16,5157500.0
2018-09-18,4119300.0
2019-01-24,3717700.0
2019-09-05,3898000.0
2018-11-21,4081500.0
2020-01-13,3685100.0
2020-04-01,3777400.0
2020-06-19,3900600.0
2019-10-29,3730300.0
2020-01-16,3796900.0
2020-06-22,4768400.0
2018-10-03,7593900.0
2018-07-31,9670400.0
2019-03-12,8873700.0
2019-02-08,14646200.0
2019-01-07,6387000.0
2018-12-06,8096600.0
2019-08-19,6561000.0
2019-07-18,7722700.0
2019-05-15,5852200.0
2019-09-20,4666500.0
2019-11-01,5524800.0
2020-04-07,5123200.0
2020-06-25,7005800.0
2020-06-16,3998500.0
2019-11-04,3535500.0
2020-01-22,4797800.0
2019-11-07,5212600.0
2020-04-13,5214600.0
2019-07-01,7285500.0
2019-05-30,8868300.0
2018-08-15,6186900.0
2018-10-18,5098600.0
2019-03-27,5556200.0
2019-01-22,3416500.0
2018-12-21,4575700.0
2019-09-03,4334400.0
2018-11-19,3061900.0
2019-08-02,4619600.0
2020-01-28,3930200.0
2020-04-16,3352400.0
2019-11-13,4746800.0
2020-01-31,6296600.0
2018-12-04,4979500.0
2018-11-02,3519900.0
2019-07-16,3963900.0
2018-08-30,3585800.0
2018-10-01,7025600.0
2019-06-14,6119300.0
2019-05-13,3893800.0
2019-04-11,4430900.0
2019-02-06,3703600.0
2019-09-18,4449400.0
2020-02-03,4518200.0
2020-04-22,9010600.0
2019-11-19,3938300.0
2020-02-06,5904200.0
2019-11-22,5842000.0
2019-03-25,4708200.0
2019-02-21,3691000.0
2018-12-19,4344000.0
2018-07-12,5330100.0
2018-09-14,4742500.0
2018-08-13,4369000.0
2018-10-16,3798200.0
2019-07-31,7767500.0
2019-05-28,6618700.0
2019-04-26,10428300.0
2020-04-28,12540100.0
2019-11-25,10713200.0
2020-02-12,6356600.0
2020-05-01,6445300.0
2020-05-04,6546200.0
2019-06-12,13606400.0
2019-04-09,14981800.0
2019-03-08,24632300.0
2019-02-04,15370000.0
2018-07-27,13583300.0
2018-08-28,16207100.0
2019-01-03,13671900.0
2019-08-15,10028800.0
2018-10-31,11263800.0
2019-09-16,9516500.0
2020-02-18,8305600.0
2020-05-07,9236500.0
2018-08-17,6803500.0
2019-12-04,10196700.0
2020-02-21,9499800.0
2018-12-17,6982900.0
2019-08-30,8107400.0
2018-11-15,6259800.0
2019-07-29,4586600.0
2019-06-27,6382400.0
2019-04-24,7628100.0
2018-07-10,10125900.0
2018-09-12,11082700.0
2019-02-19,12617900.0
2019-01-18,6934600.0
2020-02-24,2328100.0
2020-05-13,6750500.0
2019-12-10,16857900.0
2020-02-27,7995000.0
2019-12-13,7466300.0
2020-05-19,13932100.0
2019-03-06,9599900.0
2018-11-30,9190000.0
2019-08-13,11399100.0
2019-07-12,10462900.0
2019-06-10,8036900.0
2019-05-09,8788900.0
2018-07-25,7447200.0
2018-09-27,8455600.0
2018-10-29,10708000.0
2019-10-16,12517400.0
2019-12-16,8410200.0
2020-03-04,7811000.0
2020-05-22,10182000.0
2019-10-01,14465400.0
2019-12-19,5580800.0
2018-09-10,8389800.0
2019-05-24,7919100.0
2018-08-09,7686400.0
2019-04-22,7369800.0
2019-03-21,8441300.0
2019-01-16,80351600.0
2019-08-28,47515800.0
2018-11-13,26805000.0
2018-10-12,16415900.0
2019-06-25,19719600.0
2020-03-10,24947800.0
2020-05-28,12470900.0
2019-10-07,18295900.0
2020-03-13,23116600.0
2019-10-10,14961200.0
2020-03-16,21202400.0
2020-06-03,20409900.0
2018-11-28,17123000.0
2018-09-25,15683500.0
2018-07-23,20224500.0
2018-08-24,19652100.0
2019-07-10,9723500.0
2019-05-07,10883100.0
2019-04-05,10567500.0
2019-03-04,12945500.0
2019-01-31,18512100.0
2019-09-12,26142100.0
2019-12-31,15028000.0
2020-03-19,13101200.0
2020-01-03,10644200.0
2020-06-09,9618800.0
2019-02-15,14105600.0
2019-01-14,13815500.0
2018-07-06,14606500.0
2018-08-07,17855300.0
2018-10-10,15449600.0
2018-12-13,9732700.0
2019-08-26,21470600.0
2019-07-25,25947000.0
2019-05-22,14910200.0
2019-03-19,10551500.0
2020-01-06,12319500.0
2020-03-25,17453600.0
2020-06-12,80889800.0
2019-10-22,34760700.0
2020-01-09,20534600.0
2020-06-15,23848200.0
2019-10-25,23652800.0
2020-03-31,19096800.0
2020-06-18,18674900.0
2019-04-03,13960600.0
2018-08-22,12772700.0
2018-10-25,12357700.0
2019-01-29,31496100.0
2018-12-28,27370700.0
2018-11-26,11628200.0
2019-08-09,11656500.0
2019-07-08,17438200.0
2019-06-06,13308400.0
2019-09-10,14120000.0
2020-01-15,12968600.0
2020-04-03,16679700.0
2019-10-31,19695800.0
2020-04-06,16788400.0
