Dates,BMY
2018-06-20,54.310001373291016
2018-06-21,54.38999938964844
2018-06-25,55.34000015258789
2018-06-22,55.33000183105469
2018-06-26,55.2400016784668
2018-06-27,54.810001373291016
2018-06-28,55.63999938964844
2018-06-29,55.849998474121094
2018-07-02,55.2400016784668
2018-07-03,56.02000045776367
2018-07-05,56.90999984741211
2018-07-16,56.68000030517578
2018-09-18,56.75
2019-01-24,56.77000045776367
2019-09-05,56.11000061035156
2018-11-21,56.849998474121094
2020-01-13,57.06999969482422
2020-04-01,56.93000030517578
2020-06-19,56.810001373291016
2019-10-29,56.90999984741211
2020-01-16,56.93000030517578
2020-06-22,56.880001068115234
2018-10-03,56.16999816894531
2018-07-31,58.27000045776367
2019-03-12,59.209999084472656
2019-02-08,60.9900016784668
2019-01-07,58.7599983215332
2018-12-06,59.02000045776367
2019-08-19,59.41999816894531
2019-07-18,60.189998626708984
2019-05-15,59.72999954223633
2019-09-20,59.349998474121094
2019-11-01,59.630001068115234
2020-04-07,59.4900016784668
2020-06-25,60.439998626708984
2020-06-16,60.13999938964844
2019-11-04,59.83000183105469
2020-01-22,59.79999923706055
2019-11-07,60.13999938964844
2020-04-13,60.41999816894531
2019-07-01,61.349998474121094
2019-05-30,61.59000015258789
2018-08-15,61.11000061035156
2018-10-18,60.65999984741211
2019-03-27,60.7400016784668
2019-01-22,60.72999954223633
2018-12-21,60.25
2019-09-03,60.630001068115234
2018-11-19,60.279998779296875
2019-08-02,61.25
2020-01-28,61.22999954223633
2020-04-16,60.70000076293945
2019-11-13,60.689998626708984
2020-01-31,61.310001373291016
2018-12-04,61.380001068115234
2018-11-02,61.40999984741211
2019-07-16,61.77000045776367
2018-08-30,61.0099983215332
2018-10-01,60.63999938964844
2019-06-14,60.959999084472656
2019-05-13,60.720001220703125
2019-04-11,61.5
2019-02-06,61.65999984741211
2019-09-18,62.2400016784668
2020-02-03,61.95000076293945
2020-04-22,62.619998931884766
2019-11-19,62.290000915527344
2020-02-06,62.52000045776367
2019-11-22,62.380001068115234
2019-03-25,62.09000015258789
2019-02-21,62.11000061035156
2018-12-19,62.650001525878906
2018-07-12,62.81999969482422
2018-09-14,63.209999084472656
2018-08-13,62.599998474121094
2018-10-16,62.88999938964844
2019-07-31,63.150001525878906
2019-05-28,63.689998626708984
2019-04-26,63.349998474121094
2020-04-28,60.77000045776367
2019-11-25,57.959999084472656
2020-02-12,58.20000076293945
2020-05-01,58.09000015258789
2020-05-04,59.279998779296875
2019-06-12,57.529998779296875
2019-04-09,55.849998474121094
2019-03-08,51.900001525878906
2019-02-04,51.029998779296875
2018-07-27,51.16999816894531
2018-08-28,50.369998931884766
2019-01-03,51.060001373291016
2019-08-15,51.209999084472656
2018-10-31,50.189998626708984
2019-09-16,51.15999984741211
2020-02-18,52.2400016784668
2020-05-07,52.4900016784668
2018-08-17,52.130001068115234
2019-12-04,52.119998931884766
2020-02-21,53.11000061035156
2018-12-17,53.66999816894531
2019-08-30,53.619998931884766
2018-11-15,53.529998779296875
2019-07-29,53.31999969482422
2019-06-27,52.939998626708984
2019-04-24,53.349998474121094
2018-07-10,54.810001373291016
2018-09-12,54.130001068115234
2019-02-19,53.810001373291016
2019-01-18,53.880001068115234
2020-02-24,53.439998626708984
2020-05-13,53.470001220703125
2019-12-10,51.25
2020-02-27,52.33000183105469
2019-12-13,52.369998931884766
2020-05-19,53.47999954223633
2019-03-06,53.9900016784668
2018-11-30,53.83000183105469
2019-08-13,53.25
2019-07-12,53.79999923706055
2019-06-10,53.290000915527344
2019-05-09,53.16999816894531
2018-07-25,54.25
2018-09-27,53.939998626708984
2018-10-29,53.2599983215332
2019-10-16,52.439998626708984
2019-12-16,52.04999923706055
2020-03-04,52.0
2020-05-22,50.59000015258789
2019-10-01,51.380001068115234
2019-12-19,49.689998626708984
2018-09-10,50.099998474121094
2019-05-24,50.40999984741211
2018-08-09,51.70000076293945
2019-04-22,52.0099983215332
2019-03-21,52.84000015258789
2019-01-16,47.619998931884766
2019-08-28,47.54999923706055
2018-11-13,48.7400016784668
2018-10-12,48.880001068115234
2019-06-25,48.0
2020-03-10,48.0099983215332
2020-05-28,48.02000045776367
2019-10-07,48.369998931884766
2020-03-13,49.83000183105469
2019-10-10,50.2599983215332
2020-03-16,49.88999938964844
2020-06-03,50.33000183105469
2018-11-28,49.79999923706055
2018-09-25,50.400001525878906
2018-07-23,50.5
2018-08-24,50.099998474121094
2019-07-10,48.83000183105469
2019-05-07,48.650001525878906
2019-04-05,49.209999084472656
2019-03-04,49.54999923706055
2019-01-31,50.040000915527344
2019-09-12,50.900001525878906
2019-12-31,51.06999969482422
2020-03-19,51.220001220703125
2020-01-03,50.77000045776367
2020-06-09,50.25
2019-02-15,50.31999969482422
2019-01-14,50.45000076293945
2018-07-06,51.189998626708984
2018-08-07,51.36000061035156
2018-10-10,51.869998931884766
2018-12-13,52.02000045776367
2019-08-26,51.88999938964844
2019-07-25,52.79999923706055
2019-05-22,51.040000915527344
2019-03-19,51.150001525878906
2020-01-06,50.86000061035156
2020-03-25,51.13999938964844
2020-06-12,52.619998931884766
2019-10-22,53.279998779296875
2020-01-09,53.27000045776367
2020-06-15,54.380001068115234
2019-10-25,54.0
2020-03-31,52.81999969482422
2020-06-18,51.40999984741211
2019-04-03,51.54999923706055
2018-08-22,51.09000015258789
2018-10-25,51.029998779296875
2019-01-29,51.2400016784668
2018-12-28,50.09000015258789
2018-11-26,50.11000061035156
2019-08-09,50.11000061035156
2019-07-08,49.70000076293945
2019-06-06,49.22999954223633
