Dates,PWR
2018-06-20,2004200.0
2018-06-21,1376200.0
2018-06-25,2652600.0
2018-06-22,1208600.0
2018-06-26,1172500.0
2018-06-27,1461500.0
2018-06-28,1568500.0
2018-06-29,1467200.0
2018-07-02,1503500.0
2018-07-03,784300.0
2018-07-05,1000400.0
2018-07-16,755500.0
2018-09-18,856800.0
2019-01-24,2231700.0
2019-09-05,1295400.0
2018-11-21,1522500.0
2020-01-13,991700.0
2020-04-01,751500.0
2020-06-19,836200.0
2019-10-29,977000.0
2020-01-16,997100.0
2020-06-22,932500.0
2018-10-03,1150700.0
2018-07-31,941400.0
2019-03-12,1757500.0
2019-02-08,1700600.0
2019-01-07,956700.0
2018-12-06,1772500.0
2019-08-19,1898800.0
2019-07-18,2542700.0
2019-05-15,2516600.0
2019-09-20,2021200.0
2019-11-01,2388100.0
2020-04-07,2035800.0
2020-06-25,855100.0
2020-06-16,1953700.0
2019-11-04,1442400.0
2020-01-22,1618100.0
2019-11-07,987500.0
2020-04-13,1541800.0
2019-07-01,3757200.0
2019-05-30,1377400.0
2018-08-15,1146400.0
2018-10-18,1386600.0
2019-03-27,630400.0
2019-01-22,866800.0
2018-12-21,753100.0
2019-09-03,625500.0
2018-11-19,1201400.0
2019-08-02,1464900.0
2020-01-28,1080100.0
2020-04-16,1450300.0
2019-11-13,1304000.0
2020-01-31,1256800.0
2018-12-04,710700.0
2018-11-02,1045500.0
2019-07-16,1144300.0
2018-08-30,853300.0
2018-10-01,1040400.0
2019-06-14,1126000.0
2019-05-13,798900.0
2019-04-11,1229100.0
2019-02-06,1119400.0
2019-09-18,1288900.0
2020-02-03,1195200.0
2020-04-22,2295700.0
2019-11-19,1395400.0
2020-02-06,1653300.0
2019-11-22,1105600.0
2019-03-25,910300.0
2019-02-21,1311700.0
2018-12-19,1462600.0
2018-07-12,1386400.0
2018-09-14,958100.0
2018-08-13,1481200.0
2018-10-16,1284200.0
2019-07-31,1067500.0
2019-05-28,1101000.0
2019-04-26,1753400.0
2020-04-28,2068500.0
2019-11-25,1706300.0
2020-02-12,1486900.0
2020-05-01,1182800.0
2020-05-04,868900.0
2019-06-12,1090200.0
2019-04-09,1211000.0
2019-03-08,849700.0
2019-02-04,1077800.0
2018-07-27,1070000.0
2018-08-28,1331300.0
2019-01-03,1453600.0
2019-08-15,1186400.0
2018-10-31,2180500.0
2019-09-16,1760300.0
2020-02-18,2766100.0
2020-05-07,2782100.0
2018-08-17,1412800.0
2019-12-04,1146100.0
2020-02-21,1616900.0
2018-12-17,1128400.0
2019-08-30,1812800.0
2018-11-15,1282100.0
2019-07-29,1374500.0
2019-06-27,1389500.0
2019-04-24,1464000.0
2018-07-10,1075800.0
2018-09-12,769700.0
2019-02-19,1458600.0
2019-01-18,818500.0
2020-02-24,293700.0
2020-05-13,1740100.0
2019-12-10,1334700.0
2020-02-27,1247400.0
2019-12-13,753400.0
2020-05-19,1615900.0
2019-03-06,1910400.0
2018-11-30,1588800.0
2019-08-13,1568300.0
2019-07-12,1636900.0
2019-06-10,1909100.0
2019-05-09,1843200.0
2018-07-25,2035300.0
2018-09-27,1793300.0
2018-10-29,1412300.0
2019-10-16,1722400.0
2019-12-16,1995200.0
2020-03-04,1700300.0
2020-05-22,2134100.0
2019-10-01,2689200.0
2019-12-19,1305000.0
2018-09-10,1766700.0
2019-05-24,1593700.0
2018-08-09,1238900.0
2019-04-22,1432500.0
2019-03-21,1560700.0
2019-01-16,1649800.0
2019-08-28,1326500.0
2018-11-13,1512000.0
2018-10-12,1286600.0
2019-06-25,1240100.0
2020-03-10,1223600.0
2020-05-28,1772500.0
2019-10-07,1870200.0
2020-03-13,1496200.0
2019-10-10,1065700.0
2020-03-16,1264400.0
2020-06-03,1955300.0
2018-11-28,1738100.0
2018-09-25,995400.0
2018-07-23,1511000.0
2018-08-24,1970600.0
2019-07-10,1828600.0
2019-05-07,1723700.0
