Dates,PWR
2018-06-20,35.38999938964844
2018-06-21,34.7400016784668
2018-06-25,34.18000030517578
2018-06-22,33.86000061035156
2018-06-26,33.84000015258789
2018-06-27,33.400001525878906
2018-06-28,33.25
2018-06-29,33.400001525878906
2018-07-02,33.560001373291016
2018-07-03,33.650001525878906
2018-07-05,33.75
2018-07-16,33.84000015258789
2018-09-18,34.2400016784668
2019-01-24,34.34000015258789
2019-09-05,33.61000061035156
2018-11-21,33.540000915527344
2020-01-13,33.68000030517578
2020-04-01,33.279998779296875
2020-06-19,33.189998626708984
2019-10-29,33.18000030517578
2020-01-16,33.400001525878906
2020-06-22,33.290000915527344
2018-10-03,32.81999969482422
2018-07-31,33.06999969482422
2019-03-12,33.72999954223633
2019-02-08,33.650001525878906
2019-01-07,33.70000076293945
2018-12-06,33.279998779296875
2019-08-19,34.06999969482422
2019-07-18,34.099998474121094
2019-05-15,35.11000061035156
2019-09-20,34.91999816894531
2019-11-01,35.08000183105469
2020-04-07,34.75
2020-06-25,34.81999969482422
2020-06-16,34.70000076293945
2019-11-04,34.45000076293945
2020-01-22,33.70000076293945
2019-11-07,34.02000045776367
2020-04-13,33.939998626708984
2019-07-01,33.18000030517578
2019-05-30,34.13999938964844
2018-08-15,34.119998931884766
2018-10-18,34.45000076293945
2019-03-27,34.16999816894531
2019-01-22,34.0
2018-12-21,33.77000045776367
2019-09-03,33.9900016784668
2018-11-19,34.119998931884766
2019-08-02,34.689998626708984
2020-01-28,34.45000076293945
2020-04-16,34.59000015258789
2019-11-13,33.959999084472656
2020-01-31,34.15999984741211
2018-12-04,34.2599983215332
2018-11-02,33.91999816894531
2019-07-16,34.400001525878906
2018-08-30,34.619998931884766
2018-10-01,35.150001525878906
2019-06-14,34.47999954223633
2019-05-13,34.560001373291016
2019-04-11,34.810001373291016
2019-02-06,34.25
2019-09-18,34.5
2020-02-03,34.66999816894531
2020-04-22,34.47999954223633
2019-11-19,34.349998474121094
2020-02-06,33.689998626708984
2019-11-22,33.209999084472656
2019-03-25,32.880001068115234
2019-02-21,33.380001068115234
2018-12-19,33.4900016784668
2018-07-12,33.630001068115234
2018-09-14,33.66999816894531
2018-08-13,32.63999938964844
2018-10-16,32.40999984741211
2019-07-31,32.560001373291016
2019-05-28,32.40999984741211
2019-04-26,31.690000534057617
2020-04-28,31.440000534057617
2019-11-25,31.34000015258789
2020-02-12,31.760000228881836
2020-05-01,32.7599983215332
2020-05-04,32.58000183105469
2019-06-12,32.310001373291016
2019-04-09,32.09000015258789
2019-03-08,31.829999923706055
2019-02-04,31.459999084472656
2018-07-27,30.299999237060547
2018-08-28,31.049999237060547
2019-01-03,30.959999084472656
2019-08-15,30.809999465942383
2018-10-31,31.420000076293945
2019-09-16,31.200000762939453
2020-02-18,33.43000030517578
2020-05-07,34.380001068115234
2018-08-17,34.90999984741211
2019-12-04,34.810001373291016
2020-02-21,35.54999923706055
2018-12-17,35.34000015258789
2019-08-30,34.84000015258789
2018-11-15,33.630001068115234
2019-07-29,33.68000030517578
2019-06-27,33.75
2019-04-24,34.279998779296875
2018-07-10,34.41999816894531
2018-09-12,34.0
2019-02-19,33.7400016784668
2019-01-18,34.0099983215332
2020-02-24,33.70000076293945
2020-05-13,34.58000183105469
2019-12-10,34.709999084472656
2020-02-27,34.709999084472656
2019-12-13,34.380001068115234
2020-05-19,35.099998474121094
2019-03-06,35.83000183105469
2018-11-30,33.5099983215332
2019-08-13,32.650001525878906
2019-07-12,31.329999923706055
2019-06-10,30.709999084472656
2019-05-09,30.700000762939453
2018-07-25,31.350000381469727
2018-09-27,30.610000610351562
2018-10-29,30.270000457763672
2019-10-16,29.3799991607666
2019-12-16,29.190000534057617
2020-03-04,28.549999237060547
2020-05-22,28.639999389648438
2019-10-01,28.25
2019-12-19,27.93000030517578
2018-09-10,29.780000686645508
2019-05-24,30.170000076293945
2018-08-09,30.020000457763672
2019-04-22,30.100000381469727
2019-03-21,29.920000076293945
2019-01-16,29.549999237060547
2019-08-28,31.170000076293945
2018-11-13,31.290000915527344
2018-10-12,31.770000457763672
2019-06-25,31.809999465942383
2020-03-10,32.41999816894531
2020-05-28,32.29999923706055
2019-10-07,32.09000015258789
2020-03-13,31.90999984741211
2019-10-10,31.920000076293945
2020-03-16,32.540000915527344
2020-06-03,33.5
2018-11-28,33.40999984741211
2018-09-25,33.22999954223633
2018-07-23,33.63999938964844
2018-08-24,34.75
2019-07-10,35.02000045776367
2019-05-07,34.900001525878906
2019-04-05,35.18000030517578
2019-03-04,35.34000015258789
2019-01-31,34.4900016784668
2019-09-12,34.77000045776367
2019-12-31,34.619998931884766
2020-03-19,34.7599983215332
2020-01-03,34.29999923706055
2020-06-09,34.310001373291016
2019-02-15,34.61000061035156
2019-01-14,35.41999816894531
2018-07-06,35.599998474121094
2018-08-07,35.43000030517578
2018-10-10,35.7599983215332
2018-12-13,35.689998626708984
2019-08-26,36.61000061035156
2019-07-25,36.18000030517578
2019-05-22,36.47999954223633
2019-03-19,36.54999923706055
2020-01-06,35.900001525878906
2020-03-25,35.970001220703125
2020-06-12,35.63999938964844
2019-10-22,35.939998626708984
2020-01-09,35.91999816894531
2020-06-15,35.720001220703125
2019-10-25,35.5
2020-03-31,34.9900016784668
2020-06-18,35.189998626708984
2019-04-03,35.88999938964844
2018-08-22,36.220001220703125
2018-10-25,36.619998931884766
2019-01-29,36.90999984741211
2018-12-28,37.349998474121094
2018-11-26,37.40999984741211
2019-08-09,37.400001525878906
2019-07-08,37.22999954223633
2019-06-06,37.56999969482422
