Dates,NWSA
2018-06-20,15.497296333312988
2018-06-21,15.284340858459473
2018-06-25,15.313379287719727
2018-06-22,15.042346954345703
2018-06-26,15.022988319396973
2018-06-27,14.945549011230469
2018-06-28,15.03266716003418
2018-06-29,15.003626823425293
2018-07-02,14.664834976196289
2018-07-03,14.790672302246094
2018-07-05,14.790672302246094
2018-07-16,14.906829833984375
2018-09-18,15.003626823425293
2019-01-24,15.264982223510742
2019-09-05,15.052026748657227
2018-11-21,15.061707496643066
2020-01-13,15.09074592590332
2020-04-01,14.916509628295898
2020-06-19,14.887471199035645
2019-10-29,15.052026748657227
2020-01-16,14.993947982788086
2020-06-22,14.790672302246094
2018-10-03,14.78099250793457
2018-07-31,14.568037986755371
2019-03-12,14.684195518493652
2019-02-08,14.606758117675781
2019-01-07,14.413163185119629
2018-12-06,14.471240043640137
2019-08-19,14.587397575378418
2019-07-18,14.587397575378418
2019-05-15,14.529319763183594
2019-09-20,14.597077369689941
2019-11-01,14.635797500610352
2020-04-07,14.655157089233398
2020-06-25,14.655157089233398
2020-06-16,14.771313667297363
2019-11-04,12.777283668518066
2020-01-22,13.145112991333008
2019-11-07,13.251591682434082
2020-04-13,13.232232093811035
2019-07-01,13.454865455627441
2019-05-30,13.454865455627441
2018-08-15,13.135435104370117
2018-10-18,13.135435104370117
2019-03-27,13.212872505187988
2019-01-22,12.980557441711426
2018-12-21,12.970877647399902
2019-09-03,12.825681686401367
2018-11-19,12.78696346282959
2019-08-02,12.912800788879395
2020-01-28,12.796643257141113
2020-04-16,12.651446342468262
2019-11-13,12.50624942779541
2020-01-31,12.467530250549316
2018-12-04,12.293293952941895
2018-11-02,12.254575729370117
2019-07-16,12.21585750579834
2018-08-30,12.225614547729492
2018-10-01,12.059743881225586
2019-06-14,12.196342468261719
2019-05-13,12.137800216674805
2019-04-11,11.971930503845215
2019-02-06,12.118287086486816
2019-09-18,12.215858459472656
2020-02-03,12.313427925109863
2020-04-22,12.498812675476074
2019-11-19,12.44027042388916
2020-02-06,12.596382141113281
2019-11-22,12.537841796875
