Dates,NWSA
2018-06-20,1407500.0
2018-06-21,1848400.0
2018-06-25,1954300.0
2018-06-22,2091500.0
2018-06-26,1961200.0
2018-06-27,1777200.0
2018-06-28,1260100.0
2018-06-29,1886300.0
2018-07-02,2719100.0
2018-07-03,1116000.0
2018-07-05,1325900.0
2018-07-16,1724500.0
2018-09-18,1912500.0
2019-01-24,2166200.0
2019-09-05,1139300.0
2018-11-21,1976400.0
2020-01-13,1013400.0
2020-04-01,1336400.0
2020-06-19,1929900.0
2019-10-29,1893800.0
2020-01-16,2064300.0
2020-06-22,1497900.0
2018-10-03,1387100.0
2018-07-31,1132700.0
2019-03-12,1286900.0
2019-02-08,1591000.0
2019-01-07,1455200.0
2018-12-06,1661200.0
2019-08-19,2125300.0
2019-07-18,2158600.0
2019-05-15,1234500.0
2019-09-20,1288100.0
2019-11-01,1736300.0
2020-04-07,1443600.0
2020-06-25,1715900.0
2020-06-16,3182900.0
2019-11-04,5990400.0
2020-01-22,5979300.0
2019-11-07,4395700.0
2020-04-13,4709900.0
2019-07-01,4227500.0
2019-05-30,3435800.0
2018-08-15,4740600.0
2018-10-18,4421500.0
2019-03-27,2518300.0
2019-01-22,2437900.0
2018-12-21,3671100.0
2019-09-03,3037000.0
2018-11-19,2180500.0
2019-08-02,2753400.0
2020-01-28,2144800.0
2020-04-16,3342100.0
2019-11-13,2744800.0
2020-01-31,4090900.0
2018-12-04,4415200.0
2018-11-02,2617100.0
2019-07-16,3080800.0
2018-08-30,3195200.0
2018-10-01,3030700.0
2019-06-14,1953000.0
2019-05-13,2412800.0
2019-04-11,2056400.0
2019-02-06,5667400.0
2019-09-18,2533300.0
2020-02-03,2988300.0
2020-04-22,8676600.0
2019-11-19,3589400.0
2020-02-06,3377900.0
2019-11-22,3863700.0
2019-03-25,8924700.0
2019-02-21,6623900.0
2018-12-19,4504800.0
2018-07-12,3415100.0
2018-09-14,8764400.0
2018-08-13,6250400.0
2018-10-16,5127000.0
2019-07-31,2361800.0
2019-05-28,5855900.0
2019-04-26,5587700.0
2020-04-28,8657800.0
2019-11-25,9594000.0
2020-02-12,2062800.0
2020-05-01,3384600.0
2020-05-04,4082900.0
2019-06-12,3213300.0
2019-04-09,2794800.0
2019-03-08,2750400.0
2019-02-04,4079000.0
2018-07-27,6921900.0
2018-08-28,4822400.0
2019-01-03,5926200.0
2019-08-15,5166300.0
2018-10-31,2854300.0
2019-09-16,9907100.0
2020-02-18,4138000.0
2020-05-07,2111300.0
2018-08-17,3608200.0
2019-12-04,3094800.0
2020-02-21,6278500.0
2018-12-17,9426100.0
2019-08-30,3770500.0
2018-11-15,3801400.0
2019-07-29,3371200.0
2019-06-27,2909100.0
2019-04-24,4242200.0
2018-07-10,2758100.0
2018-09-12,2801300.0
2019-02-19,4588800.0
2019-01-18,4066900.0
2020-02-24,1691700.0
2020-05-13,3508800.0
2019-12-10,3349800.0
2020-02-27,2652200.0
2019-12-13,2203400.0
2020-05-19,3953500.0
2019-03-06,3140600.0
2018-11-30,3087200.0
2019-08-13,4173400.0
2019-07-12,2538000.0
2019-06-10,3082800.0
2019-05-09,2465000.0
2018-07-25,3041600.0
2018-09-27,2915200.0
2018-10-29,3077100.0
2019-10-16,3732500.0
2019-12-16,3263400.0
2020-03-04,3575000.0
2020-05-22,4035000.0
2019-10-01,5418000.0
2019-12-19,1370400.0
2018-09-10,3033800.0
2019-05-24,3010300.0
2018-08-09,2471100.0
2019-04-22,1950900.0
2019-03-21,2196700.0
2019-01-16,2282000.0
2019-08-28,1830300.0
2018-11-13,2191300.0
2018-10-12,2295600.0
2019-06-25,1344200.0
2020-03-10,1440700.0
2020-05-28,1758400.0
2019-10-07,1419000.0
2020-03-13,1882000.0
2019-10-10,1548300.0
2020-03-16,1851100.0
2020-06-03,1359000.0
2018-11-28,2076900.0
2018-09-25,3508800.0
2018-07-23,1978600.0
2018-08-24,3066300.0
2019-07-10,1664100.0
