Dates,BEN
2018-06-20,3709600.0
2018-06-21,2477200.0
2018-06-25,5656600.0
2018-06-22,4743200.0
2018-06-26,3295800.0
2018-06-27,3799400.0
2018-06-28,3299600.0
2018-06-29,5891400.0
2018-07-02,4297900.0
2018-07-03,1549400.0
2018-07-05,2225200.0
2018-07-16,2179300.0
2018-09-18,1859700.0
2019-01-24,2936900.0
2019-09-05,3867600.0
2018-11-21,6160600.0
2020-01-13,2601900.0
2020-04-01,2323500.0
2020-06-19,1668700.0
2019-10-29,2452400.0
2020-01-16,1707100.0
2020-06-22,1572700.0
2018-10-03,1818800.0
2018-07-31,1621700.0
2019-03-12,2486100.0
2019-02-08,2799600.0
2019-01-07,3819800.0
2018-12-06,5906500.0
2019-08-19,8939900.0
2019-07-18,4250100.0
2019-05-15,3747100.0
2019-09-20,2188100.0
2019-11-01,2748500.0
2020-04-07,2441000.0
2020-06-25,2619800.0
2020-06-16,2184100.0
2019-11-04,3064700.0
2020-01-22,1862300.0
2019-11-07,1584800.0
2020-04-13,1932100.0
2019-07-01,2048500.0
2019-05-30,3433700.0
2018-08-15,2001700.0
2018-10-18,1778300.0
2019-03-27,2494400.0
2019-01-22,1659800.0
2018-12-21,1549900.0
2019-09-03,2487900.0
2018-11-19,1887100.0
2019-08-02,1425600.0
2020-01-28,2747600.0
2020-04-16,5491900.0
2019-11-13,4430400.0
2020-01-31,6098700.0
2018-12-04,5256300.0
2018-11-02,3529800.0
2019-07-16,4857400.0
2018-08-30,5072500.0
2018-10-01,3616100.0
2019-06-14,2725500.0
2019-05-13,2372100.0
2019-04-11,2697200.0
2019-02-06,2553700.0
2019-09-18,4757300.0
2020-02-03,6612700.0
2020-04-22,8843900.0
2019-11-19,4260200.0
2020-02-06,3266400.0
2019-11-22,2333400.0
2019-03-25,3165600.0
2019-02-21,2811300.0
2018-12-19,3043700.0
2018-07-12,3969100.0
2018-09-14,5276300.0
2018-08-13,2542600.0
2018-10-16,2096700.0
2019-07-31,3071100.0
2019-05-28,2846600.0
2019-04-26,4568600.0
2020-04-28,5700900.0
2019-11-25,3701000.0
2020-02-12,3438400.0
2020-05-01,4208600.0
2020-05-04,3503300.0
2019-06-12,4308100.0
2019-04-09,3249400.0
2019-03-08,4026000.0
2019-02-04,5466600.0
2018-07-27,5721100.0
2018-08-28,7980000.0
2019-01-03,5586000.0
2019-08-15,4649600.0
2018-10-31,6576800.0
2019-09-16,6249900.0
2020-02-18,2911400.0
2020-05-07,2290700.0
2018-08-17,2268000.0
2019-12-04,1650600.0
2020-02-21,2201900.0
2018-12-17,2280200.0
2019-08-30,4202500.0
2018-11-15,2910400.0
2019-07-29,3235400.0
2019-06-27,2897700.0
2019-04-24,3914300.0
2018-07-10,3329300.0
2018-09-12,3638200.0
2019-02-19,4583900.0
2019-01-18,2845800.0
2020-02-24,1730700.0
2020-05-13,4653900.0
2019-12-10,2966300.0
2020-02-27,4245800.0
2019-12-13,3298700.0
2020-05-19,5921700.0
2019-03-06,5017000.0
2018-11-30,5349000.0
2019-08-13,7148500.0
2019-07-12,4375000.0
2019-06-10,4830000.0
2019-05-09,5998800.0
2018-07-25,4364900.0
2018-09-27,4722400.0
2018-10-29,4235300.0
2019-10-16,7091600.0
2019-12-16,5540200.0
2020-03-04,6902400.0
2020-05-22,6417800.0
2019-10-01,8636500.0
2019-12-19,2198300.0
2018-09-10,3077300.0
2019-05-24,4214900.0
2018-08-09,2918700.0
2019-04-22,3175000.0
2019-03-21,2670300.0
2019-01-16,3306600.0
2019-08-28,2964000.0
2018-11-13,3055000.0
2018-10-12,2885700.0
2019-06-25,3435900.0
2020-03-10,3605500.0
2020-05-28,3491000.0
2019-10-07,2766500.0
2020-03-13,2530800.0
2019-10-10,2310200.0
2020-03-16,2610000.0
2020-06-03,3536100.0
2018-11-28,3715200.0
2018-09-25,2425200.0
2018-07-23,1821900.0
2018-08-24,2488800.0
2019-07-10,3017500.0
2019-05-07,3287700.0
2019-04-05,7381200.0
2019-03-04,7725000.0
2019-01-31,3007200.0
2019-09-12,2468400.0
2019-12-31,2618900.0
2020-03-19,2138600.0
2020-01-03,2564700.0
2020-06-09,1906200.0
2019-02-15,2450600.0
2019-01-14,3072000.0
2018-07-06,2975100.0
2018-08-07,2568000.0
2018-10-10,2665900.0
2018-12-13,2063200.0
2019-08-26,1666500.0
2019-07-25,1999800.0
2019-05-22,2124100.0
2019-03-19,2253700.0
2020-01-06,2183400.0
2020-03-25,2366500.0
2020-06-12,2711700.0
2019-10-22,4118600.0
2020-01-09,3306700.0
2020-06-15,2342600.0
2019-10-25,2393700.0
2020-03-31,1972700.0
2020-06-18,2710000.0
2019-04-03,2042300.0
2018-08-22,2324100.0
2018-10-25,3126800.0
2019-01-29,4463700.0
2018-12-28,7742000.0
2018-11-26,3078900.0
2019-08-09,2123400.0
2019-07-08,2888800.0
2019-06-06,2606700.0
2019-09-10,2817400.0
2020-01-15,1789800.0
2020-04-03,2586600.0
2019-10-31,3305000.0
2020-04-06,1543700.0
2020-06-24,2256700.0
2018-11-09,2060900.0
2019-07-23,2297600.0
2019-06-21,2207800.0
2019-05-20,1623500.0
2019-04-18,2474900.0
2018-09-06,2067900.0
2018-10-08,2917200.0
2019-02-13,2176500.0
2018-12-11,3348900.0
2019-09-25,3111500.0
2020-01-21,2834600.0
2020-04-09,2253700.0
2019-11-06,1884500.0
2020-01-24,1848200.0
2020-01-27,1800100.0
2020-04-15,2005500.0
2018-12-26,2479500.0
2019-08-07,2574500.0
2019-06-04,3660300.0
2018-09-21,3160600.0
2018-07-19,4406700.0
2018-08-20,2385800.0
2018-10-23,2633100.0
2019-05-03,2253900.0
2019-04-01,1865600.0
2019-02-28,3479400.0
2019-11-12,2639400.0
2020-01-30,2975300.0
2019-11-15,3545600.0
2020-04-21,4360000.0
2019-04-16,2287400.0
2019-03-15,2276600.0
2019-02-11,2577500.0
2019-01-10,1648800.0
2019-08-22,1576700.0
2018-11-07,2100100.0
2018-08-03,2160500.0
2018-09-04,2753500.0
2019-06-19,1639200.0
2019-09-23,3007700.0
2019-11-18,2841700.0
2020-02-05,2192900.0
2020-04-24,3740700.0
2019-03-29,2937800.0
2019-11-21,2717100.0
2020-04-27,3566300.0
2020-02-11,2684600.0
2020-04-30,2462500.0
2019-05-01,2780100.0
2019-02-26,2327200.0
2019-01-25,1728900.0
2018-12-24,1939100.0
2019-09-06,1701200.0
2018-07-17,1351400.0
